date,location_name,ili,pred_hosp,true_hosp,scale_factor,population,prelim_hosp,total_hosp
2012-10-06,Alabama,0.0017215862038781175,0.63,NA,1,5039877,32,32
2012-10-13,Alabama,-0.03960681589442419,0.59,NA,1,5039877,30,30
2012-10-20,Alabama,-0.11907014886325118,0.52,NA,1,5039877,26,26
2012-10-27,Alabama,0.05339450616277156,0.68,NA,1,5039877,34,34
2012-11-03,Alabama,0.3277087748018007,0.97,NA,1,5039877,49,49
2012-11-10,Alabama,0.5438590626589128,1.23,NA,1,5039877,62,62
2012-11-17,Alabama,0.5598973585926997,1.25,NA,1,5039877,63,63
2012-11-24,Alabama,0.7567897674442642,1.52,NA,1,5039877,77,77
2012-12-01,Alabama,0.7987238583068763,1.58,NA,1,5039877,80,80
2012-12-08,Alabama,1.1338245953453652,2.14,NA,1,5039877,108,108
2012-12-15,Alabama,1.9529613442613387,4.06,NA,1,5039877,205,205
2012-12-22,Alabama,2.4297344212439267,5.68,NA,1,5039877,286,286
2012-12-29,Alabama,2.0847950076325623,4.46,NA,1,5039877,225,225
2013-01-05,Alabama,1.8115552483331336,3.66,NA,1,5039877,184,184
2013-01-12,Alabama,2.1160487767079648,4.56,NA,1,5039877,230,230
2013-01-19,Alabama,2.501620471666555,5.96,NA,1,5039877,300,300
2013-01-26,Alabama,2.7031714061752807,6.83,NA,1,5039877,344,344
2013-02-02,Alabama,2.315156011766243,5.25,NA,1,5039877,265,265
2013-02-09,Alabama,2.027782829203441,4.29,NA,1,5039877,216,216
2013-02-16,Alabama,2.149517421451915,4.67,NA,1,5039877,235,235
2013-02-23,Alabama,1.7771142105766644,3.57,NA,1,5039877,180,180
2013-03-02,Alabama,1.3755659842956598,2.62,NA,1,5039877,132,132
2013-03-09,Alabama,1.1403971513966795,2.15,NA,1,5039877,108,108
2013-03-16,Alabama,0.685336081762122,1.42,NA,1,5039877,72,72
2013-03-23,Alabama,0.5358923280264528,1.22,NA,1,5039877,61,61
2013-03-30,Alabama,0.43892720203419605,1.1,NA,1,5039877,55,55
