reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2026-01-03,0,wk inc flu hosp,2026-01-24,01,quantile,0.01,632.1556513646931
2026-01-03,0,wk inc flu hosp,2026-01-24,01,quantile,0.025,632.1556513646931
2026-01-03,0,wk inc flu hosp,2026-01-24,01,quantile,0.05,632.1556513646931
2026-01-03,0,wk inc flu hosp,2026-01-24,01,quantile,0.1,632.1556513646931
2026-01-03,0,wk inc flu hosp,2026-01-24,01,quantile,0.15,652.7361960601695
2026-01-03,0,wk inc flu hosp,2026-01-24,01,quantile,0.2,675.735656914423
2026-01-03,0,wk inc flu hosp,2026-01-24,01,quantile,0.25,745.7742912366973
2026-01-03,0,wk inc flu hosp,2026-01-24,01,quantile,0.3,854.3009174192285
2026-01-03,0,wk inc flu hosp,2026-01-24,01,quantile,0.35,968.7665739950367
2026-01-03,0,wk inc flu hosp,2026-01-24,01,quantile,0.4,1000.7850546783149
2026-01-03,0,wk inc flu hosp,2026-01-24,01,quantile,0.45,1033.8606795576877
2026-01-03,0,wk inc flu hosp,2026-01-24,01,quantile,0.5,1123.5568976867569
2026-01-03,0,wk inc flu hosp,2026-01-24,01,quantile,0.55,1376.682902635321
2026-01-03,0,wk inc flu hosp,2026-01-24,01,quantile,0.6,1686.7849258831975
2026-01-03,0,wk inc flu hosp,2026-01-24,01,quantile,0.65,1983.7756043535103
2026-01-03,0,wk inc flu hosp,2026-01-24,01,quantile,0.7,1983.7756043535103
2026-01-03,0,wk inc flu hosp,2026-01-24,01,quantile,0.75,1983.7756043535103
2026-01-03,0,wk inc flu hosp,2026-01-24,01,quantile,0.8,1983.7756043535103
2026-01-03,0,wk inc flu hosp,2026-01-24,01,quantile,0.85,1983.7756043535103
2026-01-03,0,wk inc flu hosp,2026-01-24,01,quantile,0.9,1983.7756043535103
2026-01-03,0,wk inc flu hosp,2026-01-24,01,quantile,0.95,1983.7756043535103
2026-01-03,0,wk inc flu hosp,2026-01-24,01,quantile,0.975,1983.7756043535103
2026-01-03,0,wk inc flu hosp,2026-01-24,01,quantile,0.99,1983.7756043535103
2026-01-03,0,wk inc flu hosp,2026-01-24,02,quantile,0.01,65.2710053530264
2026-01-03,0,wk inc flu hosp,2026-01-24,02,quantile,0.025,65.2710053530264
2026-01-03,0,wk inc flu hosp,2026-01-24,02,quantile,0.05,65.2710053530264
2026-01-03,0,wk inc flu hosp,2026-01-24,02,quantile,0.1,65.2710053530264
2026-01-03,0,wk inc flu hosp,2026-01-24,02,quantile,0.15,89.09058574865466
2026-01-03,0,wk inc flu hosp,2026-01-24,02,quantile,0.2,124.5537479478454
2026-01-03,0,wk inc flu hosp,2026-01-24,02,quantile,0.25,161.80348509300853
2026-01-03,0,wk inc flu hosp,2026-01-24,02,quantile,0.3,187.66454514768864
2026-01-03,0,wk inc flu hosp,2026-01-24,02,quantile,0.35,214.69207501813622
2026-01-03,0,wk inc flu hosp,2026-01-24,02,quantile,0.4,216.6099679048553
2026-01-03,0,wk inc flu hosp,2026-01-24,02,quantile,0.45,218.5449143301648
2026-01-03,0,wk inc flu hosp,2026-01-24,02,quantile,0.5,221.8591250492659
2026-01-03,0,wk inc flu hosp,2026-01-24,02,quantile,0.55,228.5308183818009
2026-01-03,0,wk inc flu hosp,2026-01-24,02,quantile,0.6,235.40224099135565
2026-01-03,0,wk inc flu hosp,2026-01-24,02,quantile,0.65,242.47937213718464
2026-01-03,0,wk inc flu hosp,2026-01-24,02,quantile,0.7,252.17257362065317
2026-01-03,0,wk inc flu hosp,2026-01-24,02,quantile,0.75,264.61580840390195
2026-01-03,0,wk inc flu hosp,2026-01-24,02,quantile,0.8,277.6706184840199
2026-01-03,0,wk inc flu hosp,2026-01-24,02,quantile,0.85,285.52199002587065
2026-01-03,0,wk inc flu hosp,2026-01-24,02,quantile,0.9,285.52199002587065
2026-01-03,0,wk inc flu hosp,2026-01-24,02,quantile,0.95,285.52199002587065
2026-01-03,0,wk inc flu hosp,2026-01-24,02,quantile,0.975,285.52199002587065
2026-01-03,0,wk inc flu hosp,2026-01-24,02,quantile,0.99,285.52199002587065
2026-01-03,0,wk inc flu hosp,2026-01-24,04,quantile,0.01,725.1443453627197
2026-01-03,0,wk inc flu hosp,2026-01-24,04,quantile,0.025,725.1443453627197
2026-01-03,0,wk inc flu hosp,2026-01-24,04,quantile,0.05,725.1443453627197
2026-01-03,0,wk inc flu hosp,2026-01-24,04,quantile,0.1,725.1443453627197
2026-01-03,0,wk inc flu hosp,2026-01-24,04,quantile,0.15,739.1356584533247
2026-01-03,0,wk inc flu hosp,2026-01-24,04,quantile,0.2,770.0947734287387
2026-01-03,0,wk inc flu hosp,2026-01-24,04,quantile,0.25,802.3488764095454
2026-01-03,0,wk inc flu hosp,2026-01-24,04,quantile,0.3,861.3964943264314
2026-01-03,0,wk inc flu hosp,2026-01-24,04,quantile,0.35,973.1382653293381
2026-01-03,0,wk inc flu hosp,2026-01-24,04,quantile,0.4,1103.574385374859
2026-01-03,0,wk inc flu hosp,2026-01-24,04,quantile,0.45,1262.9472468427161
