reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.01,128.73710655798416
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.025,143.84073599279145
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.05,171.79707884596658
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.1,211.6363185885164
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.15,231.34786086218816
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.2,253.4830902119994
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.25,275.9447105711401
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.3,295.66448295280145
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.35,316.35120385014204
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.4,337.17899771128447
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.45,356.4723534002941
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.5,373.13447646667447
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.55,391.76453514217354
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.6,408.3163230812555
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.65,426.0833775750167
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.7,447.854645548126
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.75,468.1823868702864
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.8,506.2724767955425
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.85,558.6231012727114
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.9,634.7561058920196
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.95,767.2884679474445
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.975,911.8599542024859
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.99,1011.5411796854679
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.01,7.772387197104805
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.025,11.333927443622411
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.05,13.618047578982937
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.1,19.42635053881473
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.15,23.43218477898574
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.2,28.594429207226685
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.25,33.47928276444631
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.3,37.22328727600074
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.35,39.9726795259229
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.4,42.19703227294564
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.45,44.26160212931923
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.5,46.440714844338764
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.55,49.10677807816062
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.6,52.89174888896436
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.65,58.27885776104496
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.7,63.055830160560916
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.75,68.31080397086765
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.8,78.3410504003679
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.85,88.07785743113841
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.9,106.66051563058953
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.95,148.9309153976701
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.975,180.56576973621466
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.99,227.07000233037698
2026-01-17,wk inc flu hosp,0,2026-01-17,04,quantile,0.01,59.30707970401984
