reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-12-20,wk inc flu hosp,0,2025-12-20,01,quantile,0.01,39.80281556784823
2025-12-20,wk inc flu hosp,0,2025-12-20,01,quantile,0.025,52.98859623083509
2025-12-20,wk inc flu hosp,0,2025-12-20,01,quantile,0.05,63.153397279299604
2025-12-20,wk inc flu hosp,0,2025-12-20,01,quantile,0.1,84.72341069627906
2025-12-20,wk inc flu hosp,0,2025-12-20,01,quantile,0.15,99.99181237819154
2025-12-20,wk inc flu hosp,0,2025-12-20,01,quantile,0.2,114.49946340955287
2025-12-20,wk inc flu hosp,0,2025-12-20,01,quantile,0.25,124.9411923203338
2025-12-20,wk inc flu hosp,0,2025-12-20,01,quantile,0.3,132.8159307577667
2025-12-20,wk inc flu hosp,0,2025-12-20,01,quantile,0.35,140.21704378232133
2025-12-20,wk inc flu hosp,0,2025-12-20,01,quantile,0.4,149.0981829911936
2025-12-20,wk inc flu hosp,0,2025-12-20,01,quantile,0.45,159.1933773686692
2025-12-20,wk inc flu hosp,0,2025-12-20,01,quantile,0.5,165.55094850129038
2025-12-20,wk inc flu hosp,0,2025-12-20,01,quantile,0.55,174.85744338355593
2025-12-20,wk inc flu hosp,0,2025-12-20,01,quantile,0.6,183.73341618992814
2025-12-20,wk inc flu hosp,0,2025-12-20,01,quantile,0.65,194.2209570916627
2025-12-20,wk inc flu hosp,0,2025-12-20,01,quantile,0.7,204.82304641011854
2025-12-20,wk inc flu hosp,0,2025-12-20,01,quantile,0.75,218.2734699151717
2025-12-20,wk inc flu hosp,0,2025-12-20,01,quantile,0.8,228.71239952406194
2025-12-20,wk inc flu hosp,0,2025-12-20,01,quantile,0.85,241.00811768036675
2025-12-20,wk inc flu hosp,0,2025-12-20,01,quantile,0.9,274.1388250746527
2025-12-20,wk inc flu hosp,0,2025-12-20,01,quantile,0.95,307.23453780254454
2025-12-20,wk inc flu hosp,0,2025-12-20,01,quantile,0.975,331.5702019623577
2025-12-20,wk inc flu hosp,0,2025-12-20,01,quantile,0.99,359.75028518931936
2025-12-20,wk inc flu hosp,0,2025-12-20,02,quantile,0.01,3.274980681056466
2025-12-20,wk inc flu hosp,0,2025-12-20,02,quantile,0.025,4.579727880613808
2025-12-20,wk inc flu hosp,0,2025-12-20,02,quantile,0.05,5.281830575125275
2025-12-20,wk inc flu hosp,0,2025-12-20,02,quantile,0.1,6.89120722935901
2025-12-20,wk inc flu hosp,0,2025-12-20,02,quantile,0.15,8.756327174102443
2025-12-20,wk inc flu hosp,0,2025-12-20,02,quantile,0.2,10.030306541438435
2025-12-20,wk inc flu hosp,0,2025-12-20,02,quantile,0.25,10.716027733196663
2025-12-20,wk inc flu hosp,0,2025-12-20,02,quantile,0.3,11.45758867655056
2025-12-20,wk inc flu hosp,0,2025-12-20,02,quantile,0.35,12.71568505672069
2025-12-20,wk inc flu hosp,0,2025-12-20,02,quantile,0.4,13.635305566260941
2025-12-20,wk inc flu hosp,0,2025-12-20,02,quantile,0.45,14.814925478661312
2025-12-20,wk inc flu hosp,0,2025-12-20,02,quantile,0.5,15.63313412121502
2025-12-20,wk inc flu hosp,0,2025-12-20,02,quantile,0.55,16.481191785782656
2025-12-20,wk inc flu hosp,0,2025-12-20,02,quantile,0.6,17.23433307837691
2025-12-20,wk inc flu hosp,0,2025-12-20,02,quantile,0.65,18.938193354425614
2025-12-20,wk inc flu hosp,0,2025-12-20,02,quantile,0.7,20.99142269180677
2025-12-20,wk inc flu hosp,0,2025-12-20,02,quantile,0.75,23.156906804357828
2025-12-20,wk inc flu hosp,0,2025-12-20,02,quantile,0.8,25.869283742065665
2025-12-20,wk inc flu hosp,0,2025-12-20,02,quantile,0.85,29.044365066229243
2025-12-20,wk inc flu hosp,0,2025-12-20,02,quantile,0.9,32.44577329814873
2025-12-20,wk inc flu hosp,0,2025-12-20,02,quantile,0.95,38.95829130980642
2025-12-20,wk inc flu hosp,0,2025-12-20,02,quantile,0.975,43.888607455793924
2025-12-20,wk inc flu hosp,0,2025-12-20,02,quantile,0.99,51.11946844624806
2025-12-20,wk inc flu hosp,0,2025-12-20,04,quantile,0.01,26.588043114358186
2025-12-20,wk inc flu hosp,0,2025-12-20,04,quantile,0.025,31.234197207329558
2025-12-20,wk inc flu hosp,0,2025-12-20,04,quantile,0.05,43.49978791258468
2025-12-20,wk inc flu hosp,0,2025-12-20,04,quantile,0.1,60.39117528113708
2025-12-20,wk inc flu hosp,0,2025-12-20,04,quantile,0.15,70.51681938415781
2025-12-20,wk inc flu hosp,0,2025-12-20,04,quantile,0.2,79.18524674552869
2025-12-20,wk inc flu hosp,0,2025-12-20,04,quantile,0.25,88.0569175889619
2025-12-20,wk inc flu hosp,0,2025-12-20,04,quantile,0.3,95.81185270728105
2025-12-20,wk inc flu hosp,0,2025-12-20,04,quantile,0.35,101.78617749620274
2025-12-20,wk inc flu hosp,0,2025-12-20,04,quantile,0.4,108.66494376680751
2025-12-20,wk inc flu hosp,0,2025-12-20,04,quantile,0.45,116.87440781779071
2025-12-20,wk inc flu hosp,0,2025-12-20,04,quantile,0.5,126.02309850169387
2025-12-20,wk inc flu hosp,0,2025-12-20,04,quantile,0.55,135.59253884134154
2025-12-20,wk inc flu hosp,0,2025-12-20,04,quantile,0.6,143.32341017651922
2025-12-20,wk inc flu hosp,0,2025-12-20,04,quantile,0.65,150.50109768569604
2025-12-20,wk inc flu hosp,0,2025-12-20,04,quantile,0.7,156.89345774203935
2025-12-20,wk inc flu hosp,0,2025-12-20,04,quantile,0.75,165.30735286390274
2025-12-20,wk inc flu hosp,0,2025-12-20,04,quantile,0.8,175.70877790201132
2025-12-20,wk inc flu hosp,0,2025-12-20,04,quantile,0.85,197.55803456463417
2025-12-20,wk inc flu hosp,0,2025-12-20,04,quantile,0.9,233.32575379717508
2025-12-20,wk inc flu hosp,0,2025-12-20,04,quantile,0.95,260.79615876638934
2025-12-20,wk inc flu hosp,0,2025-12-20,04,quantile,0.975,322.42260577586205
2025-12-20,wk inc flu hosp,0,2025-12-20,04,quantile,0.99,404.03492022379953
2025-12-20,wk inc flu hosp,0,2025-12-20,05,quantile,0.01,26.204424762481118
2025-12-20,wk inc flu hosp,0,2025-12-20,05,quantile,0.025,34.895699535603676
2025-12-20,wk inc flu hosp,0,2025-12-20,05,quantile,0.05,40.10599367393897
2025-12-20,wk inc flu hosp,0,2025-12-20,05,quantile,0.1,50.21621912521107
2025-12-20,wk inc flu hosp,0,2025-12-20,05,quantile,0.15,59.71488886571509
2025-12-20,wk inc flu hosp,0,2025-12-20,05,quantile,0.2,68.16855459334961
2025-12-20,wk inc flu hosp,0,2025-12-20,05,quantile,0.25,75.5495936989434
2025-12-20,wk inc flu hosp,0,2025-12-20,05,quantile,0.3,79.5900244333135
2025-12-20,wk inc flu hosp,0,2025-12-20,05,quantile,0.35,85.68011778312524
2025-12-20,wk inc flu hosp,0,2025-12-20,05,quantile,0.4,91.7423262178279
2025-12-20,wk inc flu hosp,0,2025-12-20,05,quantile,0.45,99.01475655483324
2025-12-20,wk inc flu hosp,0,2025-12-20,05,quantile,0.5,106.67701907686838
2025-12-20,wk inc flu hosp,0,2025-12-20,05,quantile,0.55,114.63099478752338
2025-12-20,wk inc flu hosp,0,2025-12-20,05,quantile,0.6,122.75185641333141
2025-12-20,wk inc flu hosp,0,2025-12-20,05,quantile,0.65,127.62018811994645
2025-12-20,wk inc flu hosp,0,2025-12-20,05,quantile,0.7,141.21874632006387
2025-12-20,wk inc flu hosp,0,2025-12-20,05,quantile,0.75,161.2333010090787
2025-12-20,wk inc flu hosp,0,2025-12-20,05,quantile,0.8,192.13313452503883
2025-12-20,wk inc flu hosp,0,2025-12-20,05,quantile,0.85,222.3861061745575
2025-12-20,wk inc flu hosp,0,2025-12-20,05,quantile,0.9,248.65639794481234
2025-12-20,wk inc flu hosp,0,2025-12-20,05,quantile,0.95,276.43498334460577
2025-12-20,wk inc flu hosp,0,2025-12-20,05,quantile,0.975,325.9386230152182
2025-12-20,wk inc flu hosp,0,2025-12-20,05,quantile,0.99,392.8916749129669
2025-12-20,wk inc flu hosp,0,2025-12-20,06,quantile,0.01,258.76323084089745
2025-12-20,wk inc flu hosp,0,2025-12-20,06,quantile,0.025,266.46971715898536
2025-12-20,wk inc flu hosp,0,2025-12-20,06,quantile,0.05,285.4196384690364
2025-12-20,wk inc flu hosp,0,2025-12-20,06,quantile,0.1,340.1531071141368
2025-12-20,wk inc flu hosp,0,2025-12-20,06,quantile,0.15,377.37529464143057
2025-12-20,wk inc flu hosp,0,2025-12-20,06,quantile,0.2,407.14747583624467
2025-12-20,wk inc flu hosp,0,2025-12-20,06,quantile,0.25,428.2451174332965
2025-12-20,wk inc flu hosp,0,2025-12-20,06,quantile,0.3,458.64995479610553
2025-12-20,wk inc flu hosp,0,2025-12-20,06,quantile,0.35,484.63352516318736
2025-12-20,wk inc flu hosp,0,2025-12-20,06,quantile,0.4,517.5930297932676
2025-12-20,wk inc flu hosp,0,2025-12-20,06,quantile,0.45,546.5637489549423
2025-12-20,wk inc flu hosp,0,2025-12-20,06,quantile,0.5,579.7634877461451
2025-12-20,wk inc flu hosp,0,2025-12-20,06,quantile,0.55,607.8839906376323
2025-12-20,wk inc flu hosp,0,2025-12-20,06,quantile,0.6,630.4107358200208
2025-12-20,wk inc flu hosp,0,2025-12-20,06,quantile,0.65,668.7915890765238
2025-12-20,wk inc flu hosp,0,2025-12-20,06,quantile,0.7,713.9312957991112
2025-12-20,wk inc flu hosp,0,2025-12-20,06,quantile,0.75,765.2102009030004
2025-12-20,wk inc flu hosp,0,2025-12-20,06,quantile,0.8,839.463388490913
2025-12-20,wk inc flu hosp,0,2025-12-20,06,quantile,0.85,906.0184829723205
