reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.01,54.66001073084399
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.025,54.66001073084399
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.05,54.66001073084399
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.1,54.66001073084399
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.15,54.66001073084399
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.2,54.66001073084399
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.25,54.66001073084399
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.3,54.66001073084399
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.35,54.66001073084399
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.4,54.66001073084399
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.45,54.66001073084399
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.5,54.66001073084399
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.55,54.66001073084399
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.6,54.66001073084399
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.65,54.66001073084399
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.7,54.66001073084399
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.75,54.66001073084399
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.8,54.66001073084399
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.85,54.66001073084399
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.9,54.66001073084399
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.95,54.66001073084399
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.975,54.66001073084399
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.99,54.66001073084399
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.01,4.079942068558326
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.025,4.079942068558326
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.05,4.079942068558326
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.1,4.079942068558326
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.15,4.079942068558326
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.2,4.079942068558326
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.25,4.079942068558326
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.3,4.079942068558326
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.35,4.079942068558326
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.4,4.079942068558326
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.45,4.079942068558326
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.5,4.079942068558326
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.55,4.079942068558326
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.6,4.079942068558326
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.65,4.079942068558326
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.7,4.079942068558326
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.75,4.079942068558326
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.8,4.079942068558326
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.85,4.079942068558326
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.9,4.079942068558326
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.95,4.079942068558326
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.975,4.079942068558326
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.99,4.079942068558326
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.01,192.08841647024093
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.025,192.08841647024093
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.05,192.08841647024093
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.1,192.08841647024093
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.15,192.08841647024093
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.2,192.08841647024093
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.25,192.08841647024093
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.3,192.08841647024093
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.35,192.08841647024093
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.4,192.08841647024093
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.45,192.08841647024093
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.5,192.08841647024093
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.55,192.08841647024093
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.6,192.08841647024093
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.65,192.08841647024093
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.7,192.08841647024093
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.75,192.08841647024093
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.8,192.08841647024093
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.85,192.08841647024093
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.9,192.08841647024093
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.95,192.08841647024093
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.975,192.08841647024093
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.99,192.08841647024093
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.01,137.1014559193702
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.025,137.1014559193702
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.05,137.1014559193702
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.1,137.1014559193702
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.15,137.1014559193702
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.2,137.1014559193702
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.25,137.1014559193702
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.3,137.1014559193702
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.35,137.1014559193702
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.4,137.1014559193702
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.45,137.1014559193702
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.5,137.1014559193702
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.55,137.1014559193702
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.6,137.1014559193702
