reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.01,93.09189965515253
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.025,106.37058049795024
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.05,120.0222662074365
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.1,136.96527970533145
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.15,149.51787909670026
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.2,160.04373350599496
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.25,169.80723399858363
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.3,178.4578334098842
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.35,189.0283189281878
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.4,199.9811444782269
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.45,208.89463430590433
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.5,218.64363098759344
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.55,228.084408182873
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.6,237.8447300096608
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.65,249.13084889527732
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.7,260.48236011079166
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.75,273.4609681607653
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.8,289.57870705058417
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.85,305.89335977192763
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.9,334.20169191916216
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.95,380.1520406108823
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.975,422.3345455173976
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.99,478.954526888455
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.01,1.3489081080066687
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.025,1.8733015339690577
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.05,2.4117136735702003
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.1,3.140832361543895
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.15,3.7249318469228934
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.2,4.247393154347772
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.25,4.735380374552054
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.3,5.228921201378532
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.35,5.684154386931671
