reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2026-01-17,2,wk inc flu hosp,2026-02-07,54,quantile,0.01,47.61799026306376
2026-01-17,2,wk inc flu hosp,2026-02-07,54,quantile,0.025,47.61799026306376
2026-01-17,2,wk inc flu hosp,2026-02-07,54,quantile,0.05,47.61799026306376
2026-01-17,2,wk inc flu hosp,2026-02-07,54,quantile,0.1,49.56868489544282
2026-01-17,2,wk inc flu hosp,2026-02-07,54,quantile,0.15,53.256207448713354
2026-01-17,2,wk inc flu hosp,2026-02-07,54,quantile,0.2,57.212628088002816
2026-01-17,2,wk inc flu hosp,2026-02-07,54,quantile,0.25,68.90003922494482
2026-01-17,2,wk inc flu hosp,2026-02-07,54,quantile,0.3,102.29032312530518
2026-01-17,2,wk inc flu hosp,2026-02-07,54,quantile,0.35,151.63068475536133
2026-01-17,2,wk inc flu hosp,2026-02-07,54,quantile,0.4,208.8356876676255
2026-01-17,2,wk inc flu hosp,2026-02-07,54,quantile,0.45,263.09596224237254
2026-01-17,2,wk inc flu hosp,2026-02-07,54,quantile,0.5,296.38398788498756
2026-01-17,2,wk inc flu hosp,2026-02-07,54,quantile,0.55,327.71047043583286
2026-01-17,2,wk inc flu hosp,2026-02-07,54,quantile,0.6,338.9643432642704
2026-01-17,2,wk inc flu hosp,2026-02-07,54,quantile,0.65,341.05673629200044
2026-01-17,2,wk inc flu hosp,2026-02-07,54,quantile,0.7,354.92336693525306
2026-01-17,2,wk inc flu hosp,2026-02-07,54,quantile,0.75,373.2608869763367
2026-01-17,2,wk inc flu hosp,2026-02-07,54,quantile,0.8,388.7871039315117
2026-01-17,2,wk inc flu hosp,2026-02-07,54,quantile,0.85,398.81131498735573
2026-01-17,2,wk inc flu hosp,2026-02-07,54,quantile,0.9,405.2357299727643
2026-01-17,2,wk inc flu hosp,2026-02-07,54,quantile,0.95,409.43763950173127
2026-01-17,2,wk inc flu hosp,2026-02-07,54,quantile,0.975,411.5548647363709
2026-01-17,2,wk inc flu hosp,2026-02-07,54,quantile,0.99,412.83043865412367
2026-01-17,2,wk inc flu hosp,2026-02-07,44,quantile,0.01,45.35312672457109
2026-01-17,2,wk inc flu hosp,2026-02-07,44,quantile,0.025,45.35312672457109
2026-01-17,2,wk inc flu hosp,2026-02-07,44,quantile,0.05,45.35312672457109
2026-01-17,2,wk inc flu hosp,2026-02-07,44,quantile,0.1,45.35312672457109
2026-01-17,2,wk inc flu hosp,2026-02-07,44,quantile,0.15,45.35312672457109
2026-01-17,2,wk inc flu hosp,2026-02-07,44,quantile,0.2,58.64438581698773
2026-01-17,2,wk inc flu hosp,2026-02-07,44,quantile,0.25,80.9740212405486
2026-01-17,2,wk inc flu hosp,2026-02-07,44,quantile,0.3,111.6634144404588
2026-01-17,2,wk inc flu hosp,2026-02-07,44,quantile,0.35,186.67516340045648
2026-01-17,2,wk inc flu hosp,2026-02-07,44,quantile,0.4,260.0742600327268
2026-01-17,2,wk inc flu hosp,2026-02-07,44,quantile,0.45,282.0232281259665
2026-01-17,2,wk inc flu hosp,2026-02-07,44,quantile,0.5,295.7028220815178
2026-01-17,2,wk inc flu hosp,2026-02-07,44,quantile,0.55,305.38469240453094
2026-01-17,2,wk inc flu hosp,2026-02-07,44,quantile,0.6,320.01233038921714
2026-01-17,2,wk inc flu hosp,2026-02-07,44,quantile,0.65,415.3670192920618
2026-01-17,2,wk inc flu hosp,2026-02-07,44,quantile,0.7,476.7722717173404
2026-01-17,2,wk inc flu hosp,2026-02-07,44,quantile,0.75,476.7722717173404
2026-01-17,2,wk inc flu hosp,2026-02-07,44,quantile,0.8,476.7722717173404
2026-01-17,2,wk inc flu hosp,2026-02-07,44,quantile,0.85,476.7722717173404
2026-01-17,2,wk inc flu hosp,2026-02-07,44,quantile,0.9,476.7722717173404
2026-01-17,2,wk inc flu hosp,2026-02-07,44,quantile,0.95,476.7722717173404
2026-01-17,2,wk inc flu hosp,2026-02-07,44,quantile,0.975,476.7722717173404
2026-01-17,2,wk inc flu hosp,2026-02-07,44,quantile,0.99,476.7722717173404
2026-01-17,2,wk inc flu hosp,2026-02-07,01,quantile,0.01,191.70079904297313
2026-01-17,2,wk inc flu hosp,2026-02-07,01,quantile,0.025,191.70079904297313
2026-01-17,2,wk inc flu hosp,2026-02-07,01,quantile,0.05,191.70079904297313
2026-01-17,2,wk inc flu hosp,2026-02-07,01,quantile,0.1,191.70079904297313
2026-01-17,2,wk inc flu hosp,2026-02-07,01,quantile,0.15,191.70079904297313
2026-01-17,2,wk inc flu hosp,2026-02-07,01,quantile,0.2,231.64618703137
2026-01-17,2,wk inc flu hosp,2026-02-07,01,quantile,0.25,294.04660599793965
2026-01-17,2,wk inc flu hosp,2026-02-07,01,quantile,0.3,373.18408107915934
2026-01-17,2,wk inc flu hosp,2026-02-07,01,quantile,0.35,398.8504162506515
2026-01-17,2,wk inc flu hosp,2026-02-07,01,quantile,0.4,424.2671926195652
