reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2026-01-03,0,wk inc flu hosp,2026-01-10,01,quantile,0.01,70.47456608348176
2026-01-03,0,wk inc flu hosp,2026-01-10,01,quantile,0.025,93.84576686205133
2026-01-03,0,wk inc flu hosp,2026-01-10,01,quantile,0.05,129.12506485011292
2026-01-03,0,wk inc flu hosp,2026-01-10,01,quantile,0.1,157.70112959487363
2026-01-03,0,wk inc flu hosp,2026-01-10,01,quantile,0.15,162.15628685864112
2026-01-03,0,wk inc flu hosp,2026-01-10,01,quantile,0.2,166.35218736458225
2026-01-03,0,wk inc flu hosp,2026-01-10,01,quantile,0.25,175.50278616382323
2026-01-03,0,wk inc flu hosp,2026-01-10,01,quantile,0.3,193.92801749864716
2026-01-03,0,wk inc flu hosp,2026-01-10,01,quantile,0.35,209.13291580636232
2026-01-03,0,wk inc flu hosp,2026-01-10,01,quantile,0.4,224.41239297613717
2026-01-03,0,wk inc flu hosp,2026-01-10,01,quantile,0.45,231.23746674233143
2026-01-03,0,wk inc flu hosp,2026-01-10,01,quantile,0.5,252.0742693427625
2026-01-03,0,wk inc flu hosp,2026-01-10,01,quantile,0.55,290.9776164934382
2026-01-03,0,wk inc flu hosp,2026-01-10,01,quantile,0.6,306.7834212206361
2026-01-03,0,wk inc flu hosp,2026-01-10,01,quantile,0.65,329.86241316656003
2026-01-03,0,wk inc flu hosp,2026-01-10,01,quantile,0.7,353.55245077171634
2026-01-03,0,wk inc flu hosp,2026-01-10,01,quantile,0.75,391.3482279070525
2026-01-03,0,wk inc flu hosp,2026-01-10,01,quantile,0.8,429.6963441255471
2026-01-03,0,wk inc flu hosp,2026-01-10,01,quantile,0.85,532.2485108242445
2026-01-03,0,wk inc flu hosp,2026-01-10,01,quantile,0.9,640.0298132739175
2026-01-03,0,wk inc flu hosp,2026-01-10,01,quantile,0.95,1174.3074542770987
2026-01-03,0,wk inc flu hosp,2026-01-10,01,quantile,0.975,1301.8653155071192
2026-01-03,0,wk inc flu hosp,2026-01-10,01,quantile,0.99,1316.4968144193326
2026-01-03,0,wk inc flu hosp,2026-01-10,02,quantile,0.01,20.645229124753037
2026-01-03,0,wk inc flu hosp,2026-01-10,02,quantile,0.025,23.271848374590395
2026-01-03,0,wk inc flu hosp,2026-01-10,02,quantile,0.05,27.33271023306685
2026-01-03,0,wk inc flu hosp,2026-01-10,02,quantile,0.1,44.91086855950639
2026-01-03,0,wk inc flu hosp,2026-01-10,02,quantile,0.15,58.222238641302035
2026-01-03,0,wk inc flu hosp,2026-01-10,02,quantile,0.2,64.28692866173694
2026-01-03,0,wk inc flu hosp,2026-01-10,02,quantile,0.25,72.1337362065589
2026-01-03,0,wk inc flu hosp,2026-01-10,02,quantile,0.3,77.16815635422329
2026-01-03,0,wk inc flu hosp,2026-01-10,02,quantile,0.35,80.14518251366607
2026-01-03,0,wk inc flu hosp,2026-01-10,02,quantile,0.4,81.27098348204932
2026-01-03,0,wk inc flu hosp,2026-01-10,02,quantile,0.45,81.61924792232084
2026-01-03,0,wk inc flu hosp,2026-01-10,02,quantile,0.5,81.7281104790427
2026-01-03,0,wk inc flu hosp,2026-01-10,02,quantile,0.55,83.0757171082513
2026-01-03,0,wk inc flu hosp,2026-01-10,02,quantile,0.6,86.90378085283564
2026-01-03,0,wk inc flu hosp,2026-01-10,02,quantile,0.65,93.53491197429723
2026-01-03,0,wk inc flu hosp,2026-01-10,02,quantile,0.7,102.8056750153012
2026-01-03,0,wk inc flu hosp,2026-01-10,02,quantile,0.75,119.14306128657884
2026-01-03,0,wk inc flu hosp,2026-01-10,02,quantile,0.8,166.52184303370336
2026-01-03,0,wk inc flu hosp,2026-01-10,02,quantile,0.85,216.37172881436064
2026-01-03,0,wk inc flu hosp,2026-01-10,02,quantile,0.9,246.8577437669626
2026-01-03,0,wk inc flu hosp,2026-01-10,02,quantile,0.95,253.29437271450317
2026-01-03,0,wk inc flu hosp,2026-01-10,02,quantile,0.975,264.9329077553121
2026-01-03,0,wk inc flu hosp,2026-01-10,02,quantile,0.99,275.1246144706188
2026-01-03,0,wk inc flu hosp,2026-01-10,04,quantile,0.01,175.0022158952796
