reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.01,147.15097209412474
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.025,173.70600354969608
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.05,200.32172264410286
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.1,236.0782278336468
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.15,263.72547303859614
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.2,287.98038275344027
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.25,310.55253372170733
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.3,332.32171232131526
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.35,353.84963836421065
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.4,375.5617926760082
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.45,397.83218783396376
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.5,421.0350431117558
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.55,445.5877706151725
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.6,471.99960080546344
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.65,500.94098671034664
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.7,533.3593622327362
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.75,570.6967712849372
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.8,615.351794946265
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.85,671.8237202483841
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.9,750.286101814969
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.95,883.721108457885
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.975,1018.5046191625361
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.99,1201.243732165191
2025-12-20,1,wk inc flu hosp,2026-01-03,02,quantile,0.01,4.69083229667341
2025-12-20,1,wk inc flu hosp,2026-01-03,02,quantile,0.025,6.628656764050688
2025-12-20,1,wk inc flu hosp,2026-01-03,02,quantile,0.05,8.81542849967476
2025-12-20,1,wk inc flu hosp,2026-01-03,02,quantile,0.1,12.125353351121962
2025-12-20,1,wk inc flu hosp,2026-01-03,02,quantile,0.15,14.968301314651539
2025-12-20,1,wk inc flu hosp,2026-01-03,02,quantile,0.2,17.66085007078171
2025-12-20,1,wk inc flu hosp,2026-01-03,02,quantile,0.25,20.32988816763372
2025-12-20,1,wk inc flu hosp,2026-01-03,02,quantile,0.3,23.05058795500583
2025-12-20,1,wk inc flu hosp,2026-01-03,02,quantile,0.35,25.88057218626771
2025-12-20,1,wk inc flu hosp,2026-01-03,02,quantile,0.4,28.87326161356498
2025-12-20,1,wk inc flu hosp,2026-01-03,02,quantile,0.45,32.08547481475737
2025-12-20,1,wk inc flu hosp,2026-01-03,02,quantile,0.5,35.58380501101329
2025-12-20,1,wk inc flu hosp,2026-01-03,02,quantile,0.55,39.452035117443
2025-12-20,1,wk inc flu hosp,2026-01-03,02,quantile,0.6,43.80176307484637
2025-12-20,1,wk inc flu hosp,2026-01-03,02,quantile,0.65,48.789668903237384
2025-12-20,1,wk inc flu hosp,2026-01-03,02,quantile,0.7,54.64831893455958
