reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2026-01-03,3,wk inc flu hosp,2026-01-31,01,quantile,0.01,113.34968456709983
2026-01-03,3,wk inc flu hosp,2026-01-31,01,quantile,0.025,133.84607029911365
2026-01-03,3,wk inc flu hosp,2026-01-31,01,quantile,0.05,154.38929752166825
2026-01-03,3,wk inc flu hosp,2026-01-31,01,quantile,0.1,181.98780080417464
2026-01-03,3,wk inc flu hosp,2026-01-31,01,quantile,0.15,203.32720697645854
2026-01-03,3,wk inc flu hosp,2026-01-31,01,quantile,0.2,222.04825372958948
2026-01-03,3,wk inc flu hosp,2026-01-31,01,quantile,0.25,239.47047045039798
2026-01-03,3,wk inc flu hosp,2026-01-31,01,quantile,0.3,256.2729164348125
2026-01-03,3,wk inc flu hosp,2026-01-31,01,quantile,0.35,272.88915268080177
2026-01-03,3,wk inc flu hosp,2026-01-31,01,quantile,0.4,289.64758471625856
2026-01-03,3,wk inc flu hosp,2026-01-31,01,quantile,0.45,306.8368925250453
2026-01-03,3,wk inc flu hosp,2026-01-31,01,quantile,0.5,324.74591562876077
2026-01-03,3,wk inc flu hosp,2026-01-31,01,quantile,0.55,343.6968317489324
2026-01-03,3,wk inc flu hosp,2026-01-31,01,quantile,0.6,364.08268820609266
2026-01-03,3,wk inc flu hosp,2026-01-31,01,quantile,0.65,386.4209712587041
2026-01-03,3,wk inc flu hosp,2026-01-31,01,quantile,0.7,411.44295365115073
2026-01-03,3,wk inc flu hosp,2026-01-31,01,quantile,0.75,440.26167071606073
2026-01-03,3,wk inc flu hosp,2026-01-31,01,quantile,0.8,474.7284568453143
2026-01-03,3,wk inc flu hosp,2026-01-31,01,quantile,0.85,518.3160671992408
2026-01-03,3,wk inc flu hosp,2026-01-31,01,quantile,0.9,578.8769157424562
2026-01-03,3,wk inc flu hosp,2026-01-31,01,quantile,0.95,681.868146270004
2026-01-03,3,wk inc flu hosp,2026-01-31,01,quantile,0.975,785.9002138026502
2026-01-03,3,wk inc flu hosp,2026-01-31,01,quantile,0.99,926.9466047547746
2026-01-03,3,wk inc flu hosp,2026-01-31,02,quantile,0.01,7.193957706114731
2026-01-03,3,wk inc flu hosp,2026-01-31,02,quantile,0.025,9.952518038076644
2026-01-03,3,wk inc flu hosp,2026-01-31,02,quantile,0.05,13.057184735030164
2026-01-03,3,wk inc flu hosp,2026-01-31,02,quantile,0.1,17.74384116461133
2026-01-03,3,wk inc flu hosp,2026-01-31,02,quantile,0.15,21.75981240941261
2026-01-03,3,wk inc flu hosp,2026-01-31,02,quantile,0.2,25.556794889704552
2026-01-03,3,wk inc flu hosp,2026-01-31,02,quantile,0.25,29.31528690258008
2026-01-03,3,wk inc flu hosp,2026-01-31,02,quantile,0.3,33.14176025855061
2026-01-03,3,wk inc flu hosp,2026-01-31,02,quantile,0.35,37.117415575987074
2026-01-03,3,wk inc flu hosp,2026-01-31,02,quantile,0.4,41.31716776505911
2026-01-03,3,wk inc flu hosp,2026-01-31,02,quantile,0.45,45.820385742975304
2026-01-03,3,wk inc flu hosp,2026-01-31,02,quantile,0.5,50.71982802226122
2026-01-03,3,wk inc flu hosp,2026-01-31,02,quantile,0.55,56.131964382707224
2026-01-03,3,wk inc flu hosp,2026-01-31,02,quantile,0.6,62.21171174553299
2026-01-03,3,wk inc flu hosp,2026-01-31,02,quantile,0.65,69.17633725245045
2026-01-03,3,wk inc flu hosp,2026-01-31,02,quantile,0.7,77.34805793243638
2026-01-03,3,wk inc flu hosp,2026-01-31,02,quantile,0.75,87.23735098560515
2026-01-03,3,wk inc flu hosp,2026-01-31,02,quantile,0.8,99.72528035712958
2026-01-03,3,wk inc flu hosp,2026-01-31,02,quantile,0.85,116.52911502671354
2026-01-03,3,wk inc flu hosp,2026-01-31,02,quantile,0.9,141.7103754860347
2026-01-03,3,wk inc flu hosp,2026-01-31,02,quantile,0.95,189.2899236990454
2026-01-03,3,wk inc flu hosp,2026-01-31,02,quantile,0.975,243.23065101128284
2026-01-03,3,wk inc flu hosp,2026-01-31,02,quantile,0.99,325.4528212851411
2026-01-03,3,wk inc flu hosp,2026-01-31,04,quantile,0.01,124.6568087212317
2026-01-03,3,wk inc flu hosp,2026-01-31,04,quantile,0.025,147.17991782428257
2026-01-03,3,wk inc flu hosp,2026-01-31,04,quantile,0.05,169.75450019758676
2026-01-03,3,wk inc flu hosp,2026-01-31,04,quantile,0.1,200.08199835458623
2026-01-03,3,wk inc flu hosp,2026-01-31,04,quantile,0.15,223.53148743509078
2026-01-03,3,wk inc flu hosp,2026-01-31,04,quantile,0.2,244.10370851138958
2026-01-03,3,wk inc flu hosp,2026-01-31,04,quantile,0.25,263.24866865950315
2026-01-03,3,wk inc flu hosp,2026-01-31,04,quantile,0.3,281.71257390861183
2026-01-03,3,wk inc flu hosp,2026-01-31,04,quantile,0.35,299.9718566301473
2026-01-03,3,wk inc flu hosp,2026-01-31,04,quantile,0.4,318.3873957435191
2026-01-03,3,wk inc flu hosp,2026-01-31,04,quantile,0.45,337.27641648333264
2026-01-03,3,wk inc flu hosp,2026-01-31,04,quantile,0.5,356.9563193973383
2026-01-03,3,wk inc flu hosp,2026-01-31,04,quantile,0.55,377.78113978070525
2026-01-03,3,wk inc flu hosp,2026-01-31,04,quantile,0.6,400.1827902544564
2026-01-03,3,wk inc flu hosp,2026-01-31,04,quantile,0.65,424.72992714713075
2026-01-03,3,wk inc flu hosp,2026-01-31,04,quantile,0.7,452.2261329059555
2026-01-03,3,wk inc flu hosp,2026-01-31,04,quantile,0.75,483.89450201012875
2026-01-03,3,wk inc flu hosp,2026-01-31,04,quantile,0.8,521.769432476927
2026-01-03,3,wk inc flu hosp,2026-01-31,04,quantile,0.85,569.6670724012855
2026-01-03,3,wk inc flu hosp,2026-01-31,04,quantile,0.9,636.2162980524053
2026-01-03,3,wk inc flu hosp,2026-01-31,04,quantile,0.95,749.3915062163624
2026-01-03,3,wk inc flu hosp,2026-01-31,04,quantile,0.975,863.7104714178205
2026-01-03,3,wk inc flu hosp,2026-01-31,04,quantile,0.99,1018.7038099284407
2026-01-03,3,wk inc flu hosp,2026-01-31,05,quantile,0.01,90.11636897323024
2026-01-03,3,wk inc flu hosp,2026-01-31,05,quantile,0.025,106.44834445742977
2026-01-03,3,wk inc flu hosp,2026-01-31,05,quantile,0.05,122.81764428188899
2026-01-03,3,wk inc flu hosp,2026-01-31,05,quantile,0.1,144.80874480584504
2026-01-03,3,wk inc flu hosp,2026-01-31,05,quantile,0.15,161.81245770478617
2026-01-03,3,wk inc flu hosp,2026-01-31,05,quantile,0.2,176.7298036509608
2026-01-03,3,wk inc flu hosp,2026-01-31,05,quantile,0.25,190.61221297350914
2026-01-03,3,wk inc flu hosp,2026-01-31,05,quantile,0.3,204.0007752049188
2026-01-03,3,wk inc flu hosp,2026-01-31,05,quantile,0.35,217.24096138004995
2026-01-03,3,wk inc flu hosp,2026-01-31,05,quantile,0.4,230.59445231914796
2026-01-03,3,wk inc flu hosp,2026-01-31,05,quantile,0.45,244.29127464646086
2026-01-03,3,wk inc flu hosp,2026-01-31,05,quantile,0.5,258.5615821094492
2026-01-03,3,wk inc flu hosp,2026-01-31,05,quantile,0.55,273.662093073894
2026-01-03,3,wk inc flu hosp,2026-01-31,05,quantile,0.6,289.9059963764515
2026-01-03,3,wk inc flu hosp,2026-01-31,05,quantile,0.65,307.7056365639664
2026-01-03,3,wk inc flu hosp,2026-01-31,05,quantile,0.7,327.64370800459193
2026-01-03,3,wk inc flu hosp,2026-01-31,05,quantile,0.75,350.60710197775705
2026-01-03,3,wk inc flu hosp,2026-01-31,05,quantile,0.8,378.0710028548221
2026-01-03,3,wk inc flu hosp,2026-01-31,05,quantile,0.85,412.8025790957629
2026-01-03,3,wk inc flu hosp,2026-01-31,05,quantile,0.9,461.0588085911537
2026-01-03,3,wk inc flu hosp,2026-01-31,05,quantile,0.95,543.1245090544415
2026-01-03,3,wk inc flu hosp,2026-01-31,05,quantile,0.975,626.0195715658765
2026-01-03,3,wk inc flu hosp,2026-01-31,05,quantile,0.99,738.4084692614794
2026-01-03,3,wk inc flu hosp,2026-01-31,06,quantile,0.01,512.4064239573448
2026-01-03,3,wk inc flu hosp,2026-01-31,06,quantile,0.025,604.4309550486286
2026-01-03,3,wk inc flu hosp,2026-01-31,06,quantile,0.05,696.6657947406087
2026-01-03,3,wk inc flu hosp,2026-01-31,06,quantile,0.1,820.5773641558457
2026-01-03,3,wk inc flu hosp,2026-01-31,06,quantile,0.15,916.3868825971209
2026-01-03,3,wk inc flu hosp,2026-01-31,06,quantile,0.2,1000.4405090032632
2026-01-03,3,wk inc flu hosp,2026-01-31,06,quantile,0.25,1078.662657301289
2026-01-03,3,wk inc flu hosp,2026-01-31,06,quantile,0.3,1154.1021632278027
2026-01-03,3,wk inc flu hosp,2026-01-31,06,quantile,0.35,1228.7056259568835
2026-01-03,3,wk inc flu hosp,2026-01-31,06,quantile,0.4,1303.9475183593706
2026-01-03,3,wk inc flu hosp,2026-01-31,06,quantile,0.45,1381.1239538329005
2026-01-03,3,wk inc flu hosp,2026-01-31,06,quantile,0.5,1461.5317620665357
2026-01-03,3,wk inc flu hosp,2026-01-31,06,quantile,0.55,1546.6174543691122
2026-01-03,3,wk inc flu hosp,2026-01-31,06,quantile,0.6,1638.1457318855828
2026-01-03,3,wk inc flu hosp,2026-01-31,06,quantile,0.65,1738.440000844921
2026-01-03,3,wk inc flu hosp,2026-01-31,06,quantile,0.7,1850.7835245639692
2026-01-03,3,wk inc flu hosp,2026-01-31,06,quantile,0.75,1980.1736013914388
2026-01-03,3,wk inc flu hosp,2026-01-31,06,quantile,0.8,2134.922339692847
2026-01-03,3,wk inc flu hosp,2026-01-31,06,quantile,0.85,2330.6216916007584
2026-01-03,3,wk inc flu hosp,2026-01-31,06,quantile,0.9,2602.5273710969686
2026-01-03,3,wk inc flu hosp,2026-01-31,06,quantile,0.95,3064.9366865602533
2026-01-03,3,wk inc flu hosp,2026-01-31,06,quantile,0.975,3532.019144819974
2026-01-03,3,wk inc flu hosp,2026-01-31,06,quantile,0.99,4165.288256710939
2026-01-03,3,wk inc flu hosp,2026-01-31,08,quantile,0.01,104.73208358472598
2026-01-03,3,wk inc flu hosp,2026-01-31,08,quantile,0.025,138.38189191890092
2026-01-03,3,wk inc flu hosp,2026-01-31,08,quantile,0.05,175.7716439538241
2026-01-03,3,wk inc flu hosp,2026-01-31,08,quantile,0.1,231.48920494921256
2026-01-03,3,wk inc flu hosp,2026-01-31,08,quantile,0.15,278.69513324529856
2026-01-03,3,wk inc flu hosp,2026-01-31,08,quantile,0.2,322.95940410972327
2026-01-03,3,wk inc flu hosp,2026-01-31,08,quantile,0.25,366.47701934872737
2026-01-03,3,wk inc flu hosp,2026-01-31,08,quantile,0.3,410.5172379548189
2026-01-03,3,wk inc flu hosp,2026-01-31,08,quantile,0.35,456.02515343288314
2026-01-03,3,wk inc flu hosp,2026-01-31,08,quantile,0.4,503.85256147101586
2026-01-03,3,wk inc flu hosp,2026-01-31,08,quantile,0.45,554.8847121270367
2026-01-03,3,wk inc flu hosp,2026-01-31,08,quantile,0.5,610.1416094292514
2026-01-03,3,wk inc flu hosp,2026-01-31,08,quantile,0.55,670.8912368477239
2026-01-03,3,wk inc flu hosp,2026-01-31,08,quantile,0.6,738.808203978417
2026-01-03,3,wk inc flu hosp,2026-01-31,08,quantile,0.65,816.2286885531902
2026-01-03,3,wk inc flu hosp,2026-01-31,08,quantile,0.7,906.6024825399459
2026-01-03,3,wk inc flu hosp,2026-01-31,08,quantile,0.75,1015.3739420704786
2026-01-03,3,wk inc flu hosp,2026-01-31,08,quantile,0.8,1151.903919558005
2026-01-03,3,wk inc flu hosp,2026-01-31,08,quantile,0.85,1334.361335902164
