reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2025-12-06,0,wk inc flu hosp,2025-12-13,01,quantile,0.01,39.53828601604421
2025-12-06,0,wk inc flu hosp,2025-12-13,01,quantile,0.025,39.53828601604421
2025-12-06,0,wk inc flu hosp,2025-12-13,01,quantile,0.05,39.53828601604421
2025-12-06,0,wk inc flu hosp,2025-12-13,01,quantile,0.1,39.53828601604421
2025-12-06,0,wk inc flu hosp,2025-12-13,01,quantile,0.15,40.951358809744285
2025-12-06,0,wk inc flu hosp,2025-12-13,01,quantile,0.2,41.54228518654219
2025-12-06,0,wk inc flu hosp,2025-12-13,01,quantile,0.25,41.59339504474726
2025-12-06,0,wk inc flu hosp,2025-12-13,01,quantile,0.3,41.644566305803515
2025-12-06,0,wk inc flu hosp,2025-12-13,01,quantile,0.35,41.695799043479674
2025-12-06,0,wk inc flu hosp,2025-12-13,01,quantile,0.4,41.74709333163312
2025-12-06,0,wk inc flu hosp,2025-12-13,01,quantile,0.45,42.435347502101195
2025-12-06,0,wk inc flu hosp,2025-12-13,01,quantile,0.5,42.49270240025706
2025-12-06,0,wk inc flu hosp,2025-12-13,01,quantile,0.55,42.55013303360398
2025-12-06,0,wk inc flu hosp,2025-12-13,01,quantile,0.6,42.607639502147734
2025-12-06,0,wk inc flu hosp,2025-12-13,01,quantile,0.65,42.665221906026105
2025-12-06,0,wk inc flu hosp,2025-12-13,01,quantile,0.7,42.7228803455091
2025-12-06,0,wk inc flu hosp,2025-12-13,01,quantile,0.75,42.78061492099917
2025-12-06,0,wk inc flu hosp,2025-12-13,01,quantile,0.8,42.83842573303132
2025-12-06,0,wk inc flu hosp,2025-12-13,01,quantile,0.85,42.89631288227328
2025-12-06,0,wk inc flu hosp,2025-12-13,01,quantile,0.9,42.95427646952578
2025-12-06,0,wk inc flu hosp,2025-12-13,01,quantile,0.95,43.86962981517159
2025-12-06,0,wk inc flu hosp,2025-12-13,01,quantile,0.975,45.53325714476258
2025-12-06,0,wk inc flu hosp,2025-12-13,01,quantile,0.99,46.56089648081884
2025-12-06,0,wk inc flu hosp,2025-12-13,02,quantile,0.01,2.468025029896158
2025-12-06,0,wk inc flu hosp,2025-12-13,02,quantile,0.025,2.468025029896158
2025-12-06,0,wk inc flu hosp,2025-12-13,02,quantile,0.05,2.468025029896158
2025-12-06,0,wk inc flu hosp,2025-12-13,02,quantile,0.1,4.886521961765258
2025-12-06,0,wk inc flu hosp,2025-12-13,02,quantile,0.15,5.160775241342232
2025-12-06,0,wk inc flu hosp,2025-12-13,02,quantile,0.2,5.447805991528722
2025-12-06,0,wk inc flu hosp,2025-12-13,02,quantile,0.25,5.748209515160956
2025-12-06,0,wk inc flu hosp,2025-12-13,02,quantile,0.3,6.062608850256691
2025-12-06,0,wk inc flu hosp,2025-12-13,02,quantile,0.35,6.391656062198359
2025-12-06,0,wk inc flu hosp,2025-12-13,02,quantile,0.4,6.736033596119085
2025-12-06,0,wk inc flu hosp,2025-12-13,02,quantile,0.45,7.096455692296412
2025-12-06,0,wk inc flu hosp,2025-12-13,02,quantile,0.5,7.473669867489273
2025-12-06,0,wk inc flu hosp,2025-12-13,02,quantile,0.55,7.868458465290518
2025-12-06,0,wk inc flu hosp,2025-12-13,02,quantile,0.6,8.28210593667119
2025-12-06,0,wk inc flu hosp,2025-12-13,02,quantile,0.65,8.716478791395128
2025-12-06,0,wk inc flu hosp,2025-12-13,02,quantile,0.7,9.171178905709546
2025-12-06,0,wk inc flu hosp,2025-12-13,02,quantile,0.75,9.647157530315228
2025-12-06,0,wk inc flu hosp,2025-12-13,02,quantile,0.8,10.145410431401716
2025-12-06,0,wk inc flu hosp,2025-12-13,02,quantile,0.85,10.718857683138165
2025-12-06,0,wk inc flu hosp,2025-12-13,02,quantile,0.9,11.582969217289053
2025-12-06,0,wk inc flu hosp,2025-12-13,02,quantile,0.95,12.510797605389522
2025-12-06,0,wk inc flu hosp,2025-12-13,02,quantile,0.975,12.875465985045631
2025-12-06,0,wk inc flu hosp,2025-12-13,02,quantile,0.99,12.895828335547595
2025-12-06,0,wk inc flu hosp,2025-12-13,04,quantile,0.01,128.16857627262468
2025-12-06,0,wk inc flu hosp,2025-12-13,04,quantile,0.025,128.2964366150646
2025-12-06,0,wk inc flu hosp,2025-12-13,04,quantile,0.05,128.64731128148668
2025-12-06,0,wk inc flu hosp,2025-12-13,04,quantile,0.1,129.3519197278449
2025-12-06,0,wk inc flu hosp,2025-12-13,04,quantile,0.15,130.060357586921
2025-12-06,0,wk inc flu hosp,2025-12-13,04,quantile,0.2,130.77264567084407
2025-12-06,0,wk inc flu hosp,2025-12-13,04,quantile,0.25,131.48880490485269
2025-12-06,0,wk inc flu hosp,2025-12-13,04,quantile,0.3,132.20885632791044
2025-12-06,0,wk inc flu hosp,2025-12-13,04,quantile,0.35,132.93282109332372
2025-12-06,0,wk inc flu hosp,2025-12-13,04,quantile,0.4,133.66072046936267
2025-12-06,0,wk inc flu hosp,2025-12-13,04,quantile,0.45,134.39257583988697
2025-12-06,0,wk inc flu hosp,2025-12-13,04,quantile,0.5,135.12840870497303
2025-12-06,0,wk inc flu hosp,2025-12-13,04,quantile,0.55,136.908757322145
2025-12-06,0,wk inc flu hosp,2025-12-13,04,quantile,0.6,139.67763810610384
2025-12-06,0,wk inc flu hosp,2025-12-13,04,quantile,0.65,142.50211144955395
2025-12-06,0,wk inc flu hosp,2025-12-13,04,quantile,0.7,145.38329351924682
2025-12-06,0,wk inc flu hosp,2025-12-13,04,quantile,0.75,148.32232289191586
2025-12-06,0,wk inc flu hosp,2025-12-13,04,quantile,0.8,151.95009837366732
2025-12-06,0,wk inc flu hosp,2025-12-13,04,quantile,0.85,164.5216587688336
2025-12-06,0,wk inc flu hosp,2025-12-13,04,quantile,0.9,200.41375708296346
2025-12-06,0,wk inc flu hosp,2025-12-13,04,quantile,0.95,220.56825980069956
2025-12-06,0,wk inc flu hosp,2025-12-13,04,quantile,0.975,231.38963552035742
2025-12-06,0,wk inc flu hosp,2025-12-13,04,quantile,0.99,238.13452378988634
2025-12-06,0,wk inc flu hosp,2025-12-13,05,quantile,0.01,219.34861004642306
2025-12-06,0,wk inc flu hosp,2025-12-13,05,quantile,0.025,219.34861004642306
2025-12-06,0,wk inc flu hosp,2025-12-13,05,quantile,0.05,219.34861004642306
2025-12-06,0,wk inc flu hosp,2025-12-13,05,quantile,0.1,219.34861004642306
2025-12-06,0,wk inc flu hosp,2025-12-13,05,quantile,0.15,219.34861004642306
2025-12-06,0,wk inc flu hosp,2025-12-13,05,quantile,0.2,219.34861004642306
2025-12-06,0,wk inc flu hosp,2025-12-13,05,quantile,0.25,219.34861004642306
2025-12-06,0,wk inc flu hosp,2025-12-13,05,quantile,0.3,219.34861004642306
2025-12-06,0,wk inc flu hosp,2025-12-13,05,quantile,0.35,219.34861004642306
2025-12-06,0,wk inc flu hosp,2025-12-13,05,quantile,0.4,219.34861004642306
2025-12-06,0,wk inc flu hosp,2025-12-13,05,quantile,0.45,219.34861004642306
2025-12-06,0,wk inc flu hosp,2025-12-13,05,quantile,0.5,219.34861004642306
2025-12-06,0,wk inc flu hosp,2025-12-13,05,quantile,0.55,283.26302008668443
2025-12-06,0,wk inc flu hosp,2025-12-13,05,quantile,0.6,291.44297130623346
2025-12-06,0,wk inc flu hosp,2025-12-13,05,quantile,0.65,299.85830876045276
2025-12-06,0,wk inc flu hosp,2025-12-13,05,quantile,0.7,313.92497535275595
2025-12-06,0,wk inc flu hosp,2025-12-13,05,quantile,0.75,427.11771004808185
2025-12-06,0,wk inc flu hosp,2025-12-13,05,quantile,0.8,452.6838354296323
2025-12-06,0,wk inc flu hosp,2025-12-13,05,quantile,0.85,479.77670626385606
2025-12-06,0,wk inc flu hosp,2025-12-13,05,quantile,0.9,508.4874959938346
2025-12-06,0,wk inc flu hosp,2025-12-13,05,quantile,0.95,538.9128227140197
2025-12-06,0,wk inc flu hosp,2025-12-13,05,quantile,0.975,554.8001989938045
2025-12-06,0,wk inc flu hosp,2025-12-13,05,quantile,0.99,564.5561528226025
2025-12-06,0,wk inc flu hosp,2025-12-13,06,quantile,0.01,158.18137925750574
2025-12-06,0,wk inc flu hosp,2025-12-13,06,quantile,0.025,158.18137925750574
2025-12-06,0,wk inc flu hosp,2025-12-13,06,quantile,0.05,158.18137925750574
2025-12-06,0,wk inc flu hosp,2025-12-13,06,quantile,0.1,158.18137925750574
2025-12-06,0,wk inc flu hosp,2025-12-13,06,quantile,0.15,158.7192046403893
2025-12-06,0,wk inc flu hosp,2025-12-13,06,quantile,0.2,159.74427491370972
2025-12-06,0,wk inc flu hosp,2025-12-13,06,quantile,0.25,160.13769317398433
2025-12-06,0,wk inc flu hosp,2025-12-13,06,quantile,0.3,160.53207431724562
2025-12-06,0,wk inc flu hosp,2025-12-13,06,quantile,0.35,160.92742070012957
2025-12-06,0,wk inc flu hosp,2025-12-13,06,quantile,0.4,161.32373468504005
2025-12-06,0,wk inc flu hosp,2025-12-13,06,quantile,0.45,161.721018640163
2025-12-06,0,wk inc flu hosp,2025-12-13,06,quantile,0.5,162.11927493947996
2025-12-06,0,wk inc flu hosp,2025-12-13,06,quantile,0.55,162.51850596278325
2025-12-06,0,wk inc flu hosp,2025-12-13,06,quantile,0.6,162.9187140956895
2025-12-06,0,wk inc flu hosp,2025-12-13,06,quantile,0.65,163.31990172965405
2025-12-06,0,wk inc flu hosp,2025-12-13,06,quantile,0.7,163.7340182244649
2025-12-06,0,wk inc flu hosp,2025-12-13,06,quantile,0.75,183.58662688740623
2025-12-06,0,wk inc flu hosp,2025-12-13,06,quantile,0.8,184.61626512210304
2025-12-06,0,wk inc flu hosp,2025-12-13,06,quantile,0.85,185.6516467571331
2025-12-06,0,wk inc flu hosp,2025-12-13,06,quantile,0.9,186.69280382961972
2025-12-06,0,wk inc flu hosp,2025-12-13,06,quantile,0.95,187.7397685553923
2025-12-06,0,wk inc flu hosp,2025-12-13,06,quantile,0.975,188.26543890481727
2025-12-06,0,wk inc flu hosp,2025-12-13,06,quantile,0.99,188.58154361010958
2025-12-06,0,wk inc flu hosp,2025-12-13,08,quantile,0.01,281.06976736296366
2025-12-06,0,wk inc flu hosp,2025-12-13,08,quantile,0.025,281.06976736296366
2025-12-06,0,wk inc flu hosp,2025-12-13,08,quantile,0.05,281.06976736296366
2025-12-06,0,wk inc flu hosp,2025-12-13,08,quantile,0.1,281.06976736296366
2025-12-06,0,wk inc flu hosp,2025-12-13,08,quantile,0.15,281.06976736296366
2025-12-06,0,wk inc flu hosp,2025-12-13,08,quantile,0.2,281.06976736296366
2025-12-06,0,wk inc flu hosp,2025-12-13,08,quantile,0.25,281.06976736296366
2025-12-06,0,wk inc flu hosp,2025-12-13,08,quantile,0.3,281.06976736296366
2025-12-06,0,wk inc flu hosp,2025-12-13,08,quantile,0.35,281.06976736296366
2025-12-06,0,wk inc flu hosp,2025-12-13,08,quantile,0.4,281.06976736296366
2025-12-06,0,wk inc flu hosp,2025-12-13,08,quantile,0.45,281.06976736296366
2025-12-06,0,wk inc flu hosp,2025-12-13,08,quantile,0.5,281.06976736296366
2025-12-06,0,wk inc flu hosp,2025-12-13,08,quantile,0.55,281.8822293505806
2025-12-06,0,wk inc flu hosp,2025-12-13,08,quantile,0.6,282.85103075620435
2025-12-06,0,wk inc flu hosp,2025-12-13,08,quantile,0.65,283.82315006612237
2025-12-06,0,wk inc flu hosp,2025-12-13,08,quantile,0.7,284.79859864333287
2025-12-06,0,wk inc flu hosp,2025-12-13,08,quantile,0.75,285.77738788975034
2025-12-06,0,wk inc flu hosp,2025-12-13,08,quantile,0.8,287.79931245492156
2025-12-06,0,wk inc flu hosp,2025-12-13,08,quantile,0.85,293.03091912060114
2025-12-06,0,wk inc flu hosp,2025-12-13,08,quantile,0.9,313.7005328237889
2025-12-06,0,wk inc flu hosp,2025-12-13,08,quantile,0.95,317.60037573212793
2025-12-06,0,wk inc flu hosp,2025-12-13,08,quantile,0.975,319.5683828420448
2025-12-06,0,wk inc flu hosp,2025-12-13,08,quantile,0.99,320.75501741222223
2025-12-06,0,wk inc flu hosp,2025-12-13,09,quantile,0.01,31.649394922980417
2025-12-06,0,wk inc flu hosp,2025-12-13,09,quantile,0.025,31.649394922980417
2025-12-06,0,wk inc flu hosp,2025-12-13,09,quantile,0.05,31.649394922980417
2025-12-06,0,wk inc flu hosp,2025-12-13,09,quantile,0.1,31.649394922980417
2025-12-06,0,wk inc flu hosp,2025-12-13,09,quantile,0.15,31.649394922980417
2025-12-06,0,wk inc flu hosp,2025-12-13,09,quantile,0.2,31.649394922980417
2025-12-06,0,wk inc flu hosp,2025-12-13,09,quantile,0.25,31.649394922980417
2025-12-06,0,wk inc flu hosp,2025-12-13,09,quantile,0.3,31.649394922980417
2025-12-06,0,wk inc flu hosp,2025-12-13,09,quantile,0.35,31.649394922980417
2025-12-06,0,wk inc flu hosp,2025-12-13,09,quantile,0.4,31.649394922980417
2025-12-06,0,wk inc flu hosp,2025-12-13,09,quantile,0.45,31.649394922980417
2025-12-06,0,wk inc flu hosp,2025-12-13,09,quantile,0.5,31.649394922980417
2025-12-06,0,wk inc flu hosp,2025-12-13,09,quantile,0.55,42.890565451156796
2025-12-06,0,wk inc flu hosp,2025-12-13,09,quantile,0.6,63.466338060175985
2025-12-06,0,wk inc flu hosp,2025-12-13,09,quantile,0.65,80.46766809512638
2025-12-06,0,wk inc flu hosp,2025-12-13,09,quantile,0.7,81.77564713532955
2025-12-06,0,wk inc flu hosp,2025-12-13,09,quantile,0.75,83.10462602994873
2025-12-06,0,wk inc flu hosp,2025-12-13,09,quantile,0.8,84.45494193567518
2025-12-06,0,wk inc flu hosp,2025-12-13,09,quantile,0.85,85.82693742231571
2025-12-06,0,wk inc flu hosp,2025-12-13,09,quantile,0.9,86.77038148394229
2025-12-06,0,wk inc flu hosp,2025-12-13,09,quantile,0.95,87.33742220891973
2025-12-06,0,wk inc flu hosp,2025-12-13,09,quantile,0.975,87.62231485868223
2025-12-06,0,wk inc flu hosp,2025-12-13,09,quantile,0.99,87.7936912798424
2025-12-06,0,wk inc flu hosp,2025-12-13,10,quantile,0.01,3.9626883644264934
2025-12-06,0,wk inc flu hosp,2025-12-13,10,quantile,0.025,3.9626883644264934
