reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2026-02-14,1,wk inc flu hosp,2026-02-28,01,quantile,0.01,11.531831957084188
2026-02-14,1,wk inc flu hosp,2026-02-28,01,quantile,0.025,12.987822576085945
2026-02-14,1,wk inc flu hosp,2026-02-28,01,quantile,0.05,14.374653027870236
2026-02-14,1,wk inc flu hosp,2026-02-28,01,quantile,0.1,16.145073431901125
2026-02-14,1,wk inc flu hosp,2026-02-28,01,quantile,0.15,17.453357359476012
2026-02-14,1,wk inc flu hosp,2026-02-28,01,quantile,0.2,18.563977130806194
2026-02-14,1,wk inc flu hosp,2026-02-28,01,quantile,0.25,19.569911900407718
2026-02-14,1,wk inc flu hosp,2026-02-28,01,quantile,0.3,20.51727699880609
2026-02-14,1,wk inc flu hosp,2026-02-28,01,quantile,0.35,21.434057074409505
2026-02-14,1,wk inc flu hosp,2026-02-28,01,quantile,0.4,22.340083861220794
2026-02-14,1,wk inc flu hosp,2026-02-28,01,quantile,0.45,23.251487319947316
2026-02-14,1,wk inc flu hosp,2026-02-28,01,quantile,0.5,24.18318107001968
2026-02-14,1,wk inc flu hosp,2026-02-28,01,quantile,0.55,25.150668634816547
2026-02-14,1,wk inc flu hosp,2026-02-28,01,quantile,0.6,26.171822199795052
2026-02-14,1,wk inc flu hosp,2026-02-28,01,quantile,0.65,27.2691894159804
2026-02-14,1,wk inc flu hosp,2026-02-28,01,quantile,0.7,28.473646170032858
2026-02-14,1,wk inc flu hosp,2026-02-28,01,quantile,0.75,29.831080457511685
2026-02-14,1,wk inc flu hosp,2026-02-28,01,quantile,0.8,31.41634380193449
2026-02-14,1,wk inc flu hosp,2026-02-28,01,quantile,0.85,33.367329286002914
2026-02-14,1,wk inc flu hosp,2026-02-28,01,quantile,0.9,35.98978667687603
2026-02-14,1,wk inc flu hosp,2026-02-28,01,quantile,0.95,40.24923064317428
2026-02-14,1,wk inc flu hosp,2026-02-28,01,quantile,0.975,44.33890856534273
2026-02-14,1,wk inc flu hosp,2026-02-28,01,quantile,0.99,49.60653629710469
2026-02-14,1,wk inc flu hosp,2026-02-28,02,quantile,0.01,0.887712149691752
2026-02-14,1,wk inc flu hosp,2026-02-28,02,quantile,0.025,1.1070329314209644
2026-02-14,1,wk inc flu hosp,2026-02-28,02,quantile,0.05,1.3159358837076653
2026-02-14,1,wk inc flu hosp,2026-02-28,02,quantile,0.1,1.5826202853335627
2026-02-14,1,wk inc flu hosp,2026-02-28,02,quantile,0.15,1.7796915095398096
2026-02-14,1,wk inc flu hosp,2026-02-28,02,quantile,0.2,1.9469879146629805
2026-02-14,1,wk inc flu hosp,2026-02-28,02,quantile,0.25,2.0985152646048797
2026-02-14,1,wk inc flu hosp,2026-02-28,02,quantile,0.3,2.2412200672677964
2026-02-14,1,wk inc flu hosp,2026-02-28,02,quantile,0.35,2.3793177447054186
2026-02-14,1,wk inc flu hosp,2026-02-28,02,quantile,0.4,2.515795617953871
2026-02-14,1,wk inc flu hosp,2026-02-28,02,quantile,0.45,2.6530833974422134
2026-02-14,1,wk inc flu hosp,2026-02-28,02,quantile,0.5,2.7934275720071495
2026-02-14,1,wk inc flu hosp,2026-02-28,02,quantile,0.55,2.939163489708337
2026-02-14,1,wk inc flu hosp,2026-02-28,02,quantile,0.6,3.0929832981698833
2026-02-14,1,wk inc flu hosp,2026-02-28,02,quantile,0.65,3.258283426176744
2026-02-14,1,wk inc flu hosp,2026-02-28,02,quantile,0.7,3.4397148127600796
2026-02-14,1,wk inc flu hosp,2026-02-28,02,quantile,0.75,3.644189721588824
2026-02-14,1,wk inc flu hosp,2026-02-28,02,quantile,0.8,3.882983290316519
2026-02-14,1,wk inc flu hosp,2026-02-28,02,quantile,0.85,4.176866819457388
2026-02-14,1,wk inc flu hosp,2026-02-28,02,quantile,0.9,4.57189642851639
2026-02-14,1,wk inc flu hosp,2026-02-28,02,quantile,0.95,5.21351085118403
2026-02-14,1,wk inc flu hosp,2026-02-28,02,quantile,0.975,5.829552841568311
2026-02-14,1,wk inc flu hosp,2026-02-28,02,quantile,0.99,6.623033388016199
2026-02-14,1,wk inc flu hosp,2026-02-28,04,quantile,0.01,214.165090359986
2026-02-14,1,wk inc flu hosp,2026-02-28,04,quantile,0.025,239.16369823899677
2026-02-14,1,wk inc flu hosp,2026-02-28,04,quantile,0.05,262.9748617220393
2026-02-14,1,wk inc flu hosp,2026-02-28,04,quantile,0.1,293.37206681647325
2026-02-14,1,wk inc flu hosp,2026-02-28,04,quantile,0.15,315.8346269957963
2026-02-14,1,wk inc flu hosp,2026-02-28,04,quantile,0.2,334.9033955742606
2026-02-14,1,wk inc flu hosp,2026-02-28,04,quantile,0.25,352.174776673112
2026-02-14,1,wk inc flu hosp,2026-02-28,04,quantile,0.3,368.44054672962415
2026-02-14,1,wk inc flu hosp,2026-02-28,04,quantile,0.35,384.1811877215371
2026-02-14,1,wk inc flu hosp,2026-02-28,04,quantile,0.4,399.7372002917996
2026-02-14,1,wk inc flu hosp,2026-02-28,04,quantile,0.45,415.3855275453772
2026-02-14,1,wk inc flu hosp,2026-02-28,04,quantile,0.5,431.3822286349438
2026-02-14,1,wk inc flu hosp,2026-02-28,04,quantile,0.55,447.9934910596688
2026-02-14,1,wk inc flu hosp,2026-02-28,04,quantile,0.6,465.526171024773
2026-02-14,1,wk inc flu hosp,2026-02-28,04,quantile,0.65,484.36740006751734
2026-02-14,1,wk inc flu hosp,2026-02-28,04,quantile,0.7,505.0473012350314
2026-02-14,1,wk inc flu hosp,2026-02-28,04,quantile,0.75,528.3537477404855
2026-02-14,1,wk inc flu hosp,2026-02-28,04,quantile,0.8,555.571901631728
2026-02-14,1,wk inc flu hosp,2026-02-28,04,quantile,0.85,589.0693160088252
2026-02-14,1,wk inc flu hosp,2026-02-28,04,quantile,0.9,634.0955566578192
2026-02-14,1,wk inc flu hosp,2026-02-28,04,quantile,0.95,707.2280123937724
2026-02-14,1,wk inc flu hosp,2026-02-28,04,quantile,0.975,777.445672723089
2026-02-14,1,wk inc flu hosp,2026-02-28,04,quantile,0.99,867.8881236567383
2026-02-14,1,wk inc flu hosp,2026-02-28,05,quantile,0.01,40.63820567027352
2026-02-14,1,wk inc flu hosp,2026-02-28,05,quantile,0.025,45.47587322403553
2026-02-14,1,wk inc flu hosp,2026-02-28,05,quantile,0.05,50.08374953285801
2026-02-14,1,wk inc flu hosp,2026-02-28,05,quantile,0.1,55.96614000524344
2026-02-14,1,wk inc flu hosp,2026-02-28,05,quantile,0.15,60.3130380037186
2026-02-14,1,wk inc flu hosp,2026-02-28,05,quantile,0.2,64.00317801026222
2026-02-14,1,wk inc flu hosp,2026-02-28,05,quantile,0.25,67.34549212451026
2026-02-14,1,wk inc flu hosp,2026-02-28,05,quantile,0.3,70.49320292585493
2026-02-14,1,wk inc flu hosp,2026-02-28,05,quantile,0.35,73.53929207492025
2026-02-14,1,wk inc flu hosp,2026-02-28,05,quantile,0.4,76.54965239743476
2026-02-14,1,wk inc flu hosp,2026-02-28,05,quantile,0.45,79.5778772246597
2026-02-14,1,wk inc flu hosp,2026-02-28,05,quantile,0.5,82.67351847807528
2026-02-14,1,wk inc flu hosp,2026-02-28,05,quantile,0.55,85.8880880912332
2026-02-14,1,wk inc flu hosp,2026-02-28,05,quantile,0.6,89.28096810311943
2026-02-14,1,wk inc flu hosp,2026-02-28,05,quantile,0.65,92.92707523253328
2026-02-14,1,wk inc flu hosp,2026-02-28,05,quantile,0.7,96.92899755465926
2026-02-14,1,wk inc flu hosp,2026-02-28,05,quantile,0.75,101.43920230680429
