reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.01,0.0
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.025,0.0
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.05,0.0
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.1,4.217833233009898
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.15,11.809724111585943
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.2,17.843518314039738
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.25,23.01997648052201
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.3,27.668595899188425
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.35,31.97623457336664
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.4,36.063762430257384
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.45,40.018492936373676
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.5,43.91052268442819
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.55,47.8025524324827
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.6,51.75728293859899
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.65,55.844810795489735
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.7,60.15244946966794
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.75,64.80106888833436
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.8,69.97752705481665
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.85,76.01132125727042
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.9,83.60321213584648
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.95,94.85553805716438
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.975,104.61525268977365
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.99,115.9630301315479
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.01,0.0
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.025,0.0
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.05,0.0
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.1,0.0
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.15,0.0
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.2,0.5998668260275348
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.25,1.4007481923408767
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.3,2.1199644115694567
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.35,2.7864254233280947
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.4,3.4188317501226058
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.45,4.030692190075089
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.5,4.632851813915399
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.55,5.235011437755709
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.6,5.846871877708192
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.65,6.479278204502703
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.7,7.14573921626134
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.75,7.864955435489921
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.8,8.665836801803263
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.85,9.599361847210632
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.9,10.773949517812373
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.95,12.514865385039826
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.975,14.02485027014982
2025-11-22,1,wk inc flu hosp,2025-12-06,02,quantile,0.99,15.78053402338372
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.01,44.706661271100785
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.025,65.26515057291827
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.05,82.94658554049708
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.1,103.33214767025713
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.15,117.0861896585329
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.2,128.0174662188106
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.25,137.39552816820785
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.3,145.81731763995592
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.35,153.62136068306145
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.4,161.0266343719355
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.45,168.19132236645535
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.5,175.2424169396693
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.55,182.29351151288327
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.6,189.45819950740312
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.65,196.86347319627717
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.7,204.66751623938268
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.75,213.08930571113078
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.8,222.46736766052805
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.85,233.39864422080572
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.9,247.15268620908148
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.95,267.5382483388415
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.975,285.21968330642034
2025-11-22,1,wk inc flu hosp,2025-12-06,04,quantile,0.99,305.7781726082378
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.01,0.0
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.025,0.0
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.05,0.0
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.1,0.0
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.15,0.0
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.2,10.072532989770401
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.25,21.486118108047222
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.3,31.735870295937396
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.35,41.23379321645145
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.4,50.246393264111845
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.45,58.966188112193876
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.5,67.54773390733224
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.55,76.12927970247063
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.6,84.84907455055264
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.65,93.86167459821303
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.7,103.35959751872707
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.75,113.60934970661727
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.8,125.0229348248941
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.85,138.3268622403205
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.9,155.0662407814943
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.95,179.87652139249948
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.975,201.39573976668686
2025-11-22,1,wk inc flu hosp,2025-12-06,05,quantile,0.99,226.4164816657696
2025-11-22,1,wk inc flu hosp,2025-12-06,06,quantile,0.01,0.0
2025-11-22,1,wk inc flu hosp,2025-12-06,06,quantile,0.025,0.0
2025-11-22,1,wk inc flu hosp,2025-12-06,06,quantile,0.05,0.6647154820830679
2025-11-22,1,wk inc flu hosp,2025-12-06,06,quantile,0.1,77.60547974219008
2025-11-22,1,wk inc flu hosp,2025-12-06,06,quantile,0.15,129.51704811138637
