location,forecast_date,target_date,horizon,mu,sigma,median_forecast,lower_95,upper_95
Alabama,2025-11-08,2025-11-29,3,30.964677805787016,25.0401611328125,30.964677805787016,0.0,80.0424917931792
Alaska,2025-11-08,2025-11-29,3,2.3975002098312417,5.614935874938965,2.3975002098312417,0.0,13.40257230021351
Arizona,2025-11-08,2025-11-29,3,127.58023337956745,79.8037109375,127.58023337956745,0.0,283.9926326497126
Arkansas,2025-11-08,2025-11-29,3,17.072628604933517,30.5389404296875,17.072628604933517,0.0,76.92785197313518
California,2025-11-08,2025-11-29,3,213.23098919899206,200.94754028320312,213.23098919899206,0.0,607.0809309359819
Colorado,2025-11-08,2025-11-29,3,26.137829567142035,7.423861503601074,26.137829567142035,11.587328393870553,40.68833074041351
Connecticut,2025-11-08,2025-11-29,3,44.39009074029865,31.147920608520508,44.39009074029865,0.0,105.43889332631177
Delaware,2025-11-08,2025-11-29,3,0.5410543790053437,10.088007926940918,0.5410543790053437,0.0,20.31318659156412
District of Columbia,2025-11-08,2025-11-29,3,2.712300651258541,11.761695861816406,2.712300651258541,0.0,25.76480093753249
Florida,2025-11-08,2025-11-29,3,242.47851313844455,78.49554443359375,242.47851313844455,88.63007310173725,396.32695317515186
Georgia,2025-11-08,2025-11-29,3,75.92686576784095,66.5496597290039,75.92686576784095,0.0,206.3618020200842
Hawaii,2025-11-08,2025-11-29,3,7.598869282200731,7.760980129241943,7.598869282200731,0.0,22.810110820245953
Idaho,2025-11-08,2025-11-29,3,15.151960591637392,9.595048904418945,15.151960591637392,0.0,33.95791087419903
Illinois,2025-11-08,2025-11-29,3,25.372248407054155,114.0555648803711,25.372248407054155,0.0,248.91704780895293
Indiana,2025-11-08,2025-11-29,3,61.369606527346406,44.87437438964844,61.369606527346406,0.0,149.3217641598239
Iowa,2025-11-08,2025-11-29,3,17.499002003514132,22.178325653076172,17.499002003514132,0.0,60.967721520944195
Kansas,2025-11-08,2025-11-29,3,12.779243309543727,21.43157196044922,12.779243309543727,0.0,54.78435248410267
Kentucky,2025-11-08,2025-11-29,3,33.90038444160935,45.700130462646484,33.90038444160935,0.0,123.47099423717826
Louisiana,2025-11-08,2025-11-29,3,94.74355988458136,24.254098892211914,94.74355988458136,47.20639957837317,142.28072019078954
Maine,2025-11-08,2025-11-29,3,6.7143072149866665,14.587950706481934,6.7143072149866665,0.0,35.30616520793689
Maryland,2025-11-08,2025-11-29,3,18.644082281586197,26.516387939453125,18.644082281586197,0.0,70.61524764300658
Massachusetts,2025-11-08,2025-11-29,3,36.76446882983916,50.19340133666992,36.76446882983916,0.0,135.14172771127681
Michigan,2025-11-08,2025-11-29,3,68.0041327262384,75.65422821044922,68.0041327262384,0.0,216.283695296893
Minnesota,2025-11-08,2025-11-29,3,11.1829545888584,47.090824127197266,11.1829545888584,0.0,103.47927388047486
Mississippi,2025-11-08,2025-11-29,3,29.772864793019515,9.038639068603516,29.772864793019515,12.05745774929996,47.48827183673906
Missouri,2025-11-08,2025-11-29,3,47.78969561761033,63.90126037597656,47.78969561761033,0.0,173.03386452124082
