location,forecast_date,target_date,horizon,mu,sigma,bias_applied,median_forecast,lower_95,upper_95
Alabama,2025-12-27,2026-01-17,3,241.99086766038272,0.44999998807907104,0.0,241.99086766038272,99.58871669757808,585.9899100498941
Alaska,2025-12-27,2026-01-17,3,28.581458590744344,0.7999999523162842,0.0,28.581458590744344,5.1667790768302275,140.89947158050475
Arizona,2025-12-27,2026-01-17,3,314.9793758593298,0.44999998807907104,0.0,314.9793758593298,129.80310476941324,762.3073094439172
Arkansas,2025-12-27,2026-01-17,3,235.7069311161685,0.800000011920929,0.0,235.7069311161685,48.345747274135014,1134.4609937744965
California,2025-12-27,2026-01-17,3,2204.879538160926,0.44999998807907104,0.0,2204.879538160926,912.1478646480432,5327.714795552348
Colorado,2025-12-27,2026-01-17,3,267.70860747459636,0.44999998807907104,0.0,267.70860747459636,110.23485525077496,648.1159229555763
Connecticut,2025-12-27,2026-01-17,3,188.04433021575494,0.7676081657409668,0.0,188.04433021575494,40.99275821111021,850.0457590582391
Delaware,2025-12-27,2026-01-17,3,138.71097616093212,0.7999999523162842,0.0,138.71097616093212,28.125227951482294,669.1803979819888
District of Columbia,2025-12-27,2026-01-17,3,50.53266714011386,0.7998934388160706,0.0,50.53266714011386,9.745140312719048,246.1457519666178
Florida,2025-12-27,2026-01-17,3,2000.1094153519507,0.44999998807907104,0.0,2000.1094153519507,827.3810416407334,4833.054246677151
Georgia,2025-12-27,2026-01-17,3,867.5406974931509,0.44999998807907104,0.0,867.5406974931509,358.54188320592385,2097.1225788647153
Hawaii,2025-12-27,2026-01-17,3,110.1934540674315,0.7999939322471619,0.0,110.1934540674315,22.180518793145804,532.3782361722582
Idaho,2025-12-27,2026-01-17,3,92.27014674000608,0.7999987602233887,0.0,92.27014674000608,18.443859792188317,446.4070665947338
Illinois,2025-12-27,2026-01-17,3,721.360505010234,0.44999998807907104,0.0,721.360505010234,298.0290001085525,1743.9969702243477
Indiana,2025-12-27,2026-01-17,3,788.6686783592293,0.44999998807907104,0.0,788.6686783592293,325.8919516903227,1906.59245786617
Iowa,2025-12-27,2026-01-17,3,193.51987260265318,0.7999997735023499,0.0,193.51987260265318,39.5511275626531,932.0931865924371
Kansas,2025-12-27,2026-01-17,3,204.29230664710153,0.7649242281913757,0.0,204.29230664710153,44.842468048394075,918.3425433376937
Kentucky,2025-12-27,2026-01-17,3,443.493558642877,0.44999998807907104,0.0,443.493558642877,183.00295070643247,1072.7573659360987
Louisiana,2025-12-27,2026-01-17,3,341.0483047526084,0.44999998807907104,0.0,341.0483047526084,140.5946218675796,825.2816852856869
Maine,2025-12-27,2026-01-17,3,94.83571063123242,0.44999998807907104,0.0,94.83571063123242,38.67223640548288,230.5090921096643
Maryland,2025-12-27,2026-01-17,3,638.9307686678803,0.44999998807907104,0.0,638.9307686678803,263.9063127984034,1544.8725175775892
Massachusetts,2025-12-27,2026-01-17,3,533.0779484009674,0.44999998807907104,0.0,533.0779484009674,220.08738473749446,1289.1652227098439
Michigan,2025-12-27,2026-01-17,3,853.8796227448086,0.44999998807907104,0.0,853.8796227448086,352.88673249644927,2064.121696506774
Minnesota,2025-12-27,2026-01-17,3,466.2906563534126,0.44999998807907104,0.0,466.2906563534126,192.44005764469435,1127.8280213206
Mississippi,2025-12-27,2026-01-17,3,191.5657824877653,0.44999998807907104,0.0,191.5657824877653,78.71470338293435,464.17868111473035
Missouri,2025-12-27,2026-01-17,3,343.58610263097574,0.44999998807907104,0.0,343.58610263097574,141.6451709449202,831.4122109416127
Montana,2025-12-27,2026-01-17,3,89.07455673327047,0.800000011920929,0.0,89.07455673327047,17.777634822228045,431.0792180435247
Nebraska,2025-12-27,2026-01-17,3,69.03083745221915,0.7999280095100403,0.0,69.03083745221915,13.601227364016967,334.8839686549406
Nevada,2025-12-27,2026-01-17,3,131.54844858258218,0.44999998807907104,0.0,131.54844858258218,53.86987421194615,319.1955804342692
New Hampshire,2025-12-27,2026-01-17,3,146.73799834568516,0.44999998807907104,0.0,146.73799834568516,60.15775380427717,355.88878020342196
New Jersey,2025-12-27,2026-01-17,3,1311.0936186582644,0.44999998807907104,0.0,1311.0936186582644,542.1554467815687,3168.6076589582326
New Mexico,2025-12-27,2026-01-17,3,127.16145873241119,0.44999998807907104,0.0,127.16145873241119,52.053831973639646,308.5979855438274
New York,2025-12-27,2026-01-17,3,3046.1996597120783,0.44999998807907104,0.0,3046.1996597120783,1260.4214939144754,7360.080979629288
North Carolina,2025-12-27,2026-01-17,3,1286.507997475283,0.44999998807907104,0.0,1286.507997475283,531.9779610685445,3109.216490451889
North Dakota,2025-12-27,2026-01-17,3,88.14633669148407,0.800000011920929,0.0,88.14633669148407,17.584130933766495,426.62663338063226
Ohio,2025-12-27,2026-01-17,3,1689.4678894420115,0.44999998807907104,0.0,1689.4678894420115,698.7875980059266,4082.641512621272
Oklahoma,2025-12-27,2026-01-17,3,262.9646257356624,0.44999998807907104,0.0,262.9646257356624,108.27103233121133,636.6559473563814
Oregon,2025-12-27,2026-01-17,3,132.01194481061083,0.44999998807907104,0.0,132.01194481061083,54.061743524651064,320.31524230394587
Pennsylvania,2025-12-27,2026-01-17,3,2711.120130706983,0.44999998807907104,0.0,2711.120130706983,1121.7116726821826,6550.633676180979
Puerto Rico,2025-12-27,2026-01-17,3,499.78086895514195,0.44999998807907104,0.0,499.78086895514195,206.30369597798904,1208.729896654107
Rhode Island,2025-12-27,2026-01-17,3,86.24406319493758,0.800000011920929,0.0,86.24406319493758,17.18756837108936,417.50160546263044
South Carolina,2025-12-27,2026-01-17,3,799.6099825582352,0.44999998807907104,0.0,799.6099825582352,330.4212237529832,1933.0232255301603
South Dakota,2025-12-27,2026-01-17,3,59.5709783190114,0.7999916672706604,0.0,59.5709783190114,11.627298486833038,289.5485617804783
Tennessee,2025-12-27,2026-01-17,3,396.44858274813714,0.44999998807907104,0.0,396.44858274813714,163.52817044870548,959.1114234583389
Texas,2025-12-27,2026-01-17,3,2411.2601432130673,0.44999998807907104,0.0,2411.2601432130673,997.5813643237566,5826.265765644424
US,2025-12-27,2026-01-17,3,31749.737352680517,0.44999998807907104,0.0,31749.737352680517,13142.563604916098,76698.84737334384
Utah,2025-12-27,2026-01-17,3,117.64263035630037,0.7693274617195129,0.0,117.64263035630037,25.265643416233594,534.9120092661407
Vermont,2025-12-27,2026-01-17,3,31.9401745411085,0.7999440431594849,0.0,31.9401745411085,5.867715438686591,156.99360187326025
Virginia,2025-12-27,2026-01-17,3,446.32795739202317,0.44999998807907104,0.0,446.32795739202317,184.176280945264,1079.6043864962796
Washington,2025-12-27,2026-01-17,3,290.6793056181912,0.44999998807907104,0.0,290.6793056181912,119.74382597942412,703.6059426707919
West Virginia,2025-12-27,2026-01-17,3,180.96741937086725,0.7337892651557922,0.0,180.96741937086725,42.190783373759935,765.6483246194135
Wisconsin,2025-12-27,2026-01-17,3,485.15447637586504,0.44999998807907104,0.0,485.15447637586504,200.24894143667538,1173.3971084422312
Wyoming,2025-12-27,2026-01-17,3,74.20303282378063,0.7999995946884155,0.0,74.20303282378063,14.677415397776109,359.7416147623975
