reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2024-07-06,0,wk inc flu hosp,2024-07-13,01,quantile,0.01,0.0
2024-07-06,0,wk inc flu hosp,2024-07-13,01,quantile,0.025,0.0
2024-07-06,0,wk inc flu hosp,2024-07-13,01,quantile,0.05,0.0
2024-07-06,0,wk inc flu hosp,2024-07-13,01,quantile,0.1,0.0
2024-07-06,0,wk inc flu hosp,2024-07-13,01,quantile,0.15,0.0
2024-07-06,0,wk inc flu hosp,2024-07-13,01,quantile,0.2,0.0
2024-07-06,0,wk inc flu hosp,2024-07-13,01,quantile,0.25,0.0
2024-07-06,0,wk inc flu hosp,2024-07-13,01,quantile,0.3,0.0
2024-07-06,0,wk inc flu hosp,2024-07-13,01,quantile,0.35,0.0
2024-07-06,0,wk inc flu hosp,2024-07-13,01,quantile,0.4,0.0
2024-07-06,0,wk inc flu hosp,2024-07-13,01,quantile,0.45,0.0
2024-07-06,0,wk inc flu hosp,2024-07-13,01,quantile,0.5,0.030404612473393877
2024-07-06,0,wk inc flu hosp,2024-07-13,01,quantile,0.55,0.0481473220837631
2024-07-06,0,wk inc flu hosp,2024-07-13,01,quantile,0.6,1.0214893123288493
2024-07-06,0,wk inc flu hosp,2024-07-13,01,quantile,0.65,2.200126701686325
2024-07-06,0,wk inc flu hosp,2024-07-13,01,quantile,0.7,3.389835641559076
2024-07-06,0,wk inc flu hosp,2024-07-13,01,quantile,0.75,6.165774123315811
2024-07-06,0,wk inc flu hosp,2024-07-13,01,quantile,0.8,8.757063976974534
2024-07-06,0,wk inc flu hosp,2024-07-13,01,quantile,0.85,13.920680716371333
2024-07-06,0,wk inc flu hosp,2024-07-13,01,quantile,0.9,17.76442939820614
2024-07-06,0,wk inc flu hosp,2024-07-13,01,quantile,0.95,30.23972205328611
2024-07-06,0,wk inc flu hosp,2024-07-13,01,quantile,0.975,45.42451957488662
2024-07-06,0,wk inc flu hosp,2024-07-13,01,quantile,0.99,81.88142020883379
2024-07-13,0,wk inc flu hosp,2024-07-20,01,quantile,0.01,0.0
2024-07-13,0,wk inc flu hosp,2024-07-20,01,quantile,0.025,0.0
2024-07-13,0,wk inc flu hosp,2024-07-20,01,quantile,0.05,0.0
2024-07-13,0,wk inc flu hosp,2024-07-20,01,quantile,0.1,0.0
2024-07-13,0,wk inc flu hosp,2024-07-20,01,quantile,0.15,0.0
