location,horizon,forecast_date,target_date,week_of_season,season_year,actual,predicted,residual_log
Alabama,4,2024-11-02,2024-11-30,0,2024,65.0,132.5127031678721,-0.7045418861024677
Alaska,4,2024-11-02,2024-11-30,0,2024,10.0,14.091366155881747,-0.3162275297390939
Arizona,4,2024-11-02,2024-11-30,0,2024,558.0,505.7045642458197,0.0982213529265152
Arkansas,4,2024-11-02,2024-11-30,0,2024,12.0,79.19549083241166,-1.6
California,4,2024-11-02,2024-11-30,0,2024,708.0,847.5220689105257,-0.1796405671268699
Colorado,4,2024-11-02,2024-11-30,0,2024,67.0,86.23200894114083,-0.2490636333963598
Connecticut,4,2024-11-02,2024-11-30,0,2024,11.0,48.01977897899791,-1.4073172195094292
Delaware,4,2024-11-02,2024-11-30,0,2024,5.0,13.246476135336628,-0.8647501181573936
District of Columbia,4,2024-11-02,2024-11-30,0,2024,5.0,16.51911736291612,-1.071533236182146
Florida,4,2024-11-02,2024-11-30,0,2024,614.0,381.6526977291071,0.4744944844536389
Georgia,4,2024-11-02,2024-11-30,0,2024,56.0,219.4316427872536,-1.3525363689541745
Hawaii,4,2024-11-02,2024-11-30,0,2024,14.0,17.005374003519808,-0.1826200679861553
Idaho,4,2024-11-02,2024-11-30,0,2024,63.0,36.52936574931927,0.5337593701871666
Illinois,4,2024-11-02,2024-11-30,0,2024,83.0,244.85536610166187,-1.073926621506807
Indiana,4,2024-11-02,2024-11-30,0,2024,41.0,160.24737934447518,-1.3452700851331607
Iowa,4,2024-11-02,2024-11-30,0,2024,4.0,38.47703587263229,-1.6
Kansas,4,2024-11-02,2024-11-30,0,2024,20.0,58.48547525685814,-1.041209731697537
Kentucky,4,2024-11-02,2024-11-30,0,2024,24.0,71.910605316249,-1.0703582811547228
Louisiana,4,2024-11-02,2024-11-30,0,2024,135.0,133.0730386346516,0.0142701698411062
Maine,4,2024-11-02,2024-11-30,0,2024,2.0,26.72224486516625,-1.6
Maryland,4,2024-11-02,2024-11-30,0,2024,21.0,64.68245171975035,-1.0937893393435951
Massachusetts,4,2024-11-02,2024-11-30,0,2024,72.0,100.34087547528333,-0.3280303978524195
Michigan,4,2024-11-02,2024-11-30,0,2024,65.0,121.18702469746437,-0.6158981182016685
Minnesota,4,2024-11-02,2024-11-30,0,2024,18.0,100.8096388779006,-1.6
Mississippi,4,2024-11-02,2024-11-30,0,2024,28.0,92.28100703705104,-1.1683206884091812
Missouri,4,2024-11-02,2024-11-30,0,2024,41.0,188.8876396820325,-1.508762908854289
Montana,4,2024-11-02,2024-11-30,0,2024,2.0,15.245460162473336,-1.6
Nebraska,4,2024-11-02,2024-11-30,0,2024,11.0,20.86241090483793,-0.599862115298007
Nevada,4,2024-11-02,2024-11-30,0,2024,61.0,50.62643374066599,0.1831005619332453
New Hampshire,4,2024-11-02,2024-11-30,0,2024,14.0,8.062394040949162,0.5039168730229653
New Jersey,4,2024-11-02,2024-11-30,0,2024,67.0,154.8801411110942,-0.8295796805486377
New Mexico,4,2024-11-02,2024-11-30,0,2024,55.0,61.099266162088185,-0.103382481098845
New York,4,2024-11-02,2024-11-30,0,2024,145.0,325.31854165489983,-0.8042674042265645
North Carolina,4,2024-11-02,2024-11-30,0,2024,43.0,295.63412983878027,-1.6
North Dakota,4,2024-11-02,2024-11-30,0,2024,1.0,8.33717875243919,-1.5408569652845818
Ohio,4,2024-11-02,2024-11-30,0,2024,55.0,504.7983930230871,-1.6
Oklahoma,4,2024-11-02,2024-11-30,0,2024,40.0,97.6550759692962,-0.878057618766956
Oregon,4,2024-11-02,2024-11-30,0,2024,83.0,84.34176102461568,-0.0158471140987082
Pennsylvania,4,2024-11-02,2024-11-30,0,2024,116.0,340.2078858682462,-1.0703179927104998
Puerto Rico,4,2024-11-02,2024-11-30,0,2024,368.0,45.75314185174181,1.6
Rhode Island,4,2024-11-02,2024-11-30,0,2024,6.0,12.113813316443386,-0.6277559772450598
South Carolina,4,2024-11-02,2024-11-30,0,2024,18.0,95.4715291070794,-1.6
South Dakota,4,2024-11-02,2024-11-30,0,2024,5.0,17.68541311868839,-1.135983703108456
Tennessee,4,2024-11-02,2024-11-30,0,2024,60.0,173.3011021100984,-1.0499104113969215
Texas,4,2024-11-02,2024-11-30,0,2024,405.0,667.5794234723962,-0.498802038368356
US,4,2024-11-02,2024-11-30,0,2024,4438.0,7802.011982148272,-0.5640806848637929
Utah,4,2024-11-02,2024-11-30,0,2024,20.0,55.33790947845959,-0.9868452185777276
Vermont,4,2024-11-02,2024-11-30,0,2024,3.0,6.760065966761842,-0.6626964739104759
Virginia,4,2024-11-02,2024-11-30,0,2024,46.0,144.39700957930214,-1.1293203963229912
Washington,4,2024-11-02,2024-11-30,0,2024,46.0,117.68878398663136,-0.9263572050167266
West Virginia,4,2024-11-02,2024-11-30,0,2024,3.0,40.763281490713126,-1.6
Wisconsin,4,2024-11-02,2024-11-30,0,2024,12.0,83.82429527864662,-1.6
Wyoming,4,2024-11-02,2024-11-30,0,2024,7.0,8.737225283877384,-0.1965146569370195
Alabama,4,2024-11-09,2024-12-07,1,2024,102.0,140.62489456445556,-0.3184529866483938
Alaska,4,2024-11-09,2024-12-07,1,2024,18.0,15.33898247494094,0.1508851637090051
Arizona,4,2024-11-09,2024-12-07,1,2024,882.0,278.95309860690713,1.1487031164405668
Arkansas,4,2024-11-09,2024-12-07,1,2024,32.0,93.21937525907016,-1.0491182811218969
California,4,2024-11-09,2024-12-07,1,2024,1127.0,728.0173632157491,0.4365038824787355
Colorado,4,2024-11-09,2024-12-07,1,2024,90.0,103.4465055746598,-0.137815525441729
Connecticut,4,2024-11-09,2024-12-07,1,2024,13.0,59.16440271782715,-1.458023530823067
Delaware,4,2024-11-09,2024-12-07,1,2024,15.000000000000002,14.937697071861956,0.0039015341042865
District of Columbia,4,2024-11-09,2024-12-07,1,2024,2.0,18.6844009503458,-1.6
Florida,4,2024-11-09,2024-12-07,1,2024,717.0,330.1500251542363,0.7738980481569904
Georgia,4,2024-11-09,2024-12-07,1,2024,88.0,230.2486010080795,-0.954856956947304
Hawaii,4,2024-11-09,2024-12-07,1,2024,20.0,24.98690248834657,-0.2130702229249657
Idaho,4,2024-11-09,2024-12-07,1,2024,78.0,39.65943054488356,0.664217049655512
Illinois,4,2024-11-09,2024-12-07,1,2024,107.0,241.9771265667497,-0.8108360824309431
Indiana,4,2024-11-09,2024-12-07,1,2024,65.0,210.2329904762477,-1.1633070025134409
Iowa,4,2024-11-09,2024-12-07,1,2024,13.0,54.08803402085572,-1.369875194553615
Kansas,4,2024-11-09,2024-12-07,1,2024,36.0,71.06083368053785,-0.6665927618641123
Kentucky,4,2024-11-09,2024-12-07,1,2024,53.0,94.3913636530722,-0.5690040000465082
Louisiana,4,2024-11-09,2024-12-07,1,2024,163.0,102.61229864627076,0.4592103922427819
Maine,4,2024-11-09,2024-12-07,1,2024,2.0,26.12720312897504,-1.6
Maryland,4,2024-11-09,2024-12-07,1,2024,37.0,82.26514766766073,-0.7844439065484474
Massachusetts,4,2024-11-09,2024-12-07,1,2024,95.0,115.70228975166216,-0.1952779684690533
