reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.01,59.165874919593115
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.025,87.28764216720847
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.05,102.94219911063428
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.1,109.90967816539737
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.15,127.13882113358432
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.2,144.5425872454969
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.25,158.20205285984773
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.3,182.15789105797379
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.35,199.46090260250813
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.4,211.9299347511968
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.45,222.14117449592564
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.5,232.6627085895386
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.55,245.99805668118336
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.6,254.73694776708084
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.65,259.1351664830776
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.7,261.8307104755183
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.75,268.76769339924863
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.8,299.18249171213677
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.85,341.30619939109795
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.9,393.9754064590786
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.95,541.4046369732325
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.975,725.3581123370972
2025-03-22,wk inc flu hosp,0,2025-03-22,01,quantile,0.99,858.262265815399
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.01,16.786256560339943
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.025,18.788660478539217
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.05,22.14309421892609
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.1,25.205077944264687
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.15,29.318918178023665
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.2,30.567624286872935
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.25,34.091616420502646
2025-03-22,wk inc flu hosp,0,2025-03-22,02,quantile,0.3,37.661356948055115
