reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.01,23.709147568821603
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.025,32.536712446401374
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.05,36.96978027176272
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.1,46.08644177076692
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.15,57.51601856217716
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.2,65.4704757660004
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.25,72.27561267429121
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.3,79.16258173476271
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.35,87.16432768922141
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.4,93.18032012528154
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.45,97.98929596344487
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.5,103.47064765311187
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.55,108.63335595370292
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.6,114.34347670648873
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.65,118.74017718899783
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.7,125.00906141257344
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.75,131.2025908773816
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.8,134.3102897862474
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.85,143.61460527235894
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.9,165.78940631524452
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.95,205.2113249051784
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.975,220.92297488000835
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.99,253.78988697737785
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.01,1.3193695131983878
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.025,1.8454452955830407
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.05,2.624331205726253
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.1,3.467893087603011
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.15,4.136869082151113
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.2,4.666465785302507
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.25,5.188442219166325
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.3,5.672994601329064
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.35,6.067663288817949
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.4,6.394182133335696
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.45,7.125201841156532
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.5,7.859404965123097
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.55,8.36254166972348
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.6,9.143386429509881
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.65,9.579705071280205
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.7,10.271867926704996
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.75,11.426093497560869
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.8,13.250395108629613
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.85,15.917456065368723
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.9,17.731419656867665
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.95,20.465197012441315
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.975,23.630309234976075
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.99,25.843518361085867
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.01,13.052595647892481
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.025,19.027518174032878
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.05,21.753056567384625
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.1,28.765589905833416
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.15,38.77813834220393
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.2,44.456779452536466
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.25,49.70825242700844
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.3,55.0760862788812
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.35,60.048046851977816
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.4,62.969939653478015
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.45,66.186580429932
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.5,69.38494309355866
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.55,71.893503933143
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.6,74.75179070185327
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.65,78.39191693676062
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.7,84.49760046740953
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.75,93.57478436163119
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.8,106.54090434625219
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.85,126.28925515168496
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.9,147.49988724632786
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.95,177.15273962184364
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.975,189.33033344362502
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.99,196.37785948794425
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.01,12.582212480957518
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.025,21.410578984531206
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.05,26.785953015722026
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.1,34.90163805479437
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.15,43.14081768991239
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.2,50.69277958538877
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.25,61.02251084268459
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.3,68.84241410247927
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.35,79.18262317661949
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.4,85.72233212927748
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.45,91.3717903999584
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.5,97.67036196398045
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.55,104.26190525252997
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.6,112.57527467235708
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.65,115.1474031863064
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.7,120.33611468193106
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.75,127.5762577911505
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.8,136.31188147320933
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.85,156.02204238610102
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.9,189.3467762700787
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.95,231.898408326188
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.975,274.99146931721367
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.99,329.57151778730565
2025-12-06,wk inc flu hosp,0,2025-12-13,06,quantile,0.01,27.387094030399524
2025-12-06,wk inc flu hosp,0,2025-12-13,06,quantile,0.025,106.47161113140571
2025-12-06,wk inc flu hosp,0,2025-12-13,06,quantile,0.05,145.9657556409616
