reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.01,33.4422966082516
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.025,45.252184611826934
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.05,50.15222959017286
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.1,65.29059216248784
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.15,83.33983771772058
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.2,96.69121972218939
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.25,110.38853499452658
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.3,121.37349555053198
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.35,131.1160481614648
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.4,139.90747693723273
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.45,150.28635733800292
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.5,161.12944136142912
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.55,166.66048288410906
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.6,178.12313747454127
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.65,189.59605726050128
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.7,200.6411276387733
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.75,213.81577924779484
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.8,225.67665610268196
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.85,234.93035335641773
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.9,264.0997511441945
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.95,303.5825232296864
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.975,334.56869389498644
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.99,367.23556941140646
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.01,2.8506149189557957
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.025,3.740590288471349
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.05,4.977352840960222
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.1,6.798746760900432
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.15,8.611596292378056
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.2,9.922791562888804
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.25,10.679791202439791
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.3,11.488414497409195
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.35,12.643427816105412
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.4,13.22993019002209
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.45,14.17100251898169
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.5,15.251823724855148
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.55,16.116390043302513
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.6,16.945863995361155
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.65,18.534513780872235
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.7,20.679234339731703
