reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.01,23.20417068958543
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.025,32.01496494420517
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.05,36.212113326447536
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.1,45.25881914867324
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.15,55.90890474858963
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.2,64.61290476396547
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.25,71.42918050378192
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.3,78.26566967338677
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.35,86.26755643600751
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.4,92.77404022261865
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.45,97.63311393449081
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.5,103.13952286990077
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.55,108.35410811286957
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.6,114.14657116055342
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.65,118.57740886539719
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.7,124.80064005649618
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.75,131.03846923826012
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.8,134.0948861234394
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.85,143.30789331951183
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.9,165.4204758866171
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.95,205.14959012985906
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.975,221.58790784341093
2025-12-06,wk inc flu hosp,0,2025-12-13,01,quantile,0.99,255.4108927305732
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.01,1.3195852427214816
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.025,1.8498117206243914
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.05,2.6286491889854853
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.1,3.4653391802948414
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.15,4.12607822544308
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.2,4.657145296890043
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.25,5.177768159988904
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.3,5.675087149286086
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.35,6.084871883480599
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.4,6.3943436076610025
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.45,7.120352681895793
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.5,7.855065832315354
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.55,8.353014302861238
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.6,9.146244495498546
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.65,9.591105242435468
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.7,10.345819269946954
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.75,11.487078642688038
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.8,13.377913248493392
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.85,15.979944074828543
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.9,17.909377807812103
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.95,20.904045892063944
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.975,23.958918904279983
2025-12-06,wk inc flu hosp,0,2025-12-13,02,quantile,0.99,26.186635032660405
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.01,13.241628627161006
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.025,19.089080899706914
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.05,22.65208283802165
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.1,30.71893439121159
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.15,40.308303535566736
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.2,45.354448877873665
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.25,50.4705142030277
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.3,55.534842515486496
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.35,60.212758515575715
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.4,62.995109265689734
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.45,66.10833241420121
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.5,69.25184283256448
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.55,71.7504816311215
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.6,74.42292622740926
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.65,78.06404631958347
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.7,83.5900444922279
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.75,91.49090220480836
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.8,103.67315198592647
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.85,120.76571922343675
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.9,142.36853192433972
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.95,174.98170897750606
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.975,187.59478407547917
2025-12-06,wk inc flu hosp,0,2025-12-13,04,quantile,0.99,196.30765530987102
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.01,12.373114855644307
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.025,20.67405749699001
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.05,25.79646447375091
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.1,34.11448039164209
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.15,42.01293080729166
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.2,49.212713885544225
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.25,58.99828783503266
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.3,65.74337213531187
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.35,76.68312655190101
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.4,84.11417861926539
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.45,89.88055599541877
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.5,96.5364610276279
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.55,102.73658417552544
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.6,112.09463493283886
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.65,114.91260240000048
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.7,119.79874341057847
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.75,127.08679828245481
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.8,135.6270750133704
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.85,154.3251763988265
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.9,186.1713457487492
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.95,228.6100417284099
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.975,271.64610587995566
2025-12-06,wk inc flu hosp,0,2025-12-13,05,quantile,0.99,327.97769571022764
2025-12-06,wk inc flu hosp,0,2025-12-13,06,quantile,0.01,28.772847898155113
2025-12-06,wk inc flu hosp,0,2025-12-13,06,quantile,0.025,107.09268166985478
2025-12-06,wk inc flu hosp,0,2025-12-13,06,quantile,0.05,146.06216268679856
2025-12-06,wk inc flu hosp,0,2025-12-13,06,quantile,0.1,182.9446616170077
2025-12-06,wk inc flu hosp,0,2025-12-13,06,quantile,0.15,208.0079384244814
2025-12-06,wk inc flu hosp,0,2025-12-13,06,quantile,0.2,223.9023336862206
2025-12-06,wk inc flu hosp,0,2025-12-13,06,quantile,0.25,235.9121682088413
2025-12-06,wk inc flu hosp,0,2025-12-13,06,quantile,0.3,253.93033105091226
2025-12-06,wk inc flu hosp,0,2025-12-13,06,quantile,0.35,275.24759423656633
2025-12-06,wk inc flu hosp,0,2025-12-13,06,quantile,0.4,293.1549562280921
2025-12-06,wk inc flu hosp,0,2025-12-13,06,quantile,0.45,311.9136976131736
2025-12-06,wk inc flu hosp,0,2025-12-13,06,quantile,0.5,325.54869423505744
2025-12-06,wk inc flu hosp,0,2025-12-13,06,quantile,0.55,345.63242724046927
2025-12-06,wk inc flu hosp,0,2025-12-13,06,quantile,0.6,355.5799730485397
2025-12-06,wk inc flu hosp,0,2025-12-13,06,quantile,0.65,382.42307534347253
2025-12-06,wk inc flu hosp,0,2025-12-13,06,quantile,0.7,420.36826335056793
2025-12-06,wk inc flu hosp,0,2025-12-13,06,quantile,0.75,453.4012518478064
2025-12-06,wk inc flu hosp,0,2025-12-13,06,quantile,0.8,484.35093156552273
2025-12-06,wk inc flu hosp,0,2025-12-13,06,quantile,0.85,508.73497453042364
2025-12-06,wk inc flu hosp,0,2025-12-13,06,quantile,0.9,541.519650582893
2025-12-06,wk inc flu hosp,0,2025-12-13,06,quantile,0.95,601.0921938936452
