reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-11-29,wk inc flu hosp,0,2025-12-06,01,quantile,0.01,13.831408622164737
2025-11-29,wk inc flu hosp,0,2025-12-06,01,quantile,0.025,16.439315133209185
2025-11-29,wk inc flu hosp,0,2025-12-06,01,quantile,0.05,20.144635911660274
2025-11-29,wk inc flu hosp,0,2025-12-06,01,quantile,0.1,24.926059879562327
2025-11-29,wk inc flu hosp,0,2025-12-06,01,quantile,0.15,27.599701876758637
2025-11-29,wk inc flu hosp,0,2025-12-06,01,quantile,0.2,31.572313072076508
2025-11-29,wk inc flu hosp,0,2025-12-06,01,quantile,0.25,34.359582182488616
2025-11-29,wk inc flu hosp,0,2025-12-06,01,quantile,0.3,37.801492564186766
2025-11-29,wk inc flu hosp,0,2025-12-06,01,quantile,0.35,40.510122939906715
2025-11-29,wk inc flu hosp,0,2025-12-06,01,quantile,0.4,44.23742516687876
2025-11-29,wk inc flu hosp,0,2025-12-06,01,quantile,0.45,47.83212725274704
2025-11-29,wk inc flu hosp,0,2025-12-06,01,quantile,0.5,51.79676197849542
2025-11-29,wk inc flu hosp,0,2025-12-06,01,quantile,0.55,54.686003127085485
2025-11-29,wk inc flu hosp,0,2025-12-06,01,quantile,0.6,58.08377351775496
2025-11-29,wk inc flu hosp,0,2025-12-06,01,quantile,0.65,61.78030225651239
2025-11-29,wk inc flu hosp,0,2025-12-06,01,quantile,0.7,66.86438440614184
2025-11-29,wk inc flu hosp,0,2025-12-06,01,quantile,0.75,73.43198396354687
2025-11-29,wk inc flu hosp,0,2025-12-06,01,quantile,0.8,79.31597382699087
2025-11-29,wk inc flu hosp,0,2025-12-06,01,quantile,0.85,92.92038280133892
2025-11-29,wk inc flu hosp,0,2025-12-06,01,quantile,0.9,116.22483762973903
2025-11-29,wk inc flu hosp,0,2025-12-06,01,quantile,0.95,128.88616627333403
2025-11-29,wk inc flu hosp,0,2025-12-06,01,quantile,0.975,143.91856333981048
2025-11-29,wk inc flu hosp,0,2025-12-06,01,quantile,0.99,212.84203997969618
2025-11-29,wk inc flu hosp,0,2025-12-06,02,quantile,0.01,0.08769165261220578
2025-11-29,wk inc flu hosp,0,2025-12-06,02,quantile,0.025,0.11148452220870639
2025-11-29,wk inc flu hosp,0,2025-12-06,02,quantile,0.05,0.2591164648385565
2025-11-29,wk inc flu hosp,0,2025-12-06,02,quantile,0.1,0.550759315619612
2025-11-29,wk inc flu hosp,0,2025-12-06,02,quantile,0.15,0.937081076796029
2025-11-29,wk inc flu hosp,0,2025-12-06,02,quantile,0.2,1.1851505274783085
2025-11-29,wk inc flu hosp,0,2025-12-06,02,quantile,0.25,1.2637092017917415
2025-11-29,wk inc flu hosp,0,2025-12-06,02,quantile,0.3,1.4479092917618104
2025-11-29,wk inc flu hosp,0,2025-12-06,02,quantile,0.35,1.5806231819441907
2025-11-29,wk inc flu hosp,0,2025-12-06,02,quantile,0.4,1.6911599601746627
2025-11-29,wk inc flu hosp,0,2025-12-06,02,quantile,0.45,1.7708678496471215
2025-11-29,wk inc flu hosp,0,2025-12-06,02,quantile,0.5,1.9092115246426498
2025-11-29,wk inc flu hosp,0,2025-12-06,02,quantile,0.55,2.0819641332121246
2025-11-29,wk inc flu hosp,0,2025-12-06,02,quantile,0.6,2.2277127272600437
2025-11-29,wk inc flu hosp,0,2025-12-06,02,quantile,0.65,2.491029423327502
2025-11-29,wk inc flu hosp,0,2025-12-06,02,quantile,0.7,2.843024618221088
2025-11-29,wk inc flu hosp,0,2025-12-06,02,quantile,0.75,3.2688394031053054
2025-11-29,wk inc flu hosp,0,2025-12-06,02,quantile,0.8,3.778044309341796
2025-11-29,wk inc flu hosp,0,2025-12-06,02,quantile,0.85,4.244380650543751
2025-11-29,wk inc flu hosp,0,2025-12-06,02,quantile,0.9,4.985886739926223
2025-11-29,wk inc flu hosp,0,2025-12-06,02,quantile,0.95,5.911883364617553
2025-11-29,wk inc flu hosp,0,2025-12-06,02,quantile,0.975,6.88446695249319
2025-11-29,wk inc flu hosp,0,2025-12-06,02,quantile,0.99,7.628146107726893
2025-11-29,wk inc flu hosp,0,2025-12-06,04,quantile,0.01,13.130222455901563
2025-11-29,wk inc flu hosp,0,2025-12-06,04,quantile,0.025,17.664398657297344
2025-11-29,wk inc flu hosp,0,2025-12-06,04,quantile,0.05,22.221911828785057
2025-11-29,wk inc flu hosp,0,2025-12-06,04,quantile,0.1,29.008549088568348
2025-11-29,wk inc flu hosp,0,2025-12-06,04,quantile,0.15,32.8499292241011
2025-11-29,wk inc flu hosp,0,2025-12-06,04,quantile,0.2,37.084950384498384
2025-11-29,wk inc flu hosp,0,2025-12-06,04,quantile,0.25,40.83495459391799
2025-11-29,wk inc flu hosp,0,2025-12-06,04,quantile,0.3,43.91968712184608
2025-11-29,wk inc flu hosp,0,2025-12-06,04,quantile,0.35,47.58960395079131
2025-11-29,wk inc flu hosp,0,2025-12-06,04,quantile,0.4,51.40612397381906
2025-11-29,wk inc flu hosp,0,2025-12-06,04,quantile,0.45,55.68181457968697
2025-11-29,wk inc flu hosp,0,2025-12-06,04,quantile,0.5,60.342442635113436
2025-11-29,wk inc flu hosp,0,2025-12-06,04,quantile,0.55,63.586617092589876
2025-11-29,wk inc flu hosp,0,2025-12-06,04,quantile,0.6,66.50274714367364
2025-11-29,wk inc flu hosp,0,2025-12-06,04,quantile,0.65,69.7310018793209
2025-11-29,wk inc flu hosp,0,2025-12-06,04,quantile,0.7,73.36968660501064
2025-11-29,wk inc flu hosp,0,2025-12-06,04,quantile,0.75,78.0280468481271
2025-11-29,wk inc flu hosp,0,2025-12-06,04,quantile,0.8,81.95726528318708
2025-11-29,wk inc flu hosp,0,2025-12-06,04,quantile,0.85,90.82704367746763
2025-11-29,wk inc flu hosp,0,2025-12-06,04,quantile,0.9,107.6828546186759
2025-11-29,wk inc flu hosp,0,2025-12-06,04,quantile,0.95,135.1323973629293
2025-11-29,wk inc flu hosp,0,2025-12-06,04,quantile,0.975,157.80417073419014
2025-11-29,wk inc flu hosp,0,2025-12-06,04,quantile,0.99,179.95128698687466
2025-11-29,wk inc flu hosp,0,2025-12-06,05,quantile,0.01,3.791216896881936
2025-11-29,wk inc flu hosp,0,2025-12-06,05,quantile,0.025,13.324666863466945
