reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.01,32.28048433220868
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.025,44.52934481579508
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.05,49.115604587589466
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.1,63.06393412716276
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.15,77.25101096288006
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.2,91.67939448175416
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.25,103.40817955535802
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.3,115.5830208962018
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.35,125.58156730973288
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.4,134.04634224790772
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.45,143.67532951827442
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.5,154.11090425337144
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.55,164.21970351020684
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.6,172.6860220773666
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.65,183.2581013645358
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.7,196.17102865286554
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.75,208.81414153655084
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.8,224.63668159306567
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.85,234.85404582813584
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.9,266.68734885266656
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.95,307.7767100500525
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.975,343.07422184144644
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.99,369.5213638806136
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.01,2.7016995796277574
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.025,3.5138986005418444
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.05,4.860575488916902
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.1,6.639242913473728
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.15,8.37246800552386
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.2,9.80471104880857
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.25,10.63132518506094
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.3,11.423878217871964
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.35,12.578447844812487
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.4,13.180651054185528
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.45,13.932557797692384
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.5,15.081717347053672
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.55,15.960630695542687
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.6,16.846680148836032
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.65,18.428612992578305
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.7,20.60683099794114
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.75,23.061063792603875
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.8,26.125111541104513
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.85,29.718403652313942
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.9,34.31953700046141
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.95,41.76369452244593
