reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.01,33.359489549416914
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.025,45.23907864141845
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.05,50.59830361723444
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.1,64.78137611585173
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.15,80.79197048319261
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.2,94.109471519052
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.25,106.4936291445339
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.3,118.04798319509824
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.35,127.83892919805433
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.4,135.7751397355242
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.45,145.64919153956444
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.5,156.32160700628665
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.55,164.668429656536
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.6,174.25063740737238
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.65,184.69550187983958
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.7,197.63488340751502
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.75,210.07827540260374
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.8,224.9269162754722
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.85,235.19804905681892
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.9,267.6625177618422
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.95,307.69613909522417
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.975,341.85603997358567
2025-12-13,wk inc flu hosp,0,2025-12-20,01,quantile,0.99,369.3930131644003
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.01,2.701523827942262
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.025,3.5458217774349556
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.05,4.872419020217112
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.1,6.633450131316397
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.15,8.35415008855507
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.2,9.797786327157523
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.25,10.62356734858923
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.3,11.384119191114822
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.35,12.563291239052536
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.4,13.192666345162515
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.45,14.017859939283568
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.5,15.151823864423491
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.55,16.03000496591574
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.6,16.906449357488277
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.65,18.507727543654987
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.7,20.677200403001887
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.75,23.093513315957495
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.8,26.113813092775196
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.85,29.655914849344803
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.9,34.1055857363983
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.95,41.65021611080622
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.975,45.2075798061498
2025-12-13,wk inc flu hosp,0,2025-12-20,02,quantile,0.99,57.71145224061335
2025-12-13,wk inc flu hosp,0,2025-12-20,04,quantile,0.01,26.7446897544307
2025-12-13,wk inc flu hosp,0,2025-12-20,04,quantile,0.025,34.21995054514577
2025-12-13,wk inc flu hosp,0,2025-12-20,04,quantile,0.05,47.81149720625991
2025-12-13,wk inc flu hosp,0,2025-12-20,04,quantile,0.1,61.59713779898435
2025-12-13,wk inc flu hosp,0,2025-12-20,04,quantile,0.15,70.86862390410238
2025-12-13,wk inc flu hosp,0,2025-12-20,04,quantile,0.2,79.12167851289041
2025-12-13,wk inc flu hosp,0,2025-12-20,04,quantile,0.25,87.9471534719958
2025-12-13,wk inc flu hosp,0,2025-12-20,04,quantile,0.3,95.28752505326113
2025-12-13,wk inc flu hosp,0,2025-12-20,04,quantile,0.35,100.61045996898778
2025-12-13,wk inc flu hosp,0,2025-12-20,04,quantile,0.4,106.4641244510041
2025-12-13,wk inc flu hosp,0,2025-12-20,04,quantile,0.45,112.4476554809345
2025-12-13,wk inc flu hosp,0,2025-12-20,04,quantile,0.5,118.86835232930937
2025-12-13,wk inc flu hosp,0,2025-12-20,04,quantile,0.55,128.02576480705824
2025-12-13,wk inc flu hosp,0,2025-12-20,04,quantile,0.6,137.65409904363173
2025-12-13,wk inc flu hosp,0,2025-12-20,04,quantile,0.65,145.77824623410478
2025-12-13,wk inc flu hosp,0,2025-12-20,04,quantile,0.7,153.42762542065918
2025-12-13,wk inc flu hosp,0,2025-12-20,04,quantile,0.75,161.92284208447109
2025-12-13,wk inc flu hosp,0,2025-12-20,04,quantile,0.8,172.88871034135968
2025-12-13,wk inc flu hosp,0,2025-12-20,04,quantile,0.85,193.00570720617398
2025-12-13,wk inc flu hosp,0,2025-12-20,04,quantile,0.9,224.88170361070564
2025-12-13,wk inc flu hosp,0,2025-12-20,04,quantile,0.95,249.8303655577222
2025-12-13,wk inc flu hosp,0,2025-12-20,04,quantile,0.975,302.75644105037793
2025-12-13,wk inc flu hosp,0,2025-12-20,04,quantile,0.99,379.57401624205716
2025-12-13,wk inc flu hosp,0,2025-12-20,05,quantile,0.01,15.4590285389972
2025-12-13,wk inc flu hosp,0,2025-12-20,05,quantile,0.025,26.581291919108896
2025-12-13,wk inc flu hosp,0,2025-12-20,05,quantile,0.05,35.828070306815995
2025-12-13,wk inc flu hosp,0,2025-12-20,05,quantile,0.1,44.45771073867407
2025-12-13,wk inc flu hosp,0,2025-12-20,05,quantile,0.15,52.04520670129491
2025-12-13,wk inc flu hosp,0,2025-12-20,05,quantile,0.2,60.854902483449834
2025-12-13,wk inc flu hosp,0,2025-12-20,05,quantile,0.25,67.75404789885556
2025-12-13,wk inc flu hosp,0,2025-12-20,05,quantile,0.3,75.02961953845296
2025-12-13,wk inc flu hosp,0,2025-12-20,05,quantile,0.35,79.37901001019925
2025-12-13,wk inc flu hosp,0,2025-12-20,05,quantile,0.4,85.9155016792338
2025-12-13,wk inc flu hosp,0,2025-12-20,05,quantile,0.45,92.043111500386
2025-12-13,wk inc flu hosp,0,2025-12-20,05,quantile,0.5,100.22810499980667
2025-12-13,wk inc flu hosp,0,2025-12-20,05,quantile,0.55,108.67436018648657
2025-12-13,wk inc flu hosp,0,2025-12-20,05,quantile,0.6,118.17218290886261
2025-12-13,wk inc flu hosp,0,2025-12-20,05,quantile,0.65,125.0148299013323
2025-12-13,wk inc flu hosp,0,2025-12-20,05,quantile,0.7,134.96429266370586
2025-12-13,wk inc flu hosp,0,2025-12-20,05,quantile,0.75,153.1957578999837
2025-12-13,wk inc flu hosp,0,2025-12-20,05,quantile,0.8,180.29657626081763
2025-12-13,wk inc flu hosp,0,2025-12-20,05,quantile,0.85,215.87893075886356
2025-12-13,wk inc flu hosp,0,2025-12-20,05,quantile,0.9,247.38848519044646
2025-12-13,wk inc flu hosp,0,2025-12-20,05,quantile,0.95,291.0293668792943
2025-12-13,wk inc flu hosp,0,2025-12-20,05,quantile,0.975,365.84550900755534
2025-12-13,wk inc flu hosp,0,2025-12-20,05,quantile,0.99,498.9138607394841
2025-12-13,wk inc flu hosp,0,2025-12-20,06,quantile,0.01,38.48508097341109
2025-12-13,wk inc flu hosp,0,2025-12-20,06,quantile,0.025,181.41323354181867
2025-12-13,wk inc flu hosp,0,2025-12-20,06,quantile,0.05,255.12399259091026
2025-12-13,wk inc flu hosp,0,2025-12-20,06,quantile,0.1,290.4712248600669
2025-12-13,wk inc flu hosp,0,2025-12-20,06,quantile,0.15,331.5999618913335
2025-12-13,wk inc flu hosp,0,2025-12-20,06,quantile,0.2,360.17786452456994
2025-12-13,wk inc flu hosp,0,2025-12-20,06,quantile,0.25,392.7966723257857
2025-12-13,wk inc flu hosp,0,2025-12-20,06,quantile,0.3,415.57522918750215
2025-12-13,wk inc flu hosp,0,2025-12-20,06,quantile,0.35,443.2136699962327
2025-12-13,wk inc flu hosp,0,2025-12-20,06,quantile,0.4,473.779274970156
2025-12-13,wk inc flu hosp,0,2025-12-20,06,quantile,0.45,503.5190970039567
2025-12-13,wk inc flu hosp,0,2025-12-20,06,quantile,0.5,538.3506750288228
2025-12-13,wk inc flu hosp,0,2025-12-20,06,quantile,0.55,574.3386307161959
2025-12-13,wk inc flu hosp,0,2025-12-20,06,quantile,0.6,607.5789746670284
2025-12-13,wk inc flu hosp,0,2025-12-20,06,quantile,0.65,635.2499609361482
2025-12-13,wk inc flu hosp,0,2025-12-20,06,quantile,0.7,681.892277113313
2025-12-13,wk inc flu hosp,0,2025-12-20,06,quantile,0.75,735.3919814027889
2025-12-13,wk inc flu hosp,0,2025-12-20,06,quantile,0.8,801.4993960181927
2025-12-13,wk inc flu hosp,0,2025-12-20,06,quantile,0.85,889.1722833941096
2025-12-13,wk inc flu hosp,0,2025-12-20,06,quantile,0.9,945.937172981886
2025-12-13,wk inc flu hosp,0,2025-12-20,06,quantile,0.95,1068.462610756121
2025-12-13,wk inc flu hosp,0,2025-12-20,06,quantile,0.975,1158.0993732441536
2025-12-13,wk inc flu hosp,0,2025-12-20,06,quantile,0.99,1262.7681672833905
