reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2025-10-04,1,wk inc flu hosp,2025-10-18,38,quantile,0.01,0.0
2025-10-04,1,wk inc flu hosp,2025-10-18,38,quantile,0.025,0.0
2025-10-04,1,wk inc flu hosp,2025-10-18,38,quantile,0.05,0.0
2025-10-04,1,wk inc flu hosp,2025-10-18,38,quantile,0.1,0.0
2025-10-04,1,wk inc flu hosp,2025-10-18,38,quantile,0.15,0.0
2025-10-04,1,wk inc flu hosp,2025-10-18,38,quantile,0.2,0.0
2025-10-04,1,wk inc flu hosp,2025-10-18,38,quantile,0.25,0.0
2025-10-04,1,wk inc flu hosp,2025-10-18,38,quantile,0.3,0.0
2025-10-04,1,wk inc flu hosp,2025-10-18,38,quantile,0.35,0.0
2025-10-04,1,wk inc flu hosp,2025-10-18,38,quantile,0.4,0.19161355280232684
2025-10-04,1,wk inc flu hosp,2025-10-18,38,quantile,0.45,1.4684711156095838
2025-10-04,1,wk inc flu hosp,2025-10-18,38,quantile,0.5,2.725084584160324
2025-10-04,1,wk inc flu hosp,2025-10-18,38,quantile,0.55,3.9816980527110655
2025-10-04,1,wk inc flu hosp,2025-10-18,38,quantile,0.6,5.258555615518321
2025-10-04,1,wk inc flu hosp,2025-10-18,38,quantile,0.65,6.578289248236001
2025-10-04,1,wk inc flu hosp,2025-10-18,38,quantile,0.7,7.969089711240731
2025-10-04,1,wk inc flu hosp,2025-10-18,38,quantile,0.75,9.46998208612114
2025-10-04,1,wk inc flu hosp,2025-10-18,38,quantile,0.8,11.141296919889466
2025-10-04,1,wk inc flu hosp,2025-10-18,38,quantile,0.85,13.089418479098223
2025-10-04,1,wk inc flu hosp,2025-10-18,38,quantile,0.9,15.540600239606327
2025-10-04,1,wk inc flu hosp,2025-10-18,38,quantile,0.95,19.173620853675047
2025-10-04,1,wk inc flu hosp,2025-10-18,38,quantile,0.975,22.324724429560863
2025-10-04,1,wk inc flu hosp,2025-10-18,38,quantile,0.99,25.988563324568734
2025-10-11,1,wk inc flu hosp,2025-10-25,38,quantile,0.01,0.0
2025-10-11,1,wk inc flu hosp,2025-10-25,38,quantile,0.025,0.0
2025-10-11,1,wk inc flu hosp,2025-10-25,38,quantile,0.05,0.0
2025-10-11,1,wk inc flu hosp,2025-10-25,38,quantile,0.1,0.0
2025-10-11,1,wk inc flu hosp,2025-10-25,38,quantile,0.15,0.0
2025-10-11,1,wk inc flu hosp,2025-10-25,38,quantile,0.2,0.0
2025-10-11,1,wk inc flu hosp,2025-10-25,38,quantile,0.25,0.0
2025-10-11,1,wk inc flu hosp,2025-10-25,38,quantile,0.3,0.0
2025-10-11,1,wk inc flu hosp,2025-10-25,38,quantile,0.35,0.0
2025-10-11,1,wk inc flu hosp,2025-10-25,38,quantile,0.4,0.0
2025-10-11,1,wk inc flu hosp,2025-10-25,38,quantile,0.45,0.8033493386730619
2025-10-11,1,wk inc flu hosp,2025-10-25,38,quantile,0.5,2.059962807223802
2025-10-11,1,wk inc flu hosp,2025-10-25,38,quantile,0.55,3.3165762757745436
2025-10-11,1,wk inc flu hosp,2025-10-25,38,quantile,0.6,4.593433838581799
2025-10-11,1,wk inc flu hosp,2025-10-25,38,quantile,0.65,5.913167471299479
2025-10-11,1,wk inc flu hosp,2025-10-25,38,quantile,0.7,7.303967934304208
2025-10-11,1,wk inc flu hosp,2025-10-25,38,quantile,0.75,8.804860309184619
2025-10-11,1,wk inc flu hosp,2025-10-25,38,quantile,0.8,10.476175142952943
2025-10-11,1,wk inc flu hosp,2025-10-25,38,quantile,0.85,12.424296702161701
2025-10-11,1,wk inc flu hosp,2025-10-25,38,quantile,0.9,14.875478462669804
2025-10-11,1,wk inc flu hosp,2025-10-25,38,quantile,0.95,18.508499076738524
2025-10-11,1,wk inc flu hosp,2025-10-25,38,quantile,0.975,21.65960265262434
2025-10-11,1,wk inc flu hosp,2025-10-25,38,quantile,0.99,25.32344154763221
2025-10-18,1,wk inc flu hosp,2025-11-01,38,quantile,0.01,0.0
2025-10-18,1,wk inc flu hosp,2025-11-01,38,quantile,0.025,0.0
2025-10-18,1,wk inc flu hosp,2025-11-01,38,quantile,0.05,0.0
2025-10-18,1,wk inc flu hosp,2025-11-01,38,quantile,0.1,0.0
2025-10-18,1,wk inc flu hosp,2025-11-01,38,quantile,0.15,0.0
2025-10-18,1,wk inc flu hosp,2025-11-01,38,quantile,0.2,0.0
2025-10-18,1,wk inc flu hosp,2025-11-01,38,quantile,0.25,0.0
2025-10-18,1,wk inc flu hosp,2025-11-01,38,quantile,0.3,0.0
2025-10-18,1,wk inc flu hosp,2025-11-01,38,quantile,0.35,0.0
2025-10-18,1,wk inc flu hosp,2025-11-01,38,quantile,0.4,0.0
2025-10-18,1,wk inc flu hosp,2025-11-01,38,quantile,0.45,0.9311270965365193
2025-10-18,1,wk inc flu hosp,2025-11-01,38,quantile,0.5,2.1877405650872594
2025-10-18,1,wk inc flu hosp,2025-11-01,38,quantile,0.55,3.444354033638001
2025-10-18,1,wk inc flu hosp,2025-11-01,38,quantile,0.6,4.721211596445256
2025-10-18,1,wk inc flu hosp,2025-11-01,38,quantile,0.65,6.040945229162936
2025-10-18,1,wk inc flu hosp,2025-11-01,38,quantile,0.7,7.431745692167666
2025-10-18,1,wk inc flu hosp,2025-11-01,38,quantile,0.75,8.932638067048076
2025-10-18,1,wk inc flu hosp,2025-11-01,38,quantile,0.8,10.603952900816402
2025-10-18,1,wk inc flu hosp,2025-11-01,38,quantile,0.85,12.552074460025157
2025-10-18,1,wk inc flu hosp,2025-11-01,38,quantile,0.9,15.003256220533263
2025-10-18,1,wk inc flu hosp,2025-11-01,38,quantile,0.95,18.636276834601983
2025-10-18,1,wk inc flu hosp,2025-11-01,38,quantile,0.975,21.7873804104878
2025-10-18,1,wk inc flu hosp,2025-11-01,38,quantile,0.99,25.45121930549567
2025-10-25,1,wk inc flu hosp,2025-11-08,38,quantile,0.01,0.0
2025-10-25,1,wk inc flu hosp,2025-11-08,38,quantile,0.025,0.0
2025-10-25,1,wk inc flu hosp,2025-11-08,38,quantile,0.05,0.0
2025-10-25,1,wk inc flu hosp,2025-11-08,38,quantile,0.1,0.0
2025-10-25,1,wk inc flu hosp,2025-11-08,38,quantile,0.15,0.0
2025-10-25,1,wk inc flu hosp,2025-11-08,38,quantile,0.2,0.0
2025-10-25,1,wk inc flu hosp,2025-11-08,38,quantile,0.25,0.0
2025-10-25,1,wk inc flu hosp,2025-11-08,38,quantile,0.3,0.0
2025-10-25,1,wk inc flu hosp,2025-11-08,38,quantile,0.35,0.42278418619081704
2025-10-25,1,wk inc flu hosp,2025-11-08,38,quantile,0.4,1.7425178189084973
2025-10-25,1,wk inc flu hosp,2025-11-08,38,quantile,0.45,3.0193753817157543
2025-10-25,1,wk inc flu hosp,2025-11-08,38,quantile,0.5,4.2759888502664944
2025-10-25,1,wk inc flu hosp,2025-11-08,38,quantile,0.55,5.532602318817236
2025-10-25,1,wk inc flu hosp,2025-11-08,38,quantile,0.6,6.809459881624491
2025-10-25,1,wk inc flu hosp,2025-11-08,38,quantile,0.65,8.129193514342171
2025-10-25,1,wk inc flu hosp,2025-11-08,38,quantile,0.7,9.5199939773469
2025-10-25,1,wk inc flu hosp,2025-11-08,38,quantile,0.75,11.020886352227311
2025-10-25,1,wk inc flu hosp,2025-11-08,38,quantile,0.8,12.692201185995636
2025-10-25,1,wk inc flu hosp,2025-11-08,38,quantile,0.85,14.640322745204394
2025-10-25,1,wk inc flu hosp,2025-11-08,38,quantile,0.9,17.091504505712496
2025-10-25,1,wk inc flu hosp,2025-11-08,38,quantile,0.95,20.724525119781216
2025-10-25,1,wk inc flu hosp,2025-11-08,38,quantile,0.975,23.875628695667032
2025-10-25,1,wk inc flu hosp,2025-11-08,38,quantile,0.99,27.539467590674903
2025-11-01,1,wk inc flu hosp,2025-11-15,38,quantile,0.01,0.0
2025-11-01,1,wk inc flu hosp,2025-11-15,38,quantile,0.025,0.0
2025-11-01,1,wk inc flu hosp,2025-11-15,38,quantile,0.05,0.0
2025-11-01,1,wk inc flu hosp,2025-11-15,38,quantile,0.1,0.0
2025-11-01,1,wk inc flu hosp,2025-11-15,38,quantile,0.15,0.0
2025-11-01,1,wk inc flu hosp,2025-11-15,38,quantile,0.2,0.0
2025-11-01,1,wk inc flu hosp,2025-11-15,38,quantile,0.25,0.0
2025-11-01,1,wk inc flu hosp,2025-11-15,38,quantile,0.3,0.0
2025-11-01,1,wk inc flu hosp,2025-11-15,38,quantile,0.35,0.0
2025-11-01,1,wk inc flu hosp,2025-11-15,38,quantile,0.4,0.12254595875659158
2025-11-01,1,wk inc flu hosp,2025-11-15,38,quantile,0.45,1.3994035215638485
2025-11-01,1,wk inc flu hosp,2025-11-15,38,quantile,0.5,2.6560169901145887
2025-11-01,1,wk inc flu hosp,2025-11-15,38,quantile,0.55,3.91263045866533
2025-11-01,1,wk inc flu hosp,2025-11-15,38,quantile,0.6,5.189488021472586
2025-11-01,1,wk inc flu hosp,2025-11-15,38,quantile,0.65,6.5092216541902665
2025-11-01,1,wk inc flu hosp,2025-11-15,38,quantile,0.7,7.900022117194995
2025-11-01,1,wk inc flu hosp,2025-11-15,38,quantile,0.75,9.400914492075405
2025-11-01,1,wk inc flu hosp,2025-11-15,38,quantile,0.8,11.07222932584373
2025-11-01,1,wk inc flu hosp,2025-11-15,38,quantile,0.85,13.020350885052487
2025-11-01,1,wk inc flu hosp,2025-11-15,38,quantile,0.9,15.471532645560591
2025-11-01,1,wk inc flu hosp,2025-11-15,38,quantile,0.95,19.104553259629313
2025-11-01,1,wk inc flu hosp,2025-11-15,38,quantile,0.975,22.255656835515126
2025-11-01,1,wk inc flu hosp,2025-11-15,38,quantile,0.99,25.919495730522996
2025-11-08,1,wk inc flu hosp,2025-11-22,38,quantile,0.01,0.0
2025-11-08,1,wk inc flu hosp,2025-11-22,38,quantile,0.025,0.0
2025-11-08,1,wk inc flu hosp,2025-11-22,38,quantile,0.05,0.0
2025-11-08,1,wk inc flu hosp,2025-11-22,38,quantile,0.1,0.0
2025-11-08,1,wk inc flu hosp,2025-11-22,38,quantile,0.15,0.0
2025-11-08,1,wk inc flu hosp,2025-11-22,38,quantile,0.2,0.0
2025-11-08,1,wk inc flu hosp,2025-11-22,38,quantile,0.25,0.0
2025-11-08,1,wk inc flu hosp,2025-11-22,38,quantile,0.3,0.0
2025-11-08,1,wk inc flu hosp,2025-11-22,38,quantile,0.35,0.09256544429065094
2025-11-08,1,wk inc flu hosp,2025-11-22,38,quantile,0.4,1.4122990770083312
2025-11-08,1,wk inc flu hosp,2025-11-22,38,quantile,0.45,2.689156639815588
2025-11-08,1,wk inc flu hosp,2025-11-22,38,quantile,0.5,3.9457701083663284
2025-11-08,1,wk inc flu hosp,2025-11-22,38,quantile,0.55,5.20238357691707
2025-11-08,1,wk inc flu hosp,2025-11-22,38,quantile,0.6,6.4792411397243255
2025-11-08,1,wk inc flu hosp,2025-11-22,38,quantile,0.65,7.798974772442006
2025-11-08,1,wk inc flu hosp,2025-11-22,38,quantile,0.7,9.189775235446735
2025-11-08,1,wk inc flu hosp,2025-11-22,38,quantile,0.75,10.690667610327145
2025-11-08,1,wk inc flu hosp,2025-11-22,38,quantile,0.8,12.36198244409547
2025-11-08,1,wk inc flu hosp,2025-11-22,38,quantile,0.85,14.310104003304227
2025-11-08,1,wk inc flu hosp,2025-11-22,38,quantile,0.9,16.76128576381233
2025-11-08,1,wk inc flu hosp,2025-11-22,38,quantile,0.95,20.39430637788105
2025-11-08,1,wk inc flu hosp,2025-11-22,38,quantile,0.975,23.545409953766868
2025-11-08,1,wk inc flu hosp,2025-11-22,38,quantile,0.99,27.209248848774738
2025-11-15,1,wk inc flu hosp,2025-11-29,38,quantile,0.01,0.0
2025-11-15,1,wk inc flu hosp,2025-11-29,38,quantile,0.025,0.0
2025-11-15,1,wk inc flu hosp,2025-11-29,38,quantile,0.05,0.0
2025-11-15,1,wk inc flu hosp,2025-11-29,38,quantile,0.1,0.0
2025-11-15,1,wk inc flu hosp,2025-11-29,38,quantile,0.15,0.0
2025-11-15,1,wk inc flu hosp,2025-11-29,38,quantile,0.2,0.0
2025-11-15,1,wk inc flu hosp,2025-11-29,38,quantile,0.25,0.0
2025-11-15,1,wk inc flu hosp,2025-11-29,38,quantile,0.3,0.0
2025-11-15,1,wk inc flu hosp,2025-11-29,38,quantile,0.35,0.0
2025-11-15,1,wk inc flu hosp,2025-11-29,38,quantile,0.4,0.0
2025-11-15,1,wk inc flu hosp,2025-11-29,38,quantile,0.45,1.0516935996986132
2025-11-15,1,wk inc flu hosp,2025-11-29,38,quantile,0.5,2.3083070682493534
2025-11-15,1,wk inc flu hosp,2025-11-29,38,quantile,0.55,3.564920536800095
2025-11-15,1,wk inc flu hosp,2025-11-29,38,quantile,0.6,4.8417780996073505
2025-11-15,1,wk inc flu hosp,2025-11-29,38,quantile,0.65,6.161511732325031
2025-11-15,1,wk inc flu hosp,2025-11-29,38,quantile,0.7,7.55231219532976
2025-11-15,1,wk inc flu hosp,2025-11-29,38,quantile,0.75,9.05320457021017
2025-11-15,1,wk inc flu hosp,2025-11-29,38,quantile,0.8,10.724519403978496
2025-11-15,1,wk inc flu hosp,2025-11-29,38,quantile,0.85,12.672640963187252
2025-11-15,1,wk inc flu hosp,2025-11-29,38,quantile,0.9,15.123822723695357
2025-11-15,1,wk inc flu hosp,2025-11-29,38,quantile,0.95,18.756843337764074
2025-11-15,1,wk inc flu hosp,2025-11-29,38,quantile,0.975,21.90794691364989
2025-11-15,1,wk inc flu hosp,2025-11-29,38,quantile,0.99,25.57178580865776
2025-11-22,1,wk inc flu hosp,2025-12-06,38,quantile,0.01,0.0
2025-11-22,1,wk inc flu hosp,2025-12-06,38,quantile,0.025,0.0
2025-11-22,1,wk inc flu hosp,2025-12-06,38,quantile,0.05,0.0
2025-11-22,1,wk inc flu hosp,2025-12-06,38,quantile,0.1,0.0
2025-11-22,1,wk inc flu hosp,2025-12-06,38,quantile,0.15,0.0
2025-11-22,1,wk inc flu hosp,2025-12-06,38,quantile,0.2,0.0
2025-11-22,1,wk inc flu hosp,2025-12-06,38,quantile,0.25,0.0
2025-11-22,1,wk inc flu hosp,2025-12-06,38,quantile,0.3,0.0474569396499005
2025-11-22,1,wk inc flu hosp,2025-12-06,38,quantile,0.35,1.438257402654632
2025-11-22,1,wk inc flu hosp,2025-12-06,38,quantile,0.4,2.7579910353723123
2025-11-22,1,wk inc flu hosp,2025-12-06,38,quantile,0.45,4.034848598179569
2025-11-22,1,wk inc flu hosp,2025-12-06,38,quantile,0.5,5.291462066730309
2025-11-22,1,wk inc flu hosp,2025-12-06,38,quantile,0.55,6.5480755352810505
2025-11-22,1,wk inc flu hosp,2025-12-06,38,quantile,0.6,7.824933098088307
2025-11-22,1,wk inc flu hosp,2025-12-06,38,quantile,0.65,9.144666730805987
2025-11-22,1,wk inc flu hosp,2025-12-06,38,quantile,0.7,10.535467193810716
2025-11-22,1,wk inc flu hosp,2025-12-06,38,quantile,0.75,12.036359568691125
2025-11-22,1,wk inc flu hosp,2025-12-06,38,quantile,0.8,13.707674402459451
2025-11-22,1,wk inc flu hosp,2025-12-06,38,quantile,0.85,15.655795961668208
2025-11-22,1,wk inc flu hosp,2025-12-06,38,quantile,0.9,18.10697772217631
2025-11-22,1,wk inc flu hosp,2025-12-06,38,quantile,0.95,21.73999833624503
2025-11-22,1,wk inc flu hosp,2025-12-06,38,quantile,0.975,24.89110191213085
2025-11-22,1,wk inc flu hosp,2025-12-06,38,quantile,0.99,28.55494080713872
2025-11-29,1,wk inc flu hosp,2025-12-13,38,quantile,0.01,0.0
