location,forecast_date,target_date,week_of_season,season_year,actual,predicted,residual_log
Nevada,2024-11-02,2024-11-09,0,2024,25.0,11.351707219755696,0.744302248083804
Nevada,2024-11-09,2024-11-16,1,2024,43.0,30.781573291540262,0.3253029683226525
Nevada,2024-11-16,2024-11-23,2,2024,48.0,69.25615265654044,-0.36032758856763136
Nevada,2024-11-23,2024-11-30,3,2024,61.0,84.00383924166371,-0.31556203797418636
Nevada,2024-11-30,2024-12-07,4,2024,81.0,112.47647705037879,-0.3248763175203635
Nevada,2024-12-07,2024-12-14,5,2024,113.0,111.15727491777797,0.016296321785528534
Nevada,2024-12-14,2024-12-21,6,2024,208.0,106.47802264262643,0.6650478658316157
Nevada,2024-12-21,2024-12-28,7,2024,255.0,176.14904492615827,0.36818600451110317
Nevada,2024-12-28,2025-01-04,8,2024,387.0,136.71256987711865,1.0358366535441759
Nevada,2025-01-04,2025-01-11,9,2024,260.0,207.9001377108535,0.2226640795413699
Nevada,2025-01-11,2025-01-18,10,2024,189.00000000000003,202.64906276626215,-0.06937415974442107
Nevada,2025-01-18,2025-01-25,11,2024,196.0,92.86494425053743,0.7413467428942164
Nevada,2025-01-25,2025-02-01,12,2024,178.0,114.82189104542822,0.4353322167249418
Nevada,2025-02-01,2025-02-08,13,2024,222.0,153.41187260031424,0.367548241745963
Nevada,2025-02-08,2025-02-15,14,2024,147.0,166.65434312634846,-0.12469210472577341
Nevada,2025-02-15,2025-02-22,15,2024,123.0,115.52513840684242,0.062174535560261646
Nevada,2025-02-22,2025-03-01,16,2024,97.0,64.40189131794048,0.4044163013910085
Nevada,2025-03-01,2025-03-08,17,2024,79.0,62.06845726079632,0.23780587504275275
Nevada,2025-03-08,2025-03-15,18,2024,88.0,63.520641537874425,0.3216511732841063
Nevada,2025-03-15,2025-03-22,19,2024,81.0,50.78870063296145,0.4595472562924199
Nevada,2025-03-22,2025-03-29,20,2024,70.0,62.28957283163703,0.11495928765850216
Nevada,2025-03-29,2025-04-05,21,2024,41.0,68.59593089109337,-0.5050364831394787
Nevada,2025-04-05,2025-04-12,22,2024,48.0,30.069247848638497,0.4556017832819754
Nevada,2025-04-12,2025-04-19,23,2024,41.0,33.58055636179025,0.19437804903705524
