reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2025-09-20,1,wk inc flu hosp,2025-10-04,01,quantile,0.01,14.991718241766652
2025-09-20,1,wk inc flu hosp,2025-10-04,01,quantile,0.025,14.991718241766652
2025-09-20,1,wk inc flu hosp,2025-10-04,01,quantile,0.05,14.991718241766652
2025-09-20,1,wk inc flu hosp,2025-10-04,01,quantile,0.1,14.991718241766652
2025-09-20,1,wk inc flu hosp,2025-10-04,01,quantile,0.15,14.991718241766652
2025-09-20,1,wk inc flu hosp,2025-10-04,01,quantile,0.2,14.991718241766652
2025-09-20,1,wk inc flu hosp,2025-10-04,01,quantile,0.25,14.991718241766652
2025-09-20,1,wk inc flu hosp,2025-10-04,01,quantile,0.3,14.991718241766652
2025-09-20,1,wk inc flu hosp,2025-10-04,01,quantile,0.35,14.991718241766652
2025-09-20,1,wk inc flu hosp,2025-10-04,01,quantile,0.4,14.991718241766652
2025-09-20,1,wk inc flu hosp,2025-10-04,01,quantile,0.45,14.991718241766652
2025-09-20,1,wk inc flu hosp,2025-10-04,01,quantile,0.5,14.991718241766652
2025-09-20,1,wk inc flu hosp,2025-10-04,01,quantile,0.55,14.991718241766652
2025-09-20,1,wk inc flu hosp,2025-10-04,01,quantile,0.6,14.991718241766652
2025-09-20,1,wk inc flu hosp,2025-10-04,01,quantile,0.65,14.991718241766652
2025-09-20,1,wk inc flu hosp,2025-10-04,01,quantile,0.7,14.991718241766652
2025-09-20,1,wk inc flu hosp,2025-10-04,01,quantile,0.75,14.991718241766652
2025-09-20,1,wk inc flu hosp,2025-10-04,01,quantile,0.8,14.991718241766652
2025-09-20,1,wk inc flu hosp,2025-10-04,01,quantile,0.85,14.991718241766652
2025-09-20,1,wk inc flu hosp,2025-10-04,01,quantile,0.9,14.991718241766652
2025-09-20,1,wk inc flu hosp,2025-10-04,01,quantile,0.95,14.991718241766652
2025-09-20,1,wk inc flu hosp,2025-10-04,01,quantile,0.975,14.991718241766652
2025-09-20,1,wk inc flu hosp,2025-10-04,01,quantile,0.99,14.991718241766652
2025-09-27,1,wk inc flu hosp,2025-10-11,01,quantile,0.01,17.997388671468997
2025-09-27,1,wk inc flu hosp,2025-10-11,01,quantile,0.025,17.997388671468997
2025-09-27,1,wk inc flu hosp,2025-10-11,01,quantile,0.05,17.997388671468997
2025-09-27,1,wk inc flu hosp,2025-10-11,01,quantile,0.1,17.997388671468997
2025-09-27,1,wk inc flu hosp,2025-10-11,01,quantile,0.15,17.997388671468997
2025-09-27,1,wk inc flu hosp,2025-10-11,01,quantile,0.2,17.997388671468997
2025-09-27,1,wk inc flu hosp,2025-10-11,01,quantile,0.25,17.997388671468997
2025-09-27,1,wk inc flu hosp,2025-10-11,01,quantile,0.3,17.997388671468997
2025-09-27,1,wk inc flu hosp,2025-10-11,01,quantile,0.35,17.997388671468997
2025-09-27,1,wk inc flu hosp,2025-10-11,01,quantile,0.4,17.997388671468997
2025-09-27,1,wk inc flu hosp,2025-10-11,01,quantile,0.45,17.997388671468997
2025-09-27,1,wk inc flu hosp,2025-10-11,01,quantile,0.5,17.997388671468997
2025-09-27,1,wk inc flu hosp,2025-10-11,01,quantile,0.55,17.997388671468997
2025-09-27,1,wk inc flu hosp,2025-10-11,01,quantile,0.6,17.997388671468997
2025-09-27,1,wk inc flu hosp,2025-10-11,01,quantile,0.65,17.997388671468997
2025-09-27,1,wk inc flu hosp,2025-10-11,01,quantile,0.7,17.997388671468997
2025-09-27,1,wk inc flu hosp,2025-10-11,01,quantile,0.75,17.997388671468997
2025-09-27,1,wk inc flu hosp,2025-10-11,01,quantile,0.8,17.997388671468997
2025-09-27,1,wk inc flu hosp,2025-10-11,01,quantile,0.85,17.997388671468997
2025-09-27,1,wk inc flu hosp,2025-10-11,01,quantile,0.9,17.997388671468997
2025-09-27,1,wk inc flu hosp,2025-10-11,01,quantile,0.95,17.997388671468997
2025-09-27,1,wk inc flu hosp,2025-10-11,01,quantile,0.975,17.997388671468997
2025-09-27,1,wk inc flu hosp,2025-10-11,01,quantile,0.99,17.997388671468997
2025-10-04,1,wk inc flu hosp,2025-10-18,01,quantile,0.01,17.66803499806094
2025-10-04,1,wk inc flu hosp,2025-10-18,01,quantile,0.025,17.66803499806094
2025-10-04,1,wk inc flu hosp,2025-10-18,01,quantile,0.05,17.66803499806094
2025-10-04,1,wk inc flu hosp,2025-10-18,01,quantile,0.1,17.66803499806094
2025-10-04,1,wk inc flu hosp,2025-10-18,01,quantile,0.15,17.66803499806094
2025-10-04,1,wk inc flu hosp,2025-10-18,01,quantile,0.2,17.66803499806094
2025-10-04,1,wk inc flu hosp,2025-10-18,01,quantile,0.25,17.66803499806094
2025-10-04,1,wk inc flu hosp,2025-10-18,01,quantile,0.3,17.66803499806094
2025-10-04,1,wk inc flu hosp,2025-10-18,01,quantile,0.35,17.66803499806094
2025-10-04,1,wk inc flu hosp,2025-10-18,01,quantile,0.4,17.66803499806094
2025-10-04,1,wk inc flu hosp,2025-10-18,01,quantile,0.45,17.66803499806094
2025-10-04,1,wk inc flu hosp,2025-10-18,01,quantile,0.5,17.66803499806094
2025-10-04,1,wk inc flu hosp,2025-10-18,01,quantile,0.55,17.66803499806094
2025-10-04,1,wk inc flu hosp,2025-10-18,01,quantile,0.6,17.66803499806094
2025-10-04,1,wk inc flu hosp,2025-10-18,01,quantile,0.65,17.66803499806094
2025-10-04,1,wk inc flu hosp,2025-10-18,01,quantile,0.7,17.66803499806094
2025-10-04,1,wk inc flu hosp,2025-10-18,01,quantile,0.75,17.66803499806094
2025-10-04,1,wk inc flu hosp,2025-10-18,01,quantile,0.8,17.66803499806094
2025-10-04,1,wk inc flu hosp,2025-10-18,01,quantile,0.85,17.66803499806094
2025-10-04,1,wk inc flu hosp,2025-10-18,01,quantile,0.9,17.66803499806094
2025-10-04,1,wk inc flu hosp,2025-10-18,01,quantile,0.95,17.66803499806094
2025-10-04,1,wk inc flu hosp,2025-10-18,01,quantile,0.975,17.66803499806094
2025-10-04,1,wk inc flu hosp,2025-10-18,01,quantile,0.99,17.66803499806094
2025-10-11,1,wk inc flu hosp,2025-10-25,01,quantile,0.01,12.172824027917041
2025-10-11,1,wk inc flu hosp,2025-10-25,01,quantile,0.025,12.172824027917041
2025-10-11,1,wk inc flu hosp,2025-10-25,01,quantile,0.05,12.172824027917041
2025-10-11,1,wk inc flu hosp,2025-10-25,01,quantile,0.1,12.172824027917041
2025-10-11,1,wk inc flu hosp,2025-10-25,01,quantile,0.15,12.172824027917041
2025-10-11,1,wk inc flu hosp,2025-10-25,01,quantile,0.2,12.172824027917041
2025-10-11,1,wk inc flu hosp,2025-10-25,01,quantile,0.25,12.172824027917041
2025-10-11,1,wk inc flu hosp,2025-10-25,01,quantile,0.3,12.172824027917041
2025-10-11,1,wk inc flu hosp,2025-10-25,01,quantile,0.35,12.172824027917041
2025-10-11,1,wk inc flu hosp,2025-10-25,01,quantile,0.4,12.172824027917041
2025-10-11,1,wk inc flu hosp,2025-10-25,01,quantile,0.45,12.172824027917041
2025-10-11,1,wk inc flu hosp,2025-10-25,01,quantile,0.5,12.172824027917041
2025-10-11,1,wk inc flu hosp,2025-10-25,01,quantile,0.55,12.172824027917041
2025-10-11,1,wk inc flu hosp,2025-10-25,01,quantile,0.6,12.172824027917041
2025-10-11,1,wk inc flu hosp,2025-10-25,01,quantile,0.65,12.172824027917041
2025-10-11,1,wk inc flu hosp,2025-10-25,01,quantile,0.7,12.172824027917041
2025-10-11,1,wk inc flu hosp,2025-10-25,01,quantile,0.75,12.172824027917041
2025-10-11,1,wk inc flu hosp,2025-10-25,01,quantile,0.8,12.172824027917041
2025-10-11,1,wk inc flu hosp,2025-10-25,01,quantile,0.85,12.172824027917041
2025-10-11,1,wk inc flu hosp,2025-10-25,01,quantile,0.9,12.172824027917041
2025-10-11,1,wk inc flu hosp,2025-10-25,01,quantile,0.95,12.172824027917041
2025-10-11,1,wk inc flu hosp,2025-10-25,01,quantile,0.975,12.172824027917041
2025-10-11,1,wk inc flu hosp,2025-10-25,01,quantile,0.99,12.172824027917041
2025-10-18,1,wk inc flu hosp,2025-11-01,01,quantile,0.01,11.071624928124365
2025-10-18,1,wk inc flu hosp,2025-11-01,01,quantile,0.025,11.071624928124365
2025-10-18,1,wk inc flu hosp,2025-11-01,01,quantile,0.05,11.071624928124365
2025-10-18,1,wk inc flu hosp,2025-11-01,01,quantile,0.1,11.071624928124365
