reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2025-09-20,2,wk inc flu hosp,2025-10-11,01,quantile,0.01,0.0
2025-09-20,2,wk inc flu hosp,2025-10-11,01,quantile,0.025,0.0
2025-09-20,2,wk inc flu hosp,2025-10-11,01,quantile,0.05,0.0
2025-09-20,2,wk inc flu hosp,2025-10-11,01,quantile,0.1,0.0
2025-09-20,2,wk inc flu hosp,2025-10-11,01,quantile,0.15,0.0
2025-09-20,2,wk inc flu hosp,2025-10-11,01,quantile,0.2,0.0
2025-09-20,2,wk inc flu hosp,2025-10-11,01,quantile,0.25,0.7455454044865526
2025-09-20,2,wk inc flu hosp,2025-10-11,01,quantile,0.3,4.013990985880836
2025-09-20,2,wk inc flu hosp,2025-10-11,01,quantile,0.35,7.042692912806908
2025-09-20,2,wk inc flu hosp,2025-10-11,01,quantile,0.4,9.916634864052565
2025-09-20,2,wk inc flu hosp,2025-10-11,01,quantile,0.45,12.697206961741973
2025-09-20,2,wk inc flu hosp,2025-10-11,01,quantile,0.5,15.433694139333554
2025-09-20,2,wk inc flu hosp,2025-10-11,01,quantile,0.55,18.170181316925138
2025-09-20,2,wk inc flu hosp,2025-10-11,01,quantile,0.6,20.950753414614542
2025-09-20,2,wk inc flu hosp,2025-10-11,01,quantile,0.65,23.8246953658602
2025-09-20,2,wk inc flu hosp,2025-10-11,01,quantile,0.7,26.853397292786266
2025-09-20,2,wk inc flu hosp,2025-10-11,01,quantile,0.75,30.121842874180555
2025-09-20,2,wk inc flu hosp,2025-10-11,01,quantile,0.8,33.76141202315706
2025-09-20,2,wk inc flu hosp,2025-10-11,01,quantile,0.85,38.00377437290392
2025-09-20,2,wk inc flu hosp,2025-10-11,01,quantile,0.9,43.341634920676604
2025-09-20,2,wk inc flu hosp,2025-10-11,01,quantile,0.95,51.253148345557186
2025-09-20,2,wk inc flu hosp,2025-10-11,01,quantile,0.975,58.11520636616668
2025-09-20,2,wk inc flu hosp,2025-10-11,01,quantile,0.99,66.09383178111901
2025-09-27,2,wk inc flu hosp,2025-10-18,01,quantile,0.01,0.0
2025-09-27,2,wk inc flu hosp,2025-10-18,01,quantile,0.025,0.0
2025-09-27,2,wk inc flu hosp,2025-10-18,01,quantile,0.05,0.0
2025-09-27,2,wk inc flu hosp,2025-10-18,01,quantile,0.1,0.0
2025-09-27,2,wk inc flu hosp,2025-10-18,01,quantile,0.15,0.0
2025-09-27,2,wk inc flu hosp,2025-10-18,01,quantile,0.2,0.0
2025-09-27,2,wk inc flu hosp,2025-10-18,01,quantile,0.25,1.8360665157501153
2025-09-27,2,wk inc flu hosp,2025-10-18,01,quantile,0.3,4.7363393226016495
2025-09-27,2,wk inc flu hosp,2025-10-18,01,quantile,0.35,7.423874305201953
2025-09-27,2,wk inc flu hosp,2025-10-18,01,quantile,0.4,9.974082189070682
2025-09-27,2,wk inc flu hosp,2025-10-18,01,quantile,0.45,12.441437830029074
2025-09-27,2,wk inc flu hosp,2025-10-18,01,quantile,0.5,14.869674479476704
2025-09-27,2,wk inc flu hosp,2025-10-18,01,quantile,0.55,17.297911128924333
2025-09-27,2,wk inc flu hosp,2025-10-18,01,quantile,0.6,19.765266769882725
2025-09-27,2,wk inc flu hosp,2025-10-18,01,quantile,0.65,22.315474653751455
2025-09-27,2,wk inc flu hosp,2025-10-18,01,quantile,0.7,25.003009636351752
2025-09-27,2,wk inc flu hosp,2025-10-18,01,quantile,0.75,27.90328244320329
2025-09-27,2,wk inc flu hosp,2025-10-18,01,quantile,0.8,31.13287374847733
2025-09-27,2,wk inc flu hosp,2025-10-18,01,quantile,0.85,34.89735685011516
2025-09-27,2,wk inc flu hosp,2025-10-18,01,quantile,0.9,39.63393618360573
2025-09-27,2,wk inc flu hosp,2025-10-18,01,quantile,0.95,46.654260272169466
2025-09-27,2,wk inc flu hosp,2025-10-18,01,quantile,0.975,52.74334445013558
2025-09-27,2,wk inc flu hosp,2025-10-18,01,quantile,0.99,59.82322072489045
2025-10-04,2,wk inc flu hosp,2025-10-25,01,quantile,0.01,0.0
2025-10-04,2,wk inc flu hosp,2025-10-25,01,quantile,0.025,0.0
2025-10-04,2,wk inc flu hosp,2025-10-25,01,quantile,0.05,0.0
2025-10-04,2,wk inc flu hosp,2025-10-25,01,quantile,0.1,0.0
