reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.01,22.51123357927113
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.025,25.242848210699908
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.05,27.84470999742092
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.1,31.166232963514283
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.15,33.620731963704856
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.2,35.70438908190771
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.25,37.59164446600517
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.3,39.3690160577701
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.35,41.08900644482193
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.4,42.78882236054325
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.45,44.49872556355911
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.5,46.246695809035906
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.55,48.06181958334735
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.6,49.97762726962446
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.65,52.03642099031295
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.7,54.2961276459428
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.75,56.842838670374086
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.8,59.816984581603876
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.85,63.47726949308244
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.9,68.39731697533814
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.95,76.38854941066013
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.975,84.06128019905333
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.99,93.94398740692418
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.01,26.045248681492286
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.025,29.187457139415503
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.05,32.1804093730568
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.1,36.001196330763825
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.15,38.82463541679949
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.2,41.22149072167988
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.25,43.39242280043741
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.3,45.43695425969197
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.35,47.41547944386631
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.4,49.37079769624304
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.45,51.337719473908344
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.5,53.3484302185138
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.55,55.43638845764349
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.6,57.64016458562006
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.65,60.008419231731274
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.7,62.60778639137769
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.75,65.53729805410754
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.8,68.95849309744938
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.85,73.16896190770052
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.9,78.82855042880952
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.95,88.02095914510241
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.975,96.84699166860183
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.99,108.21518607584429
2025-12-06,1,wk inc flu hosp,2025-12-20,01,quantile,0.01,78.29654257305637
2025-12-06,1,wk inc flu hosp,2025-12-20,01,quantile,0.025,87.50948306739302
2025-12-06,1,wk inc flu hosp,2025-12-20,01,quantile,0.05,96.2848050105953
2025-12-06,1,wk inc flu hosp,2025-12-20,01,quantile,0.1,107.48733449081885
2025-12-06,1,wk inc flu hosp,2025-12-20,01,quantile,0.15,115.76564467849595
2025-12-06,1,wk inc flu hosp,2025-12-20,01,quantile,0.2,122.79321321606935
2025-12-06,1,wk inc flu hosp,2025-12-20,01,quantile,0.25,129.15837591188193
2025-12-06,1,wk inc flu hosp,2025-12-20,01,quantile,0.3,135.15293258281682
2025-12-06,1,wk inc flu hosp,2025-12-20,01,quantile,0.35,140.95395916409976
2025-12-06,1,wk inc flu hosp,2025-12-20,01,quantile,0.4,146.68694312995137
2025-12-06,1,wk inc flu hosp,2025-12-20,01,quantile,0.45,152.45394857764921
2025-12-06,1,wk inc flu hosp,2025-12-20,01,quantile,0.5,158.3493430715005
2025-12-06,1,wk inc flu hosp,2025-12-20,01,quantile,0.55,164.47122685780909
2025-12-06,1,wk inc flu hosp,2025-12-20,01,quantile,0.6,170.93268815223476
2025-12-06,1,wk inc flu hosp,2025-12-20,01,quantile,0.65,177.87639969213674
2025-12-06,1,wk inc flu hosp,2025-12-20,01,quantile,0.7,185.49773204020863
2025-12-06,1,wk inc flu hosp,2025-12-20,01,quantile,0.75,194.08704652637536
2025-12-06,1,wk inc flu hosp,2025-12-20,01,quantile,0.8,204.11797438361225
2025-12-06,1,wk inc flu hosp,2025-12-20,01,quantile,0.85,216.46304923193816
2025-12-06,1,wk inc flu hosp,2025-12-20,01,quantile,0.9,233.05693629119142
2025-12-06,1,wk inc flu hosp,2025-12-20,01,quantile,0.95,260.00903563052105
2025-12-06,1,wk inc flu hosp,2025-12-20,01,quantile,0.975,285.88692168707604
2025-12-06,1,wk inc flu hosp,2025-12-20,01,quantile,0.99,319.2184144904523
2025-12-13,1,wk inc flu hosp,2025-12-27,01,quantile,0.01,99.19868617235814
2025-12-13,1,wk inc flu hosp,2025-12-27,01,quantile,0.025,110.8401084003975
2025-12-13,1,wk inc flu hosp,2025-12-27,01,quantile,0.05,121.92855817282297
2025-12-13,1,wk inc flu hosp,2025-12-27,01,quantile,0.1,136.08401437939546
2025-12-13,1,wk inc flu hosp,2025-12-27,01,quantile,0.15,146.5444427614815
2025-12-13,1,wk inc flu hosp,2025-12-27,01,quantile,0.2,155.42444069836887
2025-12-13,1,wk inc flu hosp,2025-12-27,01,quantile,0.25,163.46742616404848
2025-12-13,1,wk inc flu hosp,2025-12-27,01,quantile,0.3,171.04211584311037
2025-12-13,1,wk inc flu hosp,2025-12-27,01,quantile,0.35,178.37226193819342
2025-12-13,1,wk inc flu hosp,2025-12-27,01,quantile,0.4,185.6164297491203
2025-12-13,1,wk inc flu hosp,2025-12-27,01,quantile,0.45,192.9035869221557
2025-12-13,1,wk inc flu hosp,2025-12-27,01,quantile,0.5,200.35297580575588
2025-12-13,1,wk inc flu hosp,2025-12-27,01,quantile,0.55,208.08855534534106
2025-12-13,1,wk inc flu hosp,2025-12-27,01,quantile,0.6,216.25322320407548
2025-12-13,1,wk inc flu hosp,2025-12-27,01,quantile,0.65,225.027259888172
2025-12-13,1,wk inc flu hosp,2025-12-27,01,quantile,0.7,234.6575345934802
2025-12-13,1,wk inc flu hosp,2025-12-27,01,quantile,0.75,245.51094634018023
2025-12-13,1,wk inc flu hosp,2025-12-27,01,quantile,0.8,258.18597301563545
2025-12-13,1,wk inc flu hosp,2025-12-27,01,quantile,0.85,273.7851434253925
2025-12-13,1,wk inc flu hosp,2025-12-27,01,quantile,0.9,294.7530901715931
2025-12-13,1,wk inc flu hosp,2025-12-27,01,quantile,0.95,328.809618435731
2025-12-13,1,wk inc flu hosp,2025-12-27,01,quantile,0.975,361.5087765534499
2025-12-13,1,wk inc flu hosp,2025-12-27,01,quantile,0.99,403.6262722057321
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.01,139.7490485032984
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.025,156.10174896688702
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.05,171.67768927573357
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.1,191.5618521157332
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.15,206.25561106565513
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.2,218.72934009417955
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.25,230.0273180883517
2025-12-20,1,wk inc flu hosp,2026-01-03,01,quantile,0.3,240.66748120587798
