location,n_forecasts,actual_mean,actual_std,model_median_mean,mean_bias_applied,date_range
Alabama,9,171.0,181.0168807352262,163.7583679264095,0.0,2025-11-01 to 2025-12-27
Alaska,9,22.444444444444443,23.96344953424375,9.547896613596953,0.0,2025-11-01 to 2025-12-27
Arizona,9,117.66666666666667,122.6567024938575,90.78267361403431,0.0,2025-11-01 to 2025-12-27
Arkansas,9,99.66666666666667,88.90944206825779,84.93459844263887,0.0,2025-11-01 to 2025-12-27
California,9,516.6666666666666,457.9898106581266,505.12011340755294,0.0,2025-11-01 to 2025-12-27
Colorado,9,327.6666666666667,290.11262180976087,146.19854615802473,0.0,2025-11-01 to 2025-12-27
Connecticut,9,257.1111111111111,271.16638780745524,124.83414297207807,0.0,2025-11-01 to 2025-12-27
Delaware,9,64.0,74.23685817106696,32.54780850479608,0.0,2025-11-01 to 2025-12-27
District of Columbia,9,34.55555555555556,30.76473851347463,27.85320821532847,0.0,2025-11-01 to 2025-12-27
Florida,9,1084.3333333333333,696.0750278845265,1033.4854619318064,0.0,2025-11-01 to 2025-12-27
Georgia,9,455.55555555555554,480.34665979919845,356.1993141486431,0.0,2025-11-01 to 2025-12-27
Hawaii,9,53.111111111111114,32.64095738126307,38.156646648986865,0.0,2025-11-01 to 2025-12-27
Idaho,9,78.88888888888889,80.46316540911326,45.42701692390065,0.0,2025-11-01 to 2025-12-27
Illinois,9,485.22222222222223,577.8709540253541,313.23643371572194,0.0,2025-11-01 to 2025-12-27
Indiana,9,259.3333333333333,277.38260780213153,188.0237814524645,0.0,2025-11-01 to 2025-12-27
Iowa,9,85.11111111111111,114.83073963635391,56.04849485867828,0.0,2025-11-01 to 2025-12-27
Kansas,9,87.11111111111111,116.8336371317443,49.34024730446778,0.0,2025-11-01 to 2025-12-27
Kentucky,9,172.55555555555554,192.81258091220263,105.82417024013675,0.0,2025-11-01 to 2025-12-27
Louisiana,9,289.44444444444446,224.22860909304697,198.006730651023,0.0,2025-11-01 to 2025-12-27
Maine,9,58.333333333333336,74.68749709437465,25.521579212781162,0.0,2025-11-01 to 2025-12-27
Maryland,9,261.8888888888889,252.93980155340628,158.54396593961252,0.0,2025-11-01 to 2025-12-27
Massachusetts,9,328.0,376.6132705515773,257.27226560005846,0.0,2025-11-01 to 2025-12-27
Michigan,9,315.8888888888889,376.71812169031176,184.96649234131803,0.0,2025-11-01 to 2025-12-27
Minnesota,9,336.8888888888889,389.16104762380104,260.18884775254827,0.0,2025-11-01 to 2025-12-27
Mississippi,9,85.66666666666667,82.6922003577121,85.66602382106676,0.0,2025-11-01 to 2025-12-27
Missouri,9,202.22222222222223,246.5899780687581,139.33784130824668,0.0,2025-11-01 to 2025-12-27
Montana,9,41.44444444444444,51.766808566259925,25.68669760200523,0.0,2025-11-01 to 2025-12-27
Nebraska,9,54.0,69.19698130859628,30.826841059676887,0.0,2025-11-01 to 2025-12-27
Nevada,9,85.0,94.38926492633225,48.51491139770076,0.0,2025-11-01 to 2025-12-27
New Hampshire,9,66.88888888888889,78.27933521043504,31.835508002510792,0.0,2025-11-01 to 2025-12-27
New Jersey,9,591.7777777777778,599.4170830950457,469.92576517615976,0.0,2025-11-01 to 2025-12-27
New Mexico,9,120.11111111111111,140.8588296009278,66.87832020525785,0.0,2025-11-01 to 2025-12-27
New York,9,1651.111111111111,1411.7160907872567,998.9584542386469,0.0,2025-11-01 to 2025-12-27
North Carolina,9,794.0,878.309487342335,406.80150515069215,0.0,2025-11-01 to 2025-12-27
North Dakota,9,39.333333333333336,49.558046773455466,20.46303995653864,0.0,2025-11-01 to 2025-12-27
Ohio,9,562.8888888888889,673.3527133257946,417.9784563599364,0.0,2025-11-01 to 2025-12-27
Oklahoma,9,70.33333333333333,74.69642264228962,72.52918452646917,0.0,2025-11-01 to 2025-12-27
Oregon,9,52.666666666666664,50.321190588282214,51.56251188940502,0.0,2025-11-01 to 2025-12-27
Pennsylvania,9,983.5555555555555,1053.8707606945518,661.197940775502,0.0,2025-11-01 to 2025-12-27
Puerto Rico,9,207.0,80.26207074328447,195.27615874197323,0.0,2025-11-01 to 2025-12-27
Rhode Island,9,77.88888888888889,89.55004118671978,36.143427720324766,0.0,2025-11-01 to 2025-12-27
South Carolina,9,270.77777777777777,329.895868344266,182.98511430797765,0.0,2025-11-01 to 2025-12-27
South Dakota,9,20.444444444444443,29.029146698184075,13.331437873162777,0.0,2025-11-01 to 2025-12-27
Tennessee,9,281.6666666666667,318.16068616694645,171.59568960260552,0.0,2025-11-01 to 2025-12-27
Texas,9,1054.888888888889,829.8768910633598,853.3174731822709,0.0,2025-11-01 to 2025-12-27
US,9,14123.333333333334,13776.965832706255,11218.046614002327,0.0,2025-11-01 to 2025-12-27
Utah,9,88.33333333333333,92.3219006159066,55.283577444709344,0.0,2025-11-01 to 2025-12-27
Vermont,9,13.88888888888889,17.374594763903893,8.61427137706573,0.0,2025-11-01 to 2025-12-27
Virginia,9,313.8888888888889,359.19800928811287,214.9273407026953,0.0,2025-11-01 to 2025-12-27
Washington,9,84.11111111111111,76.43216955713005,61.95048527873428,0.0,2025-11-01 to 2025-12-27
West Virginia,9,47.111111111111114,60.540976838363044,50.909048178105316,0.0,2025-11-01 to 2025-12-27
Wisconsin,9,272.6666666666667,355.8779441200467,172.94115321118431,0.0,2025-11-01 to 2025-12-27
Wyoming,9,19.555555555555557,18.184921171803065,18.955871499314217,0.0,2025-11-01 to 2025-12-27
