reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2025-10-04,0,wk inc flu hosp,2025-10-11,01,quantile,0.01,17.81687905637706
2025-10-04,0,wk inc flu hosp,2025-10-11,01,quantile,0.025,18.109986172345327
2025-10-04,0,wk inc flu hosp,2025-10-11,01,quantile,0.05,18.3620744621726
2025-10-04,0,wk inc flu hosp,2025-10-11,01,quantile,0.1,18.652716115628998
2025-10-04,0,wk inc flu hosp,2025-10-11,01,quantile,0.15,18.84881065939168
2025-10-04,0,wk inc flu hosp,2025-10-11,01,quantile,0.2,19.004660386450723
2025-10-04,0,wk inc flu hosp,2025-10-11,01,quantile,0.25,19.13836557514455
2025-10-04,0,wk inc flu hosp,2025-10-11,01,quantile,0.3,19.258436966924187
2025-10-04,0,wk inc flu hosp,2025-10-11,01,quantile,0.35,19.36970100562253
2025-10-04,0,wk inc flu hosp,2025-10-11,01,quantile,0.4,19.47527969781319
2025-10-04,0,wk inc flu hosp,2025-10-11,01,quantile,0.45,19.577428304359902
2025-10-04,0,wk inc flu hosp,2025-10-11,01,quantile,0.5,19.677957383341962
2025-10-04,0,wk inc flu hosp,2025-10-11,01,quantile,0.55,19.77848646232402
2025-10-04,0,wk inc flu hosp,2025-10-11,01,quantile,0.6,19.880635068870735
2025-10-04,0,wk inc flu hosp,2025-10-11,01,quantile,0.65,19.986213761061393
2025-10-04,0,wk inc flu hosp,2025-10-11,01,quantile,0.7,20.097477799759737
2025-10-04,0,wk inc flu hosp,2025-10-11,01,quantile,0.75,20.217549191539373
2025-10-04,0,wk inc flu hosp,2025-10-11,01,quantile,0.8,20.3512543802332
2025-10-04,0,wk inc flu hosp,2025-10-11,01,quantile,0.85,20.507104107292243
2025-10-04,0,wk inc flu hosp,2025-10-11,01,quantile,0.9,20.703198651054926
2025-10-04,0,wk inc flu hosp,2025-10-11,01,quantile,0.95,20.993840304511323
2025-10-04,0,wk inc flu hosp,2025-10-11,01,quantile,0.975,21.245928594338597
2025-10-04,0,wk inc flu hosp,2025-10-11,01,quantile,0.99,21.539035710306862
2025-10-11,0,wk inc flu hosp,2025-10-18,01,quantile,0.01,11.344930568692147
2025-10-11,0,wk inc flu hosp,2025-10-18,01,quantile,0.025,11.638037684660413
2025-10-11,0,wk inc flu hosp,2025-10-18,01,quantile,0.05,11.890125974487686
2025-10-11,0,wk inc flu hosp,2025-10-18,01,quantile,0.1,12.180767627944082
2025-10-11,0,wk inc flu hosp,2025-10-18,01,quantile,0.15,12.376862171706767
2025-10-11,0,wk inc flu hosp,2025-10-18,01,quantile,0.2,12.53271189876581
2025-10-11,0,wk inc flu hosp,2025-10-18,01,quantile,0.25,12.666417087459639
2025-10-11,0,wk inc flu hosp,2025-10-18,01,quantile,0.3,12.786488479239274
2025-10-11,0,wk inc flu hosp,2025-10-18,01,quantile,0.35,12.897752517937615
2025-10-11,0,wk inc flu hosp,2025-10-18,01,quantile,0.4,13.003331210128275
2025-10-11,0,wk inc flu hosp,2025-10-18,01,quantile,0.45,13.105479816674988
2025-10-11,0,wk inc flu hosp,2025-10-18,01,quantile,0.5,13.206008895657048
2025-10-11,0,wk inc flu hosp,2025-10-18,01,quantile,0.55,13.306537974639108
2025-10-11,0,wk inc flu hosp,2025-10-18,01,quantile,0.6,13.40868658118582
2025-10-11,0,wk inc flu hosp,2025-10-18,01,quantile,0.65,13.51426527337648
2025-10-11,0,wk inc flu hosp,2025-10-18,01,quantile,0.7,13.625529312074821
2025-10-11,0,wk inc flu hosp,2025-10-18,01,quantile,0.75,13.745600703854457
2025-10-11,0,wk inc flu hosp,2025-10-18,01,quantile,0.8,13.879305892548286
2025-10-11,0,wk inc flu hosp,2025-10-18,01,quantile,0.85,14.035155619607329
2025-10-11,0,wk inc flu hosp,2025-10-18,01,quantile,0.9,14.231250163370014
2025-10-11,0,wk inc flu hosp,2025-10-18,01,quantile,0.95,14.52189181682641
2025-10-11,0,wk inc flu hosp,2025-10-18,01,quantile,0.975,14.773980106653683
2025-10-11,0,wk inc flu hosp,2025-10-18,01,quantile,0.99,15.067087222621948
2025-10-18,0,wk inc flu hosp,2025-10-25,01,quantile,0.01,10.321107035253721
2025-10-18,0,wk inc flu hosp,2025-10-25,01,quantile,0.025,10.614214151221987
2025-10-18,0,wk inc flu hosp,2025-10-25,01,quantile,0.05,10.86630244104926
2025-10-18,0,wk inc flu hosp,2025-10-25,01,quantile,0.1,11.156944094505656
2025-10-18,0,wk inc flu hosp,2025-10-25,01,quantile,0.15,11.353038638268341
2025-10-18,0,wk inc flu hosp,2025-10-25,01,quantile,0.2,11.508888365327383
2025-10-18,0,wk inc flu hosp,2025-10-25,01,quantile,0.25,11.642593554021213
2025-10-18,0,wk inc flu hosp,2025-10-25,01,quantile,0.3,11.762664945800848
2025-10-18,0,wk inc flu hosp,2025-10-25,01,quantile,0.35,11.873928984499189
2025-10-18,0,wk inc flu hosp,2025-10-25,01,quantile,0.4,11.979507676689849
2025-10-18,0,wk inc flu hosp,2025-10-25,01,quantile,0.45,12.081656283236562
2025-10-18,0,wk inc flu hosp,2025-10-25,01,quantile,0.5,12.182185362218622
2025-10-18,0,wk inc flu hosp,2025-10-25,01,quantile,0.55,12.282714441200682
2025-10-18,0,wk inc flu hosp,2025-10-25,01,quantile,0.6,12.384863047747395
2025-10-18,0,wk inc flu hosp,2025-10-25,01,quantile,0.65,12.490441739938055
2025-10-18,0,wk inc flu hosp,2025-10-25,01,quantile,0.7,12.601705778636395
2025-10-18,0,wk inc flu hosp,2025-10-25,01,quantile,0.75,12.721777170416031
2025-10-18,0,wk inc flu hosp,2025-10-25,01,quantile,0.8,12.85548235910986
2025-10-18,0,wk inc flu hosp,2025-10-25,01,quantile,0.85,13.011332086168903
2025-10-18,0,wk inc flu hosp,2025-10-25,01,quantile,0.9,13.207426629931588
2025-10-18,0,wk inc flu hosp,2025-10-25,01,quantile,0.95,13.498068283387983
2025-10-18,0,wk inc flu hosp,2025-10-25,01,quantile,0.975,13.750156573215257
2025-10-18,0,wk inc flu hosp,2025-10-25,01,quantile,0.99,14.043263689183522
2025-10-25,0,wk inc flu hosp,2025-11-01,01,quantile,0.01,8.178894524785203
2025-10-25,0,wk inc flu hosp,2025-11-01,01,quantile,0.025,8.472001640753469
2025-10-25,0,wk inc flu hosp,2025-11-01,01,quantile,0.05,8.724089930580742
2025-10-25,0,wk inc flu hosp,2025-11-01,01,quantile,0.1,9.014731584037138
2025-10-25,0,wk inc flu hosp,2025-11-01,01,quantile,0.15,9.210826127799823
2025-10-25,0,wk inc flu hosp,2025-11-01,01,quantile,0.2,9.366675854858865
2025-10-25,0,wk inc flu hosp,2025-11-01,01,quantile,0.25,9.500381043552695
2025-10-25,0,wk inc flu hosp,2025-11-01,01,quantile,0.3,9.62045243533233
2025-10-25,0,wk inc flu hosp,2025-11-01,01,quantile,0.35,9.731716474030671
2025-10-25,0,wk inc flu hosp,2025-11-01,01,quantile,0.4,9.837295166221331
2025-10-25,0,wk inc flu hosp,2025-11-01,01,quantile,0.45,9.939443772768044
2025-10-25,0,wk inc flu hosp,2025-11-01,01,quantile,0.5,10.039972851750104
2025-10-25,0,wk inc flu hosp,2025-11-01,01,quantile,0.55,10.140501930732164
2025-10-25,0,wk inc flu hosp,2025-11-01,01,quantile,0.6,10.242650537278877
2025-10-25,0,wk inc flu hosp,2025-11-01,01,quantile,0.65,10.348229229469537
2025-10-25,0,wk inc flu hosp,2025-11-01,01,quantile,0.7,10.459493268167877
2025-10-25,0,wk inc flu hosp,2025-11-01,01,quantile,0.75,10.579564659947513
2025-10-25,0,wk inc flu hosp,2025-11-01,01,quantile,0.8,10.713269848641342
2025-10-25,0,wk inc flu hosp,2025-11-01,01,quantile,0.85,10.869119575700385
2025-10-25,0,wk inc flu hosp,2025-11-01,01,quantile,0.9,11.06521411946307
2025-10-25,0,wk inc flu hosp,2025-11-01,01,quantile,0.95,11.355855772919465
2025-10-25,0,wk inc flu hosp,2025-11-01,01,quantile,0.975,11.60794406274674
2025-10-25,0,wk inc flu hosp,2025-11-01,01,quantile,0.99,11.901051178715004
2025-11-01,0,wk inc flu hosp,2025-11-08,01,quantile,0.01,19.88042987891987
2025-11-01,0,wk inc flu hosp,2025-11-08,01,quantile,0.025,20.173536994888135
2025-11-01,0,wk inc flu hosp,2025-11-08,01,quantile,0.05,20.42562528471541
2025-11-01,0,wk inc flu hosp,2025-11-08,01,quantile,0.1,20.716266938171806
2025-11-01,0,wk inc flu hosp,2025-11-08,01,quantile,0.15,20.91236148193449
2025-11-01,0,wk inc flu hosp,2025-11-08,01,quantile,0.2,21.06821120899353
2025-11-01,0,wk inc flu hosp,2025-11-08,01,quantile,0.25,21.20191639768736
2025-11-01,0,wk inc flu hosp,2025-11-08,01,quantile,0.3,21.321987789466995
2025-11-01,0,wk inc flu hosp,2025-11-08,01,quantile,0.35,21.43325182816534
2025-11-01,0,wk inc flu hosp,2025-11-08,01,quantile,0.4,21.538830520355997
2025-11-01,0,wk inc flu hosp,2025-11-08,01,quantile,0.45,21.64097912690271
2025-11-01,0,wk inc flu hosp,2025-11-08,01,quantile,0.5,21.74150820588477
2025-11-01,0,wk inc flu hosp,2025-11-08,01,quantile,0.55,21.84203728486683
2025-11-01,0,wk inc flu hosp,2025-11-08,01,quantile,0.6,21.944185891413543
2025-11-01,0,wk inc flu hosp,2025-11-08,01,quantile,0.65,22.0497645836042
2025-11-01,0,wk inc flu hosp,2025-11-08,01,quantile,0.7,22.161028622302545
2025-11-01,0,wk inc flu hosp,2025-11-08,01,quantile,0.75,22.28110001408218
2025-11-01,0,wk inc flu hosp,2025-11-08,01,quantile,0.8,22.41480520277601
2025-11-01,0,wk inc flu hosp,2025-11-08,01,quantile,0.85,22.57065492983505
2025-11-01,0,wk inc flu hosp,2025-11-08,01,quantile,0.9,22.766749473597734
2025-11-01,0,wk inc flu hosp,2025-11-08,01,quantile,0.95,23.05739112705413
2025-11-01,0,wk inc flu hosp,2025-11-08,01,quantile,0.975,23.309479416881405
2025-11-01,0,wk inc flu hosp,2025-11-08,01,quantile,0.99,23.60258653284967
2025-11-08,0,wk inc flu hosp,2025-11-15,01,quantile,0.01,18.99468243532625
