location,n_forecasts,actual_mean,actual_std,model_median_mean,mean_bias_applied,date_range
Alabama,9,305.44444444444446,120.93810272762686,335.8472713072516,0.0,2025-12-06 to 2026-01-31
Alabama,5,215.8,115.57923688967666,312.4607015880059,0.0,2026-01-10 to 2026-02-07
Alabama,5,312.4,67.8781260790249,303.4011213257582,0.0,2026-01-17 to 2026-02-14
Alaska,9,40.333333333333336,24.62158041682585,40.16774474704325,0.0,2025-12-06 to 2026-01-31
Alaska,5,21.0,11.04536101718726,30.99004437336395,0.0,2026-01-10 to 2026-02-07
Alaska,5,18.0,7.797435475847171,25.324407439223624,0.0,2026-01-17 to 2026-02-14
Arizona,9,226.44444444444449,90.48893254746818,265.063324267113,0.0,2025-12-06 to 2026-01-31
Arizona,5,272.4,96.54760483823512,235.5711332452668,0.0,2026-01-10 to 2026-02-07
Arizona,5,311.2,74.3004710617638,249.7083425079251,0.0,2026-01-17 to 2026-02-14
Arkansas,9,182.3333333333333,63.18930992572152,225.37606141182377,0.0,2025-12-06 to 2026-01-31
Arkansas,5,171.8,21.122499852053497,245.9104438995149,0.0,2026-01-10 to 2026-02-07
Arkansas,5,189.4,26.15033460588984,225.77607986568373,0.0,2026-01-17 to 2026-02-14
California,9,1321.111111111111,436.2541166808488,1396.714826743398,0.0,2025-12-06 to 2026-01-31
California,5,1667.8,214.735558303696,1553.3624386561482,0.0,2026-01-10 to 2026-02-07
California,5,1767.2,289.10441020503305,1623.7812591837724,0.0,2026-01-17 to 2026-02-14
Colorado,9,403.77777777777777,259.020281392866,343.8625581089697,0.0,2025-12-06 to 2026-01-31
Colorado,5,167.6,56.67662657568815,285.18270334259233,0.0,2026-01-10 to 2026-02-07
Colorado,5,137.0,26.615784790233032,204.34373884829049,0.0,2026-01-17 to 2026-02-14
Connecticut,9,339.22222222222223,245.67629007735533,220.91548451158133,0.0,2025-12-06 to 2026-01-31
Connecticut,5,105.4,73.04957220956192,183.3963205488924,0.0,2026-01-10 to 2026-02-07
Connecticut,5,63.6,32.751183184733954,109.40785201619735,0.0,2026-01-17 to 2026-02-14
Delaware,9,120.55555555555556,61.97331165933196,107.95603078285268,0.0,2025-12-06 to 2026-01-31
Delaware,5,77.4,37.44115382837447,112.1476586992764,0.0,2026-01-10 to 2026-02-07
Delaware,5,56.4,28.08273490954896,81.76331665974969,0.0,2026-01-17 to 2026-02-14
District of Columbia,9,51.888888888888886,34.24241828312573,53.232588120966426,0.0,2025-12-06 to 2026-01-31
District of Columbia,5,21.6,17.2580416038437,34.461269696069884,0.0,2026-01-10 to 2026-02-07
District of Columbia,5,12.8,10.49571341072154,28.93933106982008,0.0,2026-01-17 to 2026-02-14
Florida,9,1798.5555555555557,502.4186194159234,1810.876615371347,0.0,2025-12-06 to 2026-01-31
Florida,5,1779.0,219.30161878107512,1818.849576644951,0.0,2026-01-10 to 2026-02-07
Florida,5,1822.0,319.5790981901038,1439.65954088416,0.0,2026-01-17 to 2026-02-14
Georgia,9,637.8888888888889,402.1269684632356,682.7919824891202,0.0,2025-12-06 to 2026-01-31
Georgia,5,359.4,31.87851941354868,461.4673340558249,0.0,2026-01-10 to 2026-02-07
Georgia,5,366.4,36.89227561428002,438.55416483849694,0.0,2026-01-17 to 2026-02-14
Hawaii,9,64.33333333333333,28.17406214548725,66.10191659672701,0.0,2025-12-06 to 2026-01-31
Hawaii,5,34.8,11.05260150371848,51.50031683365398,0.0,2026-01-10 to 2026-02-07
Hawaii,5,28.6,9.520504188329523,42.12184314649768,0.0,2026-01-17 to 2026-02-14
Idaho,9,128.44444444444446,61.752392866117816,109.86512009497122,0.0,2025-12-06 to 2026-01-31
Idaho,5,104.0,8.648699324175862,91.43264417725692,0.0,2026-01-10 to 2026-02-07
Idaho,5,105.0,6.228964600958975,87.72711343086476,0.0,2026-01-17 to 2026-02-14
Illinois,9,843.8888888888889,461.2093871176433,804.6732543363447,0.0,2025-12-06 to 2026-01-31
Illinois,5,588.8,85.2933760616849,748.3283018338233,0.0,2026-01-10 to 2026-02-07
Illinois,5,553.4,41.76888794306116,544.0947856592281,0.0,2026-01-17 to 2026-02-14
Indiana,9,459.22222222222223,222.71744819029124,485.8861935265229,0.0,2025-12-06 to 2026-01-31
Indiana,5,329.2,40.12679902509045,467.119781138416,0.0,2026-01-10 to 2026-02-07
Indiana,5,306.2,35.6,347.1897704939769,0.0,2026-01-17 to 2026-02-14
Iowa,9,215.66666666666663,96.8916921103146,177.97192330451966,0.0,2025-12-06 to 2026-01-31
Iowa,5,230.0,19.43193248238579,175.88997388642787,0.0,2026-01-10 to 2026-02-07
Iowa,5,214.0,24.99599967994879,146.65673068720122,0.0,2026-01-17 to 2026-02-14
Kansas,9,201.5555555555556,88.96080424185712,169.84651652563485,0.0,2025-12-06 to 2026-01-31
Kansas,5,197.2,10.244998779892558,194.7796459036753,0.0,2026-01-10 to 2026-02-07
Kansas,5,202.4,12.90891165048394,176.96093796339628,0.0,2026-01-17 to 2026-02-14
Kentucky,9,331.6666666666667,157.91066391405545,347.5656551611679,0.0,2025-12-06 to 2026-01-31
Kentucky,5,252.6,39.97299088134387,351.63621856338705,0.0,2026-01-10 to 2026-02-07
Kentucky,5,241.6,40.33162530818712,305.9279753859232,0.0,2026-01-17 to 2026-02-14
Louisiana,9,409.77777777777777,154.33281337405413,350.6694706268509,0.0,2025-12-06 to 2026-01-31
Louisiana,5,308.6,19.12694434560837,331.3628661086205,0.0,2026-01-10 to 2026-02-07
Louisiana,5,345.8,39.3517471022571,313.4394665691564,0.0,2026-01-17 to 2026-02-14
Maine,9,111.11111111111111,65.10580183131735,85.89263634879298,0.0,2025-12-06 to 2026-01-31
Maine,5,74.6,24.32776191925595,83.04274820809029,0.0,2026-01-10 to 2026-02-07
Maine,5,62.8,12.155657119218196,67.80074677681435,0.0,2026-01-17 to 2026-02-14
Maryland,9,366.44444444444446,243.6997748191688,368.2132136646274,0.0,2025-12-06 to 2026-01-31
Maryland,5,145.8,75.22074182032506,314.78937271300737,0.0,2026-01-10 to 2026-02-07
Maryland,5,102.0,37.427262790645,229.79984932077676,0.0,2026-01-17 to 2026-02-14
Massachusetts,9,517.5555555555555,354.4194348543391,524.1944233669317,0.0,2025-12-06 to 2026-01-31
Massachusetts,5,226.4,141.33874203487167,318.9212030700327,0.0,2026-01-10 to 2026-02-07
