reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.01,13.605577155187596
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.025,16.223525288098713
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.05,18.847456358407047
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.1,22.372538833154177
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.15,25.098163695829594
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.2,27.489352563677137
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.25,29.714645370504726
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.3,31.860776530816157
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.35,33.98312362288192
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.4,36.12363300006522
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.45,38.319176979009775
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.5,40.606648253684476
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.55,43.02719771652307
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.6,45.631028242919655
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.65,48.484236958575394
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.7,51.680227361103974
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.75,55.36116445505874
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.8,59.7635141948761
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.85,65.3308422416881
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.9,73.06611627703127
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.95,86.2209086970762
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.975,99.50864442379907
2025-11-22,1,wk inc flu hosp,2025-12-06,01,quantile,0.99,117.52411996543191
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.01,15.714560505176438
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.025,18.710529236984797
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.05,21.713344816956848
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.1,25.747434239364278
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.15,28.86662776369689
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.2,31.603094155012784
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.25,34.149709798218815
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.3,36.60573318914174
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.35,39.034538193312265
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.4,41.48412803948419
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.45,43.99669925032539
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.5,46.61447166822833
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.55,49.38453819983526
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.6,52.364350802668476
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.65,55.62955074684093
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.7,59.28702859858429
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.75,63.49947738571098
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.8,68.53750774283309
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.85,74.90873432990121
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.9,83.76094910471693
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.95,98.81523771663814
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.975,114.02166608446339
2025-11-29,1,wk inc flu hosp,2025-12-13,01,quantile,0.99,134.63849983027637
2025-12-06,1,wk inc flu hosp,2025-12-20,01,quantile,0.01,43.892892294227714
2025-12-06,1,wk inc flu hosp,2025-12-20,01,quantile,0.025,51.93963103751045
