reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2025-11-08,3,wk inc flu hosp,2025-12-06,01,quantile,0.01,17.22989757057382
2025-11-08,3,wk inc flu hosp,2025-12-06,01,quantile,0.025,20.497479933184785
2025-11-08,3,wk inc flu hosp,2025-12-06,01,quantile,0.05,23.772529877169887
2025-11-08,3,wk inc flu hosp,2025-12-06,01,quantile,0.1,28.172348642266783
2025-11-08,3,wk inc flu hosp,2025-12-06,01,quantile,0.15,31.574327320304448
2025-11-08,3,wk inc flu hosp,2025-12-06,01,quantile,0.2,34.5588809377063
2025-11-08,3,wk inc flu hosp,2025-12-06,01,quantile,0.25,37.336371994853124
2025-11-08,3,wk inc flu hosp,2025-12-06,01,quantile,0.3,40.01505773317045
2025-11-08,3,wk inc flu hosp,2025-12-06,01,quantile,0.35,42.664057473918255
2025-11-08,3,wk inc flu hosp,2025-12-06,01,quantile,0.4,45.335726404238144
2025-11-08,3,wk inc flu hosp,2025-12-06,01,quantile,0.45,48.076086570945634
2025-11-08,3,wk inc flu hosp,2025-12-06,01,quantile,0.5,50.93118545474008
2025-11-08,3,wk inc flu hosp,2025-12-06,01,quantile,0.55,53.9523853911207
2025-11-08,3,wk inc flu hosp,2025-12-06,01,quantile,0.6,57.20234691492692
2025-11-08,3,wk inc flu hosp,2025-12-06,01,quantile,0.65,60.76356891123802
2025-11-08,3,wk inc flu hosp,2025-12-06,01,quantile,0.7,64.7526326131089
2025-11-08,3,wk inc flu hosp,2025-12-06,01,quantile,0.75,69.3469807496827
2025-11-08,3,wk inc flu hosp,2025-12-06,01,quantile,0.8,74.84175743491676
2025-11-08,3,wk inc flu hosp,2025-12-06,01,quantile,0.85,81.79059752228838
2025-11-08,3,wk inc flu hosp,2025-12-06,01,quantile,0.9,91.44535144582909
2025-11-08,3,wk inc flu hosp,2025-12-06,01,quantile,0.95,107.8644573689664
2025-11-08,3,wk inc flu hosp,2025-12-06,01,quantile,0.975,124.4494959928579
2025-11-08,3,wk inc flu hosp,2025-12-06,01,quantile,0.99,146.93544573107107
2025-11-15,3,wk inc flu hosp,2025-12-13,01,quantile,0.01,22.414993367967444
2025-11-15,3,wk inc flu hosp,2025-12-13,01,quantile,0.025,26.611968093339684
2025-11-15,3,wk inc flu hosp,2025-12-13,01,quantile,0.05,30.818534390341622
2025-11-15,3,wk inc flu hosp,2025-12-13,01,quantile,0.1,36.46978540841082
2025-11-15,3,wk inc flu hosp,2025-12-13,01,quantile,0.15,40.83938254277975
2025-11-15,3,wk inc flu hosp,2025-12-13,01,quantile,0.2,44.67282718432351
2025-11-15,3,wk inc flu hosp,2025-12-13,01,quantile,0.25,48.24031484742805
2025-11-15,3,wk inc flu hosp,2025-12-13,01,quantile,0.3,51.68089417897692
2025-11-15,3,wk inc flu hosp,2025-12-13,01,quantile,0.35,55.08334397998285
2025-11-15,3,wk inc flu hosp,2025-12-13,01,quantile,0.4,58.51491072591031
2025-11-15,3,wk inc flu hosp,2025-12-13,01,quantile,0.45,62.03470642859556
2025-11-15,3,wk inc flu hosp,2025-12-13,01,quantile,0.5,65.70187576787089
2025-11-15,3,wk inc flu hosp,2025-12-13,01,quantile,0.55,69.58238997261577
2025-11-15,3,wk inc flu hosp,2025-12-13,01,quantile,0.6,73.75673199683575
2025-11-15,3,wk inc flu hosp,2025-12-13,01,quantile,0.65,78.33086572976926
2025-11-15,3,wk inc flu hosp,2025-12-13,01,quantile,0.7,83.45453138735782
2025-11-15,3,wk inc flu hosp,2025-12-13,01,quantile,0.75,89.3556414035576
2025-11-15,3,wk inc flu hosp,2025-12-13,01,quantile,0.8,96.41328718270323
2025-11-15,3,wk inc flu hosp,2025-12-13,01,quantile,0.85,105.33857290803334
2025-11-15,3,wk inc flu hosp,2025-12-13,01,quantile,0.9,117.73941049990071
2025-11-15,3,wk inc flu hosp,2025-12-13,01,quantile,0.95,138.82857212628247
2025-11-15,3,wk inc flu hosp,2025-12-13,01,quantile,0.975,160.1308623823039
2025-11-15,3,wk inc flu hosp,2025-12-13,01,quantile,0.99,189.01244890545505
2025-11-22,3,wk inc flu hosp,2025-12-20,01,quantile,0.01,28.461681653663423
2025-11-22,3,wk inc flu hosp,2025-12-20,01,quantile,0.025,33.74248320351763
2025-11-22,3,wk inc flu hosp,2025-12-20,01,quantile,0.05,39.035353252622365
2025-11-22,3,wk inc flu hosp,2025-12-20,01,quantile,0.1,46.145983429740745
2025-11-22,3,wk inc flu hosp,2025-12-20,01,quantile,0.15,51.64398540242772
2025-11-22,3,wk inc flu hosp,2025-12-20,01,quantile,0.2,56.46737885342097
2025-11-22,3,wk inc flu hosp,2025-12-20,01,quantile,0.25,60.95613459133818
2025-11-22,3,wk inc flu hosp,2025-12-20,01,quantile,0.3,65.28520918799974
2025-11-22,3,wk inc flu hosp,2025-12-20,01,quantile,0.35,69.56630768350227
2025-11-22,3,wk inc flu hosp,2025-12-20,01,quantile,0.4,73.88404228427822
2025-11-22,3,wk inc flu hosp,2025-12-20,01,quantile,0.45,78.31279008910612
2025-11-22,3,wk inc flu hosp,2025-12-20,01,quantile,0.5,82.92696930094434
2025-11-22,3,wk inc flu hosp,2025-12-20,01,quantile,0.55,87.80958755994052
2025-11-22,3,wk inc flu hosp,2025-12-20,01,quantile,0.6,93.06191173951186
2025-11-22,3,wk inc flu hosp,2025-12-20,01,quantile,0.65,98.81726984545644
2025-11-22,3,wk inc flu hosp,2025-12-20,01,quantile,0.7,105.26407100962803
2025-11-22,3,wk inc flu hosp,2025-12-20,01,quantile,0.75,112.689083776805
2025-11-22,3,wk inc flu hosp,2025-12-20,01,quantile,0.8,121.56929612202674
2025-11-22,3,wk inc flu hosp,2025-12-20,01,quantile,0.85,132.79944778490926
2025-11-22,3,wk inc flu hosp,2025-12-20,01,quantile,0.9,148.40267788747207
2025-11-22,3,wk inc flu hosp,2025-12-20,01,quantile,0.95,174.93790497103404
2025-11-22,3,wk inc flu hosp,2025-12-20,01,quantile,0.975,201.74129902517976
2025-11-22,3,wk inc flu hosp,2025-12-20,01,quantile,0.99,238.08126694342297
2025-11-29,3,wk inc flu hosp,2025-12-27,01,quantile,0.01,33.75852052693619
2025-11-29,3,wk inc flu hosp,2025-12-27,01,quantile,0.025,39.98874360880361
2025-11-29,3,wk inc flu hosp,2025-12-27,01,quantile,0.05,46.23320495391276
2025-11-29,3,wk inc flu hosp,2025-12-27,01,quantile,0.1,54.622236777562534
2025-11-29,3,wk inc flu hosp,2025-12-27,01,quantile,0.15,61.10871017956582
2025-11-29,3,wk inc flu hosp,2025-12-27,01,quantile,0.2,66.79928895394448
2025-11-29,3,wk inc flu hosp,2025-12-27,01,quantile,0.25,72.09506637394784
2025-11-29,3,wk inc flu hosp,2025-12-27,01,quantile,0.3,77.20245399694825
2025-11-29,3,wk inc flu hosp,2025-12-27,01,quantile,0.35,82.2532400207412
2025-11-29,3,wk inc flu hosp,2025-12-27,01,quantile,0.4,87.34724885958398
2025-11-29,3,wk inc flu hosp,2025-12-27,01,quantile,0.45,92.57222967678022
2025-11-29,3,wk inc flu hosp,2025-12-27,01,quantile,0.5,98.01598012982669
2025-11-29,3,wk inc flu hosp,2025-12-27,01,quantile,0.55,103.77643158591013
2025-11-29,3,wk inc flu hosp,2025-12-27,01,quantile,0.6,109.97305742539452
2025-11-29,3,wk inc flu hosp,2025-12-27,01,quantile,0.65,116.76315634836173
2025-11-29,3,wk inc flu hosp,2025-12-27,01,quantile,0.7,124.3690110728856
2025-11-29,3,wk inc flu hosp,2025-12-27,01,quantile,0.75,133.12894751217547
2025-11-29,3,wk inc flu hosp,2025-12-27,01,quantile,0.8,143.60571006474896
2025-11-29,3,wk inc flu hosp,2025-12-27,01,quantile,0.85,156.85490139345816
