location,n_forecasts,actual_mean,actual_std,model_median_mean,mean_bias_applied,date_range
Alabama,6,290.5,168.34166646040626,99.53948426936468,0.0,2025-11-08 to 2025-12-13
Alaska,6,38.5,21.195518394226642,8.164641874249499,0.0,2025-11-08 to 2025-12-13
Arizona,6,191.5,117.54963490656475,246.86321713901748,0.0,2025-11-08 to 2025-12-13
Arkansas,6,155.83333333333334,74.30212349290937,69.70417054119552,0.0,2025-11-08 to 2025-12-13
California,6,908.0,476.24188532019457,1113.1744937684996,0.0,2025-11-08 to 2025-12-13
Colorado,6,516.8333333333334,236.81315888738578,86.01911595405227,0.0,2025-11-08 to 2025-12-13
Connecticut,6,447.1666666666667,228.593829507467,55.3917937838167,0.0,2025-11-08 to 2025-12-13
Delaware,6,121.33333333333333,76.25760435669497,16.317704653269455,0.0,2025-11-08 to 2025-12-13
District of Columbia,6,59.333333333333336,28.06342023979892,15.566187506336712,0.0,2025-11-08 to 2025-12-13
Florida,6,1702.5,648.5585941146721,460.0413666960885,0.0,2025-11-08 to 2025-12-13
Georgia,6,755.3333333333334,451.59962602090604,279.45255321798885,0.0,2025-11-08 to 2025-12-13
Hawaii,6,78.16666666666667,20.987430100472572,46.78242183476547,0.0,2025-11-08 to 2025-12-13
Idaho,6,131.83333333333334,78.66472455229783,62.68203899128593,0.0,2025-11-08 to 2025-12-13
Illinois,6,877.6666666666666,570.5341551758512,159.30820365950945,0.0,2025-11-08 to 2025-12-13
Indiana,6,472.5,285.589303020964,222.8842018696768,0.0,2025-11-08 to 2025-12-13
Iowa,6,170.66666666666666,130.68112164943932,55.75989493555901,0.0,2025-11-08 to 2025-12-13
Kansas,6,160.33333333333334,119.2835091517497,31.349890450667797,0.0,2025-11-08 to 2025-12-13
Kentucky,6,322.8333333333333,209.72236938920517,100.10513159011965,0.0,2025-11-08 to 2025-12-13
Louisiana,6,436.5,188.7509381875138,160.24646992045402,0.0,2025-11-08 to 2025-12-13
Maine,6,110.5,77.3385414912901,11.791944794995787,0.0,2025-11-08 to 2025-12-13
Maryland,6,449.1666666666667,215.09565055781323,74.93304475723336,0.0,2025-11-08 to 2025-12-13
Massachusetts,6,613.6666666666666,378.4792670088489,101.66271381495108,0.0,2025-11-08 to 2025-12-13
Michigan,6,580.0,376.4943558673888,220.0037453974078,0.0,2025-11-08 to 2025-12-13
Minnesota,6,594.1666666666666,342.53097994520465,119.87158994256775,0.0,2025-11-08 to 2025-12-13
Mississippi,6,143.5,72.34811676885585,90.3684889070528,0.0,2025-11-08 to 2025-12-13
Missouri,6,374.5,255.16775527745142,144.8248849996165,0.0,2025-11-08 to 2025-12-13
Montana,6,77.33333333333333,52.49656073390798,18.79102292988237,0.0,2025-11-08 to 2025-12-13
Nebraska,6,103.5,70.14211763745566,33.19364255422416,0.0,2025-11-08 to 2025-12-13
Nevada,6,144.0,89.60096725668386,68.85948904715723,0.0,2025-11-08 to 2025-12-13
New Hampshire,6,135.83333333333334,84.93412480007994,10.106032978023663,0.0,2025-11-08 to 2025-12-13
New Jersey,6,1027.6666666666667,479.3484003195263,365.7249016412818,0.0,2025-11-08 to 2025-12-13
New Mexico,6,209.83333333333334,140.10878709853364,62.81627553530604,0.0,2025-11-08 to 2025-12-13
New York,6,2613.6666666666665,958.9264251697775,595.1770599724912,0.0,2025-11-08 to 2025-12-13
North Carolina,6,1358.3333333333333,824.7916235160383,201.83235753146587,0.0,2025-11-08 to 2025-12-13
North Dakota,6,75.0,51.861996362140424,13.405825364818305,0.0,2025-11-08 to 2025-12-13
Ohio,6,1026.1666666666667,656.025765923531,288.0250967615116,0.0,2025-11-08 to 2025-12-13
Oklahoma,6,113.5,70.31299073902821,59.70569303453789,0.0,2025-11-08 to 2025-12-13
Oregon,6,90.66666666666667,53.06809043316164,81.29332306849655,0.0,2025-11-08 to 2025-12-13
Pennsylvania,6,1641.5,967.7545746038438,338.9212134791479,0.0,2025-11-08 to 2025-12-13
Puerto Rico,6,270.0,52.19514664538585,133.10648092225492,0.0,2025-11-08 to 2025-12-13
Rhode Island,6,136.5,77.20913158428866,17.869656198318904,0.0,2025-11-08 to 2025-12-13
South Carolina,6,479.8333333333333,316.24537765616253,97.22664838996839,0.0,2025-11-08 to 2025-12-13
South Dakota,6,42.166666666666664,34.70550708781277,17.764523413176182,0.0,2025-11-08 to 2025-12-13
Tennessee,6,476.1666666666667,303.0563295641404,119.41211043576025,0.0,2025-11-08 to 2025-12-13
Texas,6,1605.5,699.4523452911809,844.5788695647435,0.0,2025-11-08 to 2025-12-13
US,6,23913.833333333332,12381.823848107175,5628.311592879131,0.0,2025-11-08 to 2025-12-13
Utah,6,148.66666666666666,79.60248460667265,37.929821153720766,0.0,2025-11-08 to 2025-12-13
Vermont,6,27.5,19.198524248840933,2.764511908235331,0.0,2025-11-08 to 2025-12-13
Virginia,6,582.0,365.5548294487892,165.2964857319101,0.0,2025-11-08 to 2025-12-13
Washington,6,151.16666666666666,81.0090872817502,51.19233139817381,0.0,2025-11-08 to 2025-12-13
West Virginia,6,120.0,85.32682266829504,19.84567576575014,0.0,2025-11-08 to 2025-12-13
Wisconsin,6,514.8333333333334,349.3915743434896,141.56918691055395,0.0,2025-11-08 to 2025-12-13
Wyoming,6,37.166666666666664,18.30679897985688,14.610167485776808,0.0,2025-11-08 to 2025-12-13
