reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2024-10-05,3,wk inc flu hosp,2024-11-02,01,quantile,0.01,1.1794552799537008
2024-10-05,3,wk inc flu hosp,2024-11-02,01,quantile,0.025,1.7051898221751847
2024-10-05,3,wk inc flu hosp,2024-11-02,01,quantile,0.05,2.2307050050014805
2024-10-05,3,wk inc flu hosp,2024-11-02,01,quantile,0.1,3.471491798080179
2024-10-05,3,wk inc flu hosp,2024-11-02,01,quantile,0.15,4.975083594583166
2024-10-05,3,wk inc flu hosp,2024-11-02,01,quantile,0.2,5.972564213528247
2024-10-05,3,wk inc flu hosp,2024-11-02,01,quantile,0.25,6.338604110746611
2024-10-05,3,wk inc flu hosp,2024-11-02,01,quantile,0.3,6.755477200100658
2024-10-05,3,wk inc flu hosp,2024-11-02,01,quantile,0.35,7.469492183840406
2024-10-05,3,wk inc flu hosp,2024-11-02,01,quantile,0.4,8.879177615377408
2024-10-05,3,wk inc flu hosp,2024-11-02,01,quantile,0.45,10.888375484439756
2024-10-05,3,wk inc flu hosp,2024-11-02,01,quantile,0.5,11.487119917218841
2024-10-05,3,wk inc flu hosp,2024-11-02,01,quantile,0.55,12.484614422785704
2024-10-05,3,wk inc flu hosp,2024-11-02,01,quantile,0.6,15.486474504113938
2024-10-05,3,wk inc flu hosp,2024-11-02,01,quantile,0.65,18.581884874521585
2024-10-05,3,wk inc flu hosp,2024-11-02,01,quantile,0.7,22.31266851306142
2024-10-05,3,wk inc flu hosp,2024-11-02,01,quantile,0.75,23.15263605998624
2024-10-05,3,wk inc flu hosp,2024-11-02,01,quantile,0.8,23.619485775374248
2024-10-05,3,wk inc flu hosp,2024-11-02,01,quantile,0.85,29.680490266949292
2024-10-05,3,wk inc flu hosp,2024-11-02,01,quantile,0.9,43.29716851391907
2024-10-05,3,wk inc flu hosp,2024-11-02,01,quantile,0.95,53.822327874351686
2024-10-05,3,wk inc flu hosp,2024-11-02,01,quantile,0.975,60.11863413707391
2024-10-05,3,wk inc flu hosp,2024-11-02,01,quantile,0.99,67.21764949520788
2024-10-12,3,wk inc flu hosp,2024-11-09,01,quantile,0.01,1.4371282670187768
2024-10-12,3,wk inc flu hosp,2024-11-09,01,quantile,0.025,2.025019436698282
2024-10-12,3,wk inc flu hosp,2024-11-09,01,quantile,0.05,2.6126653125249764
2024-10-12,3,wk inc flu hosp,2024-11-09,01,quantile,0.1,4.000148044824909
2024-10-12,3,wk inc flu hosp,2024-11-09,01,quantile,0.15,5.6815067324841575
2024-10-12,3,wk inc flu hosp,2024-11-09,01,quantile,0.2,6.796917649420283
2024-10-12,3,wk inc flu hosp,2024-11-09,01,quantile,0.25,7.2062337700917185
2024-10-12,3,wk inc flu hosp,2024-11-09,01,quantile,0.3,7.672392997660625
2024-10-12,3,wk inc flu hosp,2024-11-09,01,quantile,0.35,8.47082465898109
2024-10-12,3,wk inc flu hosp,2024-11-09,01,quantile,0.4,10.047174604953083
2024-10-12,3,wk inc flu hosp,2024-11-09,01,quantile,0.45,12.293916240702433
2024-10-12,3,wk inc flu hosp,2024-11-09,01,quantile,0.5,12.963449125945683
2024-10-12,3,wk inc flu hosp,2024-11-09,01,quantile,0.55,14.078875571293331
2024-10-12,3,wk inc flu hosp,2024-11-09,01,quantile,0.6,17.435640045944876
2024-10-12,3,wk inc flu hosp,2024-11-09,01,quantile,0.65,20.8970150882003
2024-10-12,3,wk inc flu hosp,2024-11-09,01,quantile,0.7,25.068882410850637
2024-10-12,3,wk inc flu hosp,2024-11-09,01,quantile,0.75,26.008157775120736
2024-10-12,3,wk inc flu hosp,2024-11-09,01,quantile,0.8,26.530202273251458
2024-10-12,3,wk inc flu hosp,2024-11-09,01,quantile,0.85,33.30778817226523
2024-10-12,3,wk inc flu hosp,2024-11-09,01,quantile,0.9,48.53434123064902
2024-10-12,3,wk inc flu hosp,2024-11-09,01,quantile,0.95,60.30387081362469
2024-10-12,3,wk inc flu hosp,2024-11-09,01,quantile,0.975,67.34457777918063
2024-10-12,3,wk inc flu hosp,2024-11-09,01,quantile,0.99,75.28289665933505
2024-10-19,3,wk inc flu hosp,2024-11-16,01,quantile,0.01,1.4994125471474502
2024-10-19,3,wk inc flu hosp,2024-11-16,01,quantile,0.025,2.102328112051866
2024-10-19,3,wk inc flu hosp,2024-11-16,01,quantile,0.05,2.7049921142700866
2024-10-19,3,wk inc flu hosp,2024-11-16,01,quantile,0.1,4.127933941744348
2024-10-19,3,wk inc flu hosp,2024-11-16,01,quantile,0.15,5.852262142709947
2024-10-19,3,wk inc flu hosp,2024-11-16,01,quantile,0.2,6.996178972506384
2024-10-19,3,wk inc flu hosp,2024-11-16,01,quantile,0.25,7.415955748969342
2024-10-19,3,wk inc flu hosp,2024-11-16,01,quantile,0.3,7.894028338796356
2024-10-19,3,wk inc flu hosp,2024-11-16,01,quantile,0.35,8.712865057138345
